Gmatria	Word
0	
3	בא
7	או | בה
9	ובא | באו
11	הדב | הו
12	זה | הוא
13	ואבד | אחד | הדד
15	גבי | ובאו
16	היא | גבהו
17	טוב | ההוא | הזה
18	דוגה | חי
19	יבוא | גוי | ואבדו
20	גזי | היה | דודו | הטו | ואהבו | חזה | ידו
21	הוי | ההיא
22	אביט
23	הביאה
24	וחי | דויד | ידי
25	כה | הך | יטו | אחיו | ואביו
26	יהוה | והיה
27	יחבאו
28	החטאה | ובידו | חטאי | יחדו
30	כגבה | וחיו | והביאו | יהיה | כי | יהודה
31	לא | כאוד | אל | ויהי
32	יחיד | ביהודה | ויהוה
33	אבל
34	כחו | דל
35	לה
36	בדל | הלא | לו | והכה
37	ואל | ולא
38	גלה | לבו
39	ואבל
40	לי
41	אם | אלי | האלה
42	בם | חדל | בחבל | הלוא
43	גם
44	כדויד
45	מה | וגלו | ואבלו
46	אלהי | מאה | חזאל | בגולה
47	ואם | אולי
48	הגדול | כוכב | יגלה
49	ויגל | מואב | יגלו | וגם
50	מי | אדמה | ים | לך | כל
51	במואב | אדום | נא
52	חמד | בן | לטובה | בכל
53	כאבל | באים
54	ידם | לכד | מטה | דן
55	האדמה | הים | טמאה | הגזם | כלה
56	יום | וכל
57	ואכל | און | מזבח
58	ביום | הנבא | אזן | ובכל | כלוב | נגה
59	אחים | בגדים
60	גאון | הנה | כלי
61	והלך | אני | יאכל | אין | ללא | הלכו
62	המזבח | בכם | ולכו | נגדה | בני | ואכלה | ויום | בגאון | בימי
63	לאבל | נביא | ואכלו | ואולך | ומגיד | ינבא
64	ובנו | הגוים
65	נהי | אדני | היכל | הס
66	והנה | ילכו | אלהיך | ולכוד
67	מכבה | ואין
68	הבונה | איביהם | ובימי | חלל
69	אביון
70	כן | ילכוד | יין
71	ונבזו | הגלגל | ואדני | הילכו | אנך
72	הזבחים | הטובים
74	עד
75	ואביון | כימה | לאדם | להם | כהן | לילה | למה
76	כיום | סודו | ויין
77	והגלגל | עז
78	לחם
79	יסדה | מלבוא | הניחו
80	והבטחים | למי | עוד | כימי | ועד | וסביב
81	חגיכם | מהלאה | המלאה | אנכי | לאדום | גבולם | הכון
82	עזה | בעוד | כבני | ומלאה
83	גלים | נכחה
84	כזביהם | דלים | מוכיח | עדי
85	העוד
86	אלהים | לנו | כיון | ליום | האף
87	אפו | לאון | ואנכי | זבחיכם | הנבל | לאכול
88	ובניך | נחל | ולהגדיל | פח | להנבא
89	ימלט
90	חבלים | מכל | ידעו | כלם | פי | מלך | לכם | מים | מן | המבליג
91	נאם | אלהיהם
92	עבדיו | עזיה
94	נחלו
95	להכיל | המלך
96	איפה
