Gmatria	Word
3	בא
7	אבד | או | בה
8	אהב | אז | בו
9	ובא
10	גבה
11	אי
12	זה | הוא | אבדה
13	ואבד | יבא | אחד | אהבה
14	בזה | דוד
15	ובאו | ואח
16	היא | הוה | ביד
17	טוב | יאבד | זבח | הזה | ההוא
18	והוא | חי | חטא | האחד | החגב | וזה
19	יבאו | הזהב | בטוב
20	היה | וזהב
21	היו
22	טובה | בידו | והיא | יהוא
23	ויאבד | וטוב | חיה
24	חיו | כד | ידי
27	זבובי | יגיד | הטובה
28	חיי | כח | יחטא | וטובה
29	ידיה | והחי
30	ידיו | וחוטא | בזויה | יהיה | כי
31	לא | אל | ייטב | יהיו | איך
32	לב
33	כאחד | אבל | בלא | יחיה
34	והחוט | ידך | בלב | חייו
36	הלא | לו | לבד | בחייו | אלה
37	לאבד | לבה | ואיך | כטוב | ואל | הבל | ולא
38	ולב | לאהב | כחטא | וכבוד | לבו
39	בגדיך | בלוא | בהבל
40	לי | חבל
41	אם | אלי
42	בם | לזה | לבי
43	יביאך | הבלו | גדול | גם | ואלו
44	ילד | ולהג | ידיך | בלבי
45	מה | אדם | הם | ככה
46	וחבל | מאה | אליה | וגזל
47	לטוב | ואם | באדם | אמו | בהם | במה | הבלי
48	ולבי
49	וגם | הילד | חולה | ולאחד
50	האדם | מי | המה | מגבה | בכחך | לך | כל
51	ואדם | ומה | נא | הולדו | אכל
52	בן | מזה | לבך | ולאחז | בהמה | בכל
53	ובטלו | ואילו | ולזבח | החיל
54	וחם | וגדולה | מיד | וחלי
55	הלך | לכה | הים | הכל
56	ומי | וכל | והמה
57	הבלך | הבהמה | ואכל | נגד | ויטיבך
58	נהג | ביום | ולבך | חן | אזן | לחטיא | יחם | הבאים
60	ילך | ומיד | יוליד | ימי | וחליו | הנה | ולחוטא
61	והלך | אני | והוליד | והים | יאכל | והכל | אין | הולך
62	מטובה | בימי | ויום | בני
63	ובנה | נגדו | בבטן
64	ילכד | וביום | ואזן | ידים | סבב
65	כהם
66	ימיו | יוכל | וגבהים | והנה
67	יאכלו | טובים | ואין
68	חטאים | חיים | חכם | ובני
69	מכאוב
70	ימך | וסבב | בחיים | סובב | כן
71	יהלכו | הגלגל | מלא
72	מכבוד | ביין | אוכליה
73	חכמה | החכם | חייהם | החיים
74	בלבם | עד | אחכמה | למד | וחכם | ינוח
75	להם | לאדם | בחכמה | בחייהם | בטחון | למה
76	בלבבם | אלהם | יוליך | מאלה | וסבבו | וסובב | ויין
77	הטחנה | בלילה | כדגים
78	החכמה | לחם | ובכן | יניח
79	יביאנו | וחכמה | האביונה
80	ודע | ועד | לכל | עוד
81	אף | ולאדם | יהולל | לאכל | המלאה | ולמה | אינך | העבד
82	מבלי | לכלב
83	ובלילה | ועז
84	ידע | למטה
85	להלך | ומלט | מהם
86	אלהים | ולמי | ועוד | ולטמא
87	ימלאו | לכלוא | הבלים | גדלים | לאכול
89	ימלט | החלום
90	בפח | מכל | כלם | מהמה | פי | נולד | מלך | מים | מן | יודע | יינך
91	האלהים
92	מאומה | לבני | מלבך | בכלם | יביע
93	נחלה | והבלים | גדולים | כהחכם
94	לדין
95	המים | מהלך | יכסה | המלך | יפה
96	מיום | המלאך | עבדך
97	והאלהים | זמן
98	ומאומה | לחמך | לחכם
100	מכלי | על | ימים | כף | והגיעו
101	יצא | פיהו | אינם | מבטן
102	ילונו
103	בהמון | אבנים | לחכמה
104	חוץ | וחילים
105	הלכים | הימים
106	ועל
108	מניח | ובעל
109	והכוכבים
110	העלה | פיך | עם | עלי | סכל | כסל | חבק | קהה
111	אלף | מהולל | ממלא | במדינה
112	בעלי
113	מחכמה | מכאבים
115	עליה | הסכל | העם
116	לאלהים | עליו
117	איננו | בעליה | יאכלנו
118	בעליו | חכמים
119	עמדה | מעט
120	בחיק | כסיל | למלך
121	והסכל
122	בצל
123	ואיננו | מלחמה | מגיע | המבוע
124	ידלף | יעמד | עדן | בעבים
125	הכסיל | מעטו | במלחמה
126	יפלו | עבדים | נעבד | וכסיל | יפול
127	העבים
128	המלחמה
129	עדנה | והחכמים
130	יעמדו | ממלך | עין | עליך
131	לפיהו | והכסיל
132	לבעל | לבנים
133	יגעים
135	ממנה | נטוע | יענה
136	במדעך | אנסכה | ונודע | כנוס | ממנו | קול | עינו
137	ומצא | ועבדיהם
138	מנחם | חלק
139	גומץ
140	עמל | יודעים | מלכים | יסכן | פני | כצל | ממני | מעל | עיני
141	מצוה | ימצא | הקול
142	להוציא | וממנו | וקול
143	הנחלים | ומוצא
144	חלקו | צומח | וחלק
145	העלם | העמל
146	פניו | לחבוק | עיניו | עמלו | סוף | כעבדים | לימינו
147	לבעליה | במצודה | וצאן
148	לבעליו | לחכמים | חלקי | בעמלו | בעיניו | ובעמל
150	מחבק | המהלכים | ספוד | יעמל | כעס | עמלי
151	מאלף
152	עולמו
155	עליהם
156	עוף | כקול | קולך | וכעס
157	וינאץ | זקן
158	חלקך
159	ופגע
160	יקים | כסף | עיניך | לעני | עץ
161	למצא
162	ויקום
164	לידעים | קטנה
165	הנפל | העץ | הכסף | מענה
166	יוסיף | לקול
167	למצוא
168	ובעמלך
169	מעטים
170	כסילים | לפני | מסכן
171	והכסף
172	ויוסיף | בכסילים | יעצב | ולכנוס
175	הכסילים | המסכן | למעלה
176	סוסים | לפניו | לעולם
177	לאסוף
178	בוקע | חפץ
180	ענין | פנים | עינים | מסיע
182	לנבנים | בענין | בעמלם
183	החפץ
185	הענין | נטועים
186	וענין | ונכסים | מקום | מפניו | לכעוס | ענינו
188	חפנים | יחפץ
190	מצודים | נעלם | קץ
191	להוסיף | להקימו
192	ומקום | מקומו
195	מקנה
197	ימצאנו
199	הצדק | הספדים
200	וצדק | כנפים
202	רב | בצדקו
204	צדיק | ברב
205	הכנפים
206	ראה | דבר | מקומך
207	אראה | גדר | רבה
208	ורב | בדבר | רבו
209	הצדיק | אחר
210	מלפני | דור | עמק | עצים | לעינים | לקלים
211	ירא
212	הרבה | האור | וראה
213	הבור | ורבה | ואראה
214	רוח
215	יגבר | לפניהם
216	בחור | דברי | ברוח | מלפניו | ודור | ועמק | חברו
217	ירבה | הזהר | והראה | יראו
218	והאור | בגבורה
219	הרוח | אחרי
220	יחבר | יבחר | מקללך | לעלמים | ורוח
221	זורח | וזרח | ארך | האריה
222	ידברו | כבר
224	דרך
225	אחריו | והרוח
226	בדרך | צפון
227	זכר | ייראו
228	בצפון | ודבריו
229	והירח
230	ובחדרי
231	ואחריו
232	וממקום
233	וזכר
234	לצדיק
236	בדרכי | לדבר | ברוחך | דבריך
237	יזכר
239	בוראיך
240	פעמים | מר
241	אמר | יאריך | לראי
243	ויזכר
244	הברזל | ולבור | לרוח | להרוג
246	אמרה | מראה
247	ואמר | להזהר
250	דרום | מהרה
251	ליראי | יאמר
252	רבים | בדרום | במהרה
253	רגלך
254	צדיקים | נדר
255	ימהר
256	מגבורה | מלפננו | ולטהור | דברים
259	אחרים | הצדיקים | ובמראי
260	קלקל
261	הדברים
262	ודברים
263	רגליך
264	חורים
265	מאחריו
267	זכרם
268	חסר
270	כעצמים | רע
271	והסר | לאמר | מאריך
272	לברם | ברע
275	הרע | הסיר | וסגרו | רעה
276	וקצף
277	ומאריך | זרע
278	יחסר
280	נכרי | יקצף | עיר | הרעה | יער
281	ורעה
282	בעיר
283	זכרון | והעבר
285	העיר
287	יזרע
288	חפר
290	פרי
291	ארץ | לגבורים
292	מרבים
293	בארץ
294	לאחרנה
295	רצה
296	הארץ
297	זרעך
300	לרע
302	והארץ | בקר | קרב | שב
303	לגרע | שבא
304	וחרמים | בבקר
306	אשה
308	ולערב
309	שדה
310	כרמים | רקוד | יש | יקר
311	שגגה | ישא | האשה | איש
312	חדש | ואשה | שהוא
313	קבורה
314	רחוק | וחקר | וקרוב | ושבו | ומחסר | רוקח
315	יקרה | מרעה
316	האיש | ושבח | ויש | ערום
317	שטוב | אסורים | לרפוא
318	ישבו | וישב | ירחק | ישוב
319	רחוקה | שיבוא
320	נער | שהיה | האחרונים
321	מרפא | לארץ | שהיו | הסורים | מרעהו
322	שכב
323	כשבא | יבאיש
324	יחוש
325	הסירים
326	יריקו
330	וחסרון | בחשך | ישך | וישחו | שיהיה
331	שיהיו | כשגגה | שלא
332	בשל
333	החשך
334	נרדף
336	רעיון | ובחשך
337	שאלו
338	שלח | ישכבו | לרחק | לחש | במרומים
339	לשדה | שלט | בשאול | לאחרנים
340	שם | כשהיה | וחשכו
341	ליאש | המרוץ
342	ורעיון
343	שגם | גשם
344	וברעיון
345	שמה | שהם | מקרה
346	ונרץ | שמו
348	שמח | הגשם
349	שליט
350	המקרה
351	מאיש | נקרא | ומקרה
352	קברים | שבים
353	שמחה
354	השליט
355	העפר | וישלט | שנה | בשמחה
356	שנאה
358	השמחה | ישמח | נחש
359	ושמחה
360	שילך | שני
361	אנשי | שאני | ישנא | שיאכל
363	הנחש
364	ישמחו
365	כמקרה | השני
366	והשליטו | שניו | חשבון
370	שלם | יקרני
372	וחשבון
375	עשה
376	עשו | מושל | שלום | ופרץ
378	נשכח
380	מספר
381	הצפור | לשנא | המושל
382	משכבך | ישבע
383	שבועה | והשבע
384	ולשמח | לשמוח
385	יעשה
386	העושה | יעשו | ישכנו
387	שואף | עשוהו
389	ולשמחה
390	שמן | ספרים | ולשמוח
391	הלשון
392	בשמים
393	שיזעו
395	השמים | להשליך | שלטון
396	למשוך | ושמן | לישון
399	ישפט | שליטים
400	ופרדסים | שנים
401	שיצא | את
402	בקש
405	שהימים | שניהם | השנים
406	לקרוע | אתה | לפרוץ | לעקור | ושנים | יקצור | לשלמו
407	לשבעה | ואנשים | ואת | בקשה | לשמאלו
408	שחק | בשוק | בקשו | אהבת | ובקש
409	אחת | השקד
410	קדוש | שמע | שמלכך
412	בשפל | בית | ואתה | יבקש
414	תבואה | בבית
415	ישליטנו | תהי | מעשה
416	תאחז | שנאחזים
417	הבית
420	משלים | היתה | המעשה | עשים | מעשי
422	יתאוה
423	תחיה | שמגיע
425	שאניחנו | נעשה
426	ויעשם | שיפול
427	האחזות | הנשבע
428	במעשיו
429	משפט
430	כשסכל | נפש | משמן
431	לשמונה | במשפט
432	לבקש
433	גלת
434	וכתוב | המשפט
435	הייתי | ומשפט | כמעשה | הנפש | כשהסכל
436	נפשו
437	תבהל
439	לאחת
440	מעשיך | לשמע | נפשי
441	מאת | אמת
442	ונפשו
443	שהנחלים
444	לשחוק
445	משניהם | המת
446	מתו | וכצפרים | שעמלו | מות
448	אהבתם | משחק
450	שיעמל | תלך | משמע | תן
451	להיות | המות
452	הגדלתי | בתים | מבית
453	וגדלתי
455	הילדות
456	ימות
458	תנח | בנות | לבכות | נחת
459	גנות
460	נשמע | בנחת | יתן
462	ואתנה
464	ללדת
465	המעשים
466	יוקשים | לנפשו | כמות
468	חכמת
470	עת | נעשים | עשק
471	תמלא
472	בעת | בניתי
474	דעת | תדע | וחכמת
475	העשק
476	עתו | בחכמתו | למות | ועת
477	הוללות | תעז
478	חכמתי | הטחנות | בעתו | סבותי
480	ודעת | ללכת
482	בילדותיך | ובדעת | עותו
483	והוללות | יגעת
484	חלמות | וסבותי | דלתים
486	ממות
488	לבנות
490	עתך | מלכת | סביבתיו
494	ידעתי
495	מתנה | המתים
499	וסגלת
500	נתן | לעת | רש | וידעתי
501	אשר | והמתים
502	בשר
503	באשר
504	לדעת | במלכותו
505	נתנה | תעלה
506	נתנו
507	ואשר
