Gmatria	Word
0	
3	אב | בא
7	בה
8	באה | דד | בו
9	ובא | הגא
10	גבה | אבוא
12	זה | הוא
13	ואבד | אחד
14	זהב | דדו | יד
16	היא | ובבאה | ביד | בהט
17	טוב | ההוא | ואי | הזה
18	אביה | הגי
19	יבוא | הזהב | ויבא
20	ובזה | היה | ידו
21	ההיא
22	בידו | האגגי | אחוז | ובבזה | הגיד
23	וטוב | הביאה | ויגד | איבי
24	אהביו | ידי | ויאהב
25	ואויב | אחיו | ויבז | בגדיו | ויבוא
27	ואיי | הגידה | הטובה
28	וטובה | הגידו
29	וחיה | יביאו
30	כי | יהודה
31	לא | אל | ויהי
32	כבוד | לב
33	אביך | אבל
34	בבל | כיד
35	לה | יהודי
36	לו | לבד
37	לאבד | גדל | כטוב | ואל | ויהיו | וייטב | ולא
38	ובכי | לבו
39	ויגידו | לבוא
40	וכדי | היהודי | לי | בלבו
41	אם | האלה
42	הלוא | ויכו | לבדו | גדלה
43	הגלה | גדול | גדלו | גם | ולאבד | ואלו
45	הם | מה | לבוז | מאד | ככה
46	אמה | אדליא
47	ואם | אליו | לטוב | בהם
48	הגם | גדולה | חיל | להביא
49	החלו | וגם | וגדול | גלוי
50	מי | ההם | המה | לך | כל
51	ומה
52	ואמה | בן | ומאה | בחבלי | בכל
53	חמה | ויבהל
54	וגדולה | ידם | מדי
55	הים | מהדו
56	ומי | יום | וכל | איככה
57	אוכל
58	ולהגיד | ובכל | ביום | חן
59	המטה | ויבהלו | באבדן | בגדים
60	ומדי | ימי | הנה
61	אני | אביחיל | היום | אין | הולך
62	בין | בני | ויום | בכלי | ואיככה | בימי
63	נדדה | ואבדן
64	נחו
66	וימי
67	ואני | והיום
68	איביהם | בניו
70	ונוח | גנזי | ככל | כן | ודין
72	חסד | ביין
74	הדסה | יסד | והנחה | עד
75	היין | בזיון | לילה | להם
76	ויין
77	לאבדם | ביהודים | מלאו | בלילה | זע
78	וחסד | נכח | ובכן
79	ומאבל
80	למי | לכל | עוד | ועד | היהודים
81	אף | כסא
83	גלילי | נבוכה | ולאבדם
84	ידע | חכמיו
85	הכין
86	והיהודים | ולכל | ליום | עבדי | אליהם
87	ימלאו | וימלא | ביהודיים | כסאו
88	הגיע
89	טף
90	מכל | מלך | היהודיים | מן | יודע
91	אמן
92	פחד | ועבדי | במלך
94	ידעי | הגיעו | חפו
95	המן | יכניה | המלך
96	מיום | ויודע | ובהגיע | והיהודיים
97	במלכה
98	בוץ | באמנה | ועבדיו
100	על | המלכה | מס | ימים
101	יצא | והמן | והמלך | המלאכה | אינם | צוה
102	בימים
105	ליהודים | הימים | יפיה
106	והמלכה | וכלים | ועל
107	ויצא | יצאו
108	חצי | קח | מאיביהם
109	מיגון | מדינה
110	וחפוי | עם | עלי
111	והימים | אלף | אנס
113	למגדול
114	מאויביהם | להמלט | עמד
115	עליה | ומדינה | עמה | העם | להמם
116	ועם | עליו | עמו
117	איננו
120	למלך | ועמד | עמי | כימים | עודם | מדוע | ימיני
121	וימליכה | והעם
123	מגיע
124	ויקח
125	הפיל | להמן
126	סיון | ועמי | ולמלך | למלכו
127	מבהלים
129	העמיד
130	למלכי | צהלה | מפי | לימים | יעמוד
131	הסוס | והפיל
