Gmatria	Word
0	
1	א
3	אב | בא
5	גב
6	הא
7	או | גד | בה
8	בו | גה | אז | באה | הבא | האב
9	בוא | אבו | בז | אח | ואב | באו | בגד | הד | ובא
10	גבה | גאו | בבאה | הה | אבוא
11	גבהא | בבאו | חג | אהה
12	הוא | גוג | זה | בי | אבדה | הגד | חד
13	גי | ואבד | בחג | אחד | יבא | באי
14	זהב | דוד | ובו | אביא | האח | ובאה | יד | והבא | גיא | בזה
15	אביב | באחד | ובאו | הגבה | בבאי | בדאגה
16	היא | החג | וגבה | הוה | איה | ובבאה | ואבוא | ביד | חוב
17	טוב | גדי | הזה | זבח | אוי | הדגה | ההוא | חדה | ובבוא | דגי
18	ואבדה | והוא | חי | הביא | והגד | חוד | חטא | דדי | האחד | וזה | בגבהו
19	יבאו | יאבו | בטח | והגה | ויבא | אביו | יבוא | טבח | בגדי | ואחד
20	היה | ודוד | ויד | חזה | ידו | ובזה | וזהב
21	בדיה | בבגדי | אך | חזו | הוי | ובדאגה | היו | והי | אהיה | והגבה | ההיא
22	ובזז | בך | בידו | הטוב | ואהי | והיא | וביד | הזבח
23	טחו | חטאה | וטוב | חיה
24	חיו | יבאהו | חטאו | וחי | דויד | ידי | האויב
25	ויבאו | ואיוב | כה | יהי | אחיו | בוזי | גבך | ויבוא
26	אכה | יהוה | בידי | והיה | ויגבה | יגבהו | וידו
27	זבחי | טחי | באחיו | חידה | ואחזה | והיו
28	בכבד | והזבח | חיי | החיה | וגבאיו | ובזזו | הוחדה
29	כזב | וחיה | גוך | ויביא | בחטי | כבוא
30	ידיו | הכה | בהביאי | וחיו | וחטאו | ויבאהו | וידי | יהיה | כי | יהודה
31	לא | והך | אל | ויהי | ואחיו | יהיו | איך | ויבואו
32	כבוד | הטיח | לב | ויהוה
33	אביך | יחיה | כאחד | ואבדך | לאב | אבל | בלא
34	בבל | ובכו | ידך | יחיו | בכבוד | וכוב | וחטאי | בלב | לבב
35	לה | יחטבו | לבג | גבל
36	בידך | הלא | וכי | לו | אלה | ויהודה
37	אלו | כבודה | והכו | לאבד | ואיך | ואל | ויהיו | ולא
38	חל | דדיך | באלה | גלה | לח | ידיחו | וכבוד | לבו
39	ויזבחו | בבלה | אחל | לאח | בגדיך | אחיך | גויך | לבוא | לבז | גלו
40	חבל | ויחיו | ויביאהו | גזל | חלב | לי | לבבו
41	אהלה | אלי | האהל | הכבדי | גבול | איל | אם | האלה | גבלו
42	ואלה | וכבדי | בם | לגגו | גדלה | הלוא | לגוג | כבודי
43	גדול | ולוא | החל | גם | לביא | לאחד | ואלו
44	גולה | הביאוך | הלבז | ידיך | וגלה | חול | דם
45	ואחל | החלב | בבאם | הם | בגדלו | ולבז | מה | ובגדל | וגויך | גזלה | אדם | מאד | ככה | כאחיו
46	בדם | בגולה | בדיל | לוי | הגבול | גבולה | מגג | מאה | אלהי | אמה | ולוד | אליה
47	במאד | במה | ואם | והלאה | אליו | גדלי | ואיל | בהם | וגבול | אולי | אילו
48	הגדול | חכך | אגדיל | יבול | גדולה | באמה | הלזו | להביא | מדד | חיל | ובם
49	לטבח | מדה | מואב | לבטח | לגוי | הדם | וגם | דמה | הגולה | גוייך
50	האדם | ודם | מי | דמו | ההם | המה | טמא | בחיל | ילדו | ים | חבלי | לך | יגזל | ואבאם | כל
51	במבוא | הולדו | כלא | ומה | המאה | אילי | וגזלה | אדום | גחלי | נא | האמה | אכל | לאחזה | בבואם
52	בן | ובדיל | חמד | הבמה | יחדל | בגבהם | כלב | מזה | לבך | זמה | ובדם | והגבול | ואמה | בים | וגבולה | וגזלו | בהמה | ככבוד | בכל
53	אבן | אבים | מאחד | הגדולה | גן | בנא | נבא | והחדל | באים | ואליו | יבולה | ואילו | באדום | לחיה | אהליבה | מביא | חמה
54	ומדד | בזמה | המדה | המבוא | חילו | החולה | וחיל | מיד | דן | במגוג | לבבך | גדלוהו | מטה | מדדו | וכדכד
55	הוליד | וגוייך | האדמה | ומדה | הטמא | נגב | ימה | הכל | בגן | בחמה | הן | הים | נה | אידם | באבן | כלה | הלך
56	לכו | אנה | בלבבך | כאלה | אכלה | בידם | גחליה | וגבהם | והמה | טמאו | ודמו | ולך | בדים | יום | וכל | ליהוה
57	ואטמא | גדים | הבהמה | אוכל | ומטב | ובמואב | בנה | אכלו | הבן | ואכל | הבדילו | ונא | בהן | איליו | מזבח | ואלך | יגלחו | און | הזמה | נגד | המגוג | אכול
58	נח | ביום | דדים | דדן | מחטא | הנבא | בנו | המביא | הבאים | ובכל | האבן | יחדלו | נגה | ומזה | ובהמה
59	גוים | בגדים | חומה | נדה | בגדלך | ואהליבה | ואבן | המטה
60	ומדדו | וימד | הנגב | דמיו | חלבך | ויחלו | בחן | הימה | ואביאם | וזהבם | נהה | נגבה | ליהודה | מידו | גאון | הנה | מחזה | כלי | ודן | ימי
61	איים | ובחמה | נדבה | אני | בבואן | וכלה | בגוים | אמך | וימה | והוליד | יאכל | הון | מאיי | טמאוה | היום | הבדים | אין | הלכו | אליך
62	המזבח | בכם | בין | בני | הדגן | יבדילו | ואכלה | יומו | וטמאו | בכלי | בימי
63	הנגה | נביא | באין | בנוה | בחגים | אדיחם | זנו | ונגד | דוגים | אבני | ואכלו | מאהביה | ואיליו | מכאב | ובנה | והבן
64	וביום | ומחי | מזהבי | הנדה | בגדיהם | ונגה | והנבא | דמך | ידים | בבני | ובנו | הגוים | סבב | ודדן | ונח | האנח
