Gmatria	Word
0	
1	א
3	בא
7	בה
8	הבא
9	באו
11	חג | טב | אדו
12	זה | הוא
13	חגב | אחד | אהוא | יבא | זבד
14	בבי | זהב | די | יד
15	באחד
16	בגוה | היא | בזהב | ביד | דהוא | דהבה
17	ודהב | טוב | הזה | יהב | הוו | חדה
18	והוא | וזה | חגבה
19	גוי | יואב | הטה | ויבא | ידה | הזהב | יבוא | בגדי | זבי | ואחד | וזבד | אויב
20	דהיא | ודי | ויד | ידו
21	אך | בדיה | ובאחד | חגי | בגוי | ההיא
22	יחד | ודהבה | טובה | ובזהב | ובבזה
24	דך | דויד | ידי
25	בחדוה | כה | יהי | אחיו | ויט | יהוד | והזהב | וזבוד | חביה
26	יהוה | חדיד
27	בכה | ביהוד | הטובה
28	כח | זבדיה | בכו
29	אחך | יוזבד
30	כי | יהודה
31	לא | אל | ייטב | ויהי | ואחיו
32	לב | ביהודה | בכי | טוביה
33	כאחד | אבל
34	בבל | וזבדיה | כזהב | כיד | לד | בלב
35	לה | יהך | ויביאו
36	בידך | לו | בבבל | לבד | אלה | אחיטוב | יהודיא | הודויה | ויהודה
37	חטיטא | אלהא | גדל | זכי | ואל | ולא
38	בלו | אזל | ויזיה
39	אחיך | ויהיבו
40	לי | לבבו
41	אלי | איל | חבלא | ויהך | אם | האלה
42	בטלא | ולו | ואלה | הלוא | טבאל | גדלה | להוא
43	גדול | הגלה | יחיטו | ואלהא
44	ואואל | לזהב | אזלו
45	מה | בבליא | הם | מאד
46	יבדל | לוי | ויחזיה | מאה | אלהי
47	בטלו | הגדלה | אליו | ואלי
48	גדולה | הגלי | להביא | חיל
49	מואב | דליה | וגם | החלו | הגולה
50	מי | ים | לך | גזם | כל
51	כלא | הלוי | ומה | אמי | המו | אלך | נא | אכל | בבואם
52	בן | אלהיו | לטובה | ואליה | להגיד | בכל | אמיא
53	אבן | לחטאה | והבדלו | ויואל | באים | ולויא | והיבל | ובטלו
54	ידם | וחיל
55	ומדה | בבהילו | הכל | ליהוד | הן | כלה | אדן
56	אנה | אלהך | ויגאלו | במדי | יום | וכל | ליהוה
57	חטיל | בנה | מזבח
58	באימה | ביום | המאבי | ויבדלו | נבו | ואבדילה | בנו | הבאים | לחטיא | וגדליה | לחיי
59	נדה | מאויב | מדבחה | דנה | יחיאל
60	ימי | ליהודה | ובבהמה | כלי
61	והלך | נדבה | אין | היום | בידהם | אליך
62	בכם | המזבח | בני | חדן | בכלי
63	מחידא | גלל | מחיה | נביא
64	וביום | לבבל | ביומו | ובנו | אחיהם
65	ונבוא | כלהי | ויחיאל | אדני | אדין | היכל
66	יכלו | וילך | לאלה | חנדד | וכלי | הנדבה | היכלא | יחזיאל
67	כלוהו | בנהי | יאכלו | ואין | בהלל | זבחים | באדין | ואני | בניה
68	נביאה | ויבן | ובני | בהיכלא | בניו | בנוי | ובימי
69	ידיהם | ואונו | דינה
70	זבינא | גנזי | ואחיהם | כן
71	בידיהם | ואדין | אע | וניה | למא | והיכל | גנזיא
72	חסד | בסי | ויכלו | בכים | לבטלא
73	ובניה | ויאכלו | נבייא | והסב
74	מבבל | יסד | עד | ובניו | ואבינה | דבחין | ובנוי | נביאיא | ויבנו
75	בוזני | להם | כהן | דיניא | הוסד | למה | לחבלה
76	אלהם | כהנא | לאלהי | עבד | מלבד | וכן
77	ואע
78	לחם | מלח | מגלה | עזא | חסדו
79	לבואם | סטי | ובנוהי
80	כהנה | הכהן | לכל | ועד | ככם
81	ולהם | אף | לנא | וגבע | עדוא | כהיום | אלההם
82	ונדבך | ביסדו | עבדו | מלאוה
83	לבנא
84	עזגד | ידע | ומלח | למטה
85	וטלם | מהם | הכין | להן | וכדנה | הכהנה | פה
86	לנו | ולכל | כהניא | למחזא | ויסדו | ליום | עבדי | וכלל
87	ואף | לבנה | עזי
88	ועבדו | ככחם | ולהיבלה | מחלי
89	ועזו | מהגולה | אזלנא | ויגע
90	מכל | כלם | מלך | כסדאה | לכם | מן
91	עבדיה | והעי | הלוים | מלכא | לאין | האלהים | אילים | להון | הנבדל
92	ועבדי | לבני | נולו | ולנו | וכהניא | נבדלו | מבן
93	ואפו | פחה | היבוסי
94	ידעי | ידיע
95	להלל | למהך | עזביו | כסדיא | המלך | ועדיה | דניאל | מנה
96	ומים | ולכם | מלוך | וכלם | אלהכם | מיום | ומן | ומלך | להיכלא
97	עבדוהי | יפוא | ומאכל | והלוים
98	זמנא | ועזיה
99	מנדה | ידעיה
100	מימי | מלכי | ולאחיהם | ימים | על | כלים | מני | וילדים
101	ועזיזא | והמלך | אמין | מיכאל | מלכיא | והנולד | מאני | המלאכה
102	מבני | מאניא | בצי | ויכינו | בעל | בנים | וכהנוהי | אלהינו
104	באלהינו | מאחיהם | יעטהי
105	הכלים | הימים | עלה | מלכיה
106	עבדיך | ומני | בחוץ | ועל
107	נבנה | אנון | הבנים | בניהם | והמלאכה
108	חנן | ומאניא | ומבני | חק | ואצוה | חטיפא | בונים
109	ציחא | ואוצאה
110	אנחנא | העלה | כפי | עם | עלי | וללמד
111	עולה | עמא | אלף | כנמא | והכלים | הננו | ומלכיה
112	בעם | הוציא | בקי | בנין
113	ובניהם | בנינא | נחמיה
114	המדינה | עמד | אנחנה
115	עמה | יעלה | העם | אנחנו | דאנין | חזק | עלהי
116	אסנה | סנאה | ויעטוהי | ויעל | עמו | ועלי | ועם | עליו
117	וכנמא | ואלף
