Gmatria	Word
3	בא
7	בה
8	בו | אז
12	בי | הוא
13	זו | יבא
14	זהב
15	בוגד
16	בדי
18	והוא
19	יבאו | בטח | יבוא
20	חזה
21	הודו | הוי
24	וחדו | הגוי
26	יהוה | הביט
27	יזבח
28	ביהוה
30	כי | וחוטא
31	לא | אל | ויהי
32	כבוד | והביט | ויהוה
33	חכה | יחיה
34	כחו
35	ידיהו | בחכה
36	לו | אלה
37	כדגי | ולא
38	והביטו
39	חייהו | יכזב
41	אם
42	הלוא | אלוה
43	גם
44	זבלה
45	מה | אדם
46	אהלי | אלהי
47	אליו
48	באלהי | יבול
49	אגילה
50	ים | כל
51	אכל | ומה | אים
52	כבודך | בים | בהמה
53	אבן
55	הים | כלה
56	אנה | וכל
57	בנה | און
58	חילי
59	ויגיל | גוים
60	מידו | הנה | מזאבי | ילך
61	בגוים | אליך | אין
64	וימדד | ונגה | כחול | הגוים | יחילו
65	אנוח | אדני | בוגדים | הס
66	כמו | ההולך
67	בהיכל | ואני | ואין | במטיו
68	הנביא
70	כן
71	חזון | יהלכו | בטני | ינוה
72	לאלהו | מכבוד
74	עד
75	וילכדה | היין | למה
76	מלאה | חביון | למו
79	להוכיח | יגודנו
80	יסוד | לכל | עוד
81	לאכל
82	עזה | ומכביד
83	באף | לאבן
85	כסה
86	כוס | ליום
87	ואף | לאכול
88	לנגה
90	מים | כלם | דומם
94	מדמי | יחמול
95	סלה
96	יכסו | בדמים
97	לנגדי
100	על | עבטיט
101	יצא | אפך
103	ומאכלו
104	מדין | בבלע | ויפח
105	וייגעו | העל
106	ועל | ומדון
107	ויצא
108	חמס
110	ימין | יכסך | העלה | כמים
113	בעולה
114	עמד | וחמס
115	הנני
116	עליו
118	חלף
119	בזעם | אעלוזה
120	אעמדה
121	אלילים | אלמים | הועיל
122	בימיכם
125	מסכה
127	ולאמים
128	חציך
130	עני | עליך | עמך
132	וכונן
135	ממכלה
136	ממנו
138	לבנון | לחמס
140	עמל | מכף | לעם
141	צאן
142	וקלו | קולו | סוסיו | במלכים
144	חלקו
146	ועמל | עולם
150	למועד
156	סוסיך | צללו | קנו
157	ויאסף
159	קדימה
160	עמים
162	בצע | יקומו
165	העמים
166	וכסף | יעפו | לקול
168	ויאספהו
170	פסל
176	פסלו | וכפיס | לפניו
178	לנצח | אזעק
180	עינים | פעל
181	ומליצה
182	ואצפה
184	מקדם
185	יעננה | פניהם | בגפנים | עפלה
186	קלון | מפניו
188	מספח
190	למען | מקים | לעץ
196	ויענני
200	פעלך | מעץ
204	צדיק
205	להנצל | גבר
206	ראה | דבר
207	ראו
208	בראה | ויקבץ
209	הצדיק | ובאר
210	גזר | וצדיק | הקיצה
211	ארגז
212	ריב | ברגז | ויקצו | בעצמי
213	חרה
214	רוח
216	חבקוק | ידבר
218	ירח | למנצח
219	יאחר
220	טהור | לקץ
221	יורה
224	מזעזעיך | יגרהו
225	יהיר | הרחיב
227	כאור | ראוך
237	לאור
238	להרג
240	מעקל
241	אמר
243	רגלי
245	מהר | המר
246	רום | לחבקוק
247	זרם
248	רחם | חמר
252	רבים | המרבה
254	חרמו
255	הרים
256	בחרמו
257	ומורה | ויאמר
263	ונורא
270	רע
272	עבר | ערב
275	להפיצני
276	ירגזון
279	לרגליו
280	עיר
281	רעהו
284	לחרמו
285	עריה
286	עורי
288	ויעבר | במרום
290	למרחבי
291	ארץ
293	פרזו
294	ידרכני
295	צרה
296	הארץ
297	צואר
300	יצר
301	אש
302	וצור | רקב | בקר | וקיקלון | ברק
303	פרזיו
304	בקרב
306	יצרו | והנמהר | ירוץ
307	קורא | בנהרים
308	חש | ויצבר
310	ריק | בקרבו | ושד
311	והערל | ישא
312	שבי | הבנהרים
313	ורזנים | אשיב
314	שחו
315	קריה
317	ישאו
320	יריק
322	ישבי
325	ויקטר
328	כחש
331	פארן
332	מבצר
336	מצור
346	המשא | יסערו | ושם
347	ואשם
350	מקיר | יספר | עפר
351	נשא
354	מרחוק
356	וישם
357	כשאול
358	ישמח
366	ישלוך
370	משל
371	מעוריהם
375	עשה
376	כושן | לשום
378	משיחך
379	הכשדים
380	מנמרים
382	ישבע
390	שמן | שמים | ישעי
391	ישועה
392	ופשו
400	נשכיך | קרנים | שנים
401	את
406	אתה
410	קדשו | לישע
414	קדשי
415	הררי | מעשה
416	וקדוש
417	זית
418	ישחק
420	תהיה
421	תביט
428	חידות | כתוב
429	משפט
430	שמעך
431	והיית
435	משפטו
436	נפשו
441	מאת
445	משקה
448	משחק | לביתו
449	הלחות
450	נפשך | מתי
451	תהום | תמהו
452	מבית
453	בהמות
