Gmatria	Word
3	בא
8	בו
12	הוא
13	אחד
14	והבא
15	בגדו | ובאו
16	היא | ביד
17	ההוא | הזה
19	הזהב | ואחד
20	היה
21	חגי
22	בך
24	הגוי
25	כה | ויבאו | אחיו
26	יהוה
30	כי | יהודה | יהיה
31	לא | אל | ויהי
32	כבוד
33	ואכבד
36	לו | אלה
37	ואל
38	ואכבדה
40	לי | בכבודו
41	אם | אלי
42	הלוא
43	גדול
45	מה
46	ולי
48	הגדול
50	האדם | מי | טמא | כל
51	ומה | נא
52	בן | בכל
53	אבן | יבולה
55	האדמה | הן | הים
56	כלאה | וכל
57	הבהמה | כלאו | אכול
58	ביום
60	יטמא
61	אני | היום
62	בכם | הדגן
64	ובנו | הגוים
65	היכל | היטמא
66	והנה
67	בהיכל | ואני | ואין
68	הנביא
69	ידיהם
70	כן
71	כמהו
74	יסד
75	היין
76	וכן | הנזיד
78	לחם
79	מטל
80	ועד | הכהן | עוד
81	כאין | כסא
83	יגע | הלחם
84	ידיכם
85	העוד
86	עבדי
90	מן | לכם
91	נאם | מלאך | מאכל | אלהיהם
93	יגיע
94	לבבכם
95	המלך
96	מיום | מלאכה
100	על
106	ועל | עלו
110	עם
115	חזק | העם
117	היקב
119	מעט
120	למן
121	וחזק
129	אקחך | ונגע
130	הכהנים | יען
135	פנה
136	ויען
138	הגפן | בקול
140	לעם
142	ויענו
149	למעט
150	כפים
151	ומעלה
152	בכנף
158	נקוב | בכנפו
160	עץ
165	הכסף
166	ועץ
170	עליכם | לפני
176	סוסים
180	מפני
194	ובמקום
202	בעיניכם
206	ראה | דבר
210	ההר | חרב
211	הדבר
212	הרבה | בחרב
214	רוח | ובברד
215	יהוצדק
216	דברי
220	החרבה
223	אברך
226	וירדו
230	ורוחי
233	וייראו
241	אמר | זרבבל
243	ורכביה
246	ספונים
247	אמרו
251	ראים
256	במגורה
257	ויאמר
260	ההרים
263	ויאמרו
267	מרכבה
270	האחרון
271	לאמר
282	הזרע
283	ורכביהם
284	וארבעה
286	ויער
289	מטרם
291	פורה
294	דרכיכם
296	הארץ
302	וארצה | והארץ
307	והרמון
308	ואקרא
310	היצהר
311	ישא | איש
314	בחדש
328	יקריבו
331	שאל
338	לבוש
340	רצים | שם
342	לחדש
344	שלחו
346	שום
351	נשא
356	שימו
374	ובירקון
376	שלום
382	ועשו
390	שמן | שמים
391	יהושע
392	ויעשו
394	בשביעי
395	השמים
397	ויהושע
398	חמשים
401	את
404	קדש
407	אתו | ואת | לשבעה
409	אחת
412	בית
414	בבית
415	מעשה
417	הבית
418	לחשף
419	היקדש
420	ממצרים
422	הזית | ביתי
423	והבית
426	והיתה | וישמע
430	נפש
441	אתם
442	בשדפון
445	הכיתי
447	ואתם
448	לביתו
451	אתן
452	חמדת
454	והבאתם
461	אתכם
467	והתאנה
470	עת
474	כחותם | בבתיכם
475	עתה | העת
481	ועתה
487	ומלאתי
488	בתוככם | פחת
493	להבנות
496	צרור
499	במלאכות | צבאות
501	מהיותם | אשר
502	בשר
507	תוציא | ואשר
514	עמדת
521	והפכתי | כאשר
536	ממלכות
550	לדריוש
553	בצאתכם
554	ונפחתי
555	לשכרה
556	הנשאר
562	הראשון
575	עשרה
611	תורה
612	בששי
615	הששי
617	תיראו
620	עשרים | בחרתי | מרעיש
622	בעשרים
630	כרתי
706	שתו
710	ערמת
717	זרעתם
732	לשבת
750	שתים
752	בשנת
760	שנית
765	והשמדתי
771	שלתיאל
772	שאלתיאל
776	ושמתיך
820	לתשיעי
911	שארית
921	התירוש
960	משתכר
971	והמשתכר
991	והרעשתי
