Gmatria	Word
0	
1	א
7	הב | בה
8	בו | אהב | אז
9	באו
10	אבוא
11	חג
12	בי | הוא
13	זו | אחד | אהבה | הבו
14	דוד | אהבו
15	בגדו
16	היא | חגה | אהי | אחז | ואט | בודד
17	טוב | זבח | אוי | גדוד | ההוא | דגי
18	והוא | חטא | חי
19	יבוא | אויב | יבאו
20	היה | ידו | וזהב
21	אך | אהיה | הודו | היו
22	בדיו | יחד | חוח | בך | בידו | יהוא | והיא | וביד | ואהי
23	זבחו | יגהה | טובו
24	ואהבי | חטאו | הבהבי
25	ואהבהו | ויבוא | אחיו
26	יהוה | כדב | והיה
27	יגיד | בכה | זבחי | ואהיה
28	ביהוה | יחדו
29	כזב
30	הכה | יך | יהיה | כי | יהודה
31	לא | אל | ויהי | יהיו | איך
32	לב | בל | ויהוה
33	יזבחו | אבל
34	כחו | יחיו
35	לה
36	ויך | לו | אלה | ויהודה
37	לבה | כטוב | ואל | ויהיו | ולא
38	ובל | גלה | כבודו
39	אגלה
40	לי
41	אם | אלי | גבול
42	היטיבו | ואלה | לבי | בם | בלי | להבה
43	גדול | גיל | גם
44	יוכח
45	מה | אדם | הם | ככה
46	אליה | אלהי
47	ואלי | אליו | בהם | אויל | אולי
48	לחטא | אהבם | חכך | יובל
49	החלו | וגם | וחלה | לבטח
50	מי | הולדה | המה | טמא | אדמה | חבלי | לך | ילדו | כל
51	והם | אלך | ילבט
52	בן | אלהיו | בחבלי | הואיל | זמה | בכל
53	יגדלו | באלהיה
54	ימד | חליו | מיד | דמי
55	האדמה | יולדה | הים | כלה | הלך
56	לכו | והמה | יום | וכל | אלכה | ליהוה
57	אכלו | חמדה | ואלך | נגד | און | דגן
58	מאהבי | ביום | אהבים
59	יגילו | כטל | אחים
60	כלי | וילדי | גאון | ימי | וזהבם | הנה | ויחלו
61	בגוים | נדבה | אמך | אני | היום | אין | ללא | הלכו | אליך | וגנב
62	בני | הדגן | זנה | ואכלה | בימי
63	נביא | בנוה | הנח | ואכלו | מאהביה | כלביא | בבטן
64	מידי | נדדו | יחמו | כחול | וכחכי
65	זנח | כאדם | וכטל
66	ויכל | יטמאו | יוכל | אלהיך | ילכו | וילך | ודמיו | כמו
67	אוכיל | יאכלו | ואין | אכליו | ואני | דגני | הזנה | בניה | גדודים
68	כאהבם | ויבן | הנביא | ובני | חכם | הזנו | בניו | באלהיך | בגלגל | ובימי
70	כן | יין | כאדמה
71	ובנביא | הגלגל | אדניו | חזון | ובאונו
72	חסד | יוכלו | יבין | כבודם | לבם | זבחיהם
73	ויאכלו
74	בלבם | עד
75	כהן | אגאלם | לילה | להם
76	כיום | ויין
78	עגה
79	ונחיה | ויזנו | כזבים | האזינו | מלדה
80	כימי | עוד | ידינו | הלילה | ככלי | ובחסד
81	אנכי | אמם
82	בניך | מבלי | בגבעה | נכחד | וכיום
84	מדם | ידע | יחינו
85	מאדם | הגבעה | מהם | עזבו
86	דבלים | לנו | ליום | אלהים
87	ואנכי | אלון
88	אפוא | לחמי | פח | באהלים
89	ידעה
90	ידעו | כלם | פי | מלך | לכם | כיין | מים | מן
91	אפי | אלהיהם | נאם | מלאך | אפוד | כיונה
92	לבני | עזיה | ואלהים | וליום | ויעבד | מחמד
93	ולבנה | לחיהם | באפי | באהליהם
94	ונגלה
95	מלכה | ככהן | המלך
96	יסכו | צו | בדמים | יילילו | מלכו
97	ואכלם | וכיונה | מאנו
98	נחם | כלחם
99	נדמה
100	לכן | נטמא | ילדון | מימי | מלכי | ימים | על | נדמו | מכם | ודמים
101	יצא | בטנם | יאכלם | והמלך
102	נזמה | בעל | מבין | בנים | מחמדי | אלהינו
103	יגיעי | מנחה | כגלים | באמכם | סבאם | עגל
104	באמונה | ופחדו | ללבבם | בבעל
105	ציה | עלה | הימים
106	בחוץ | ומימי | עלו | ועל
107	ואמלל | גלעד | ומבטן | אונים | בניהם
108	קח | מאזני | מגניה | עגלה | נבון | נדדים
109	לאחיכם
110	העלה | מיין | כמים | סבבום | עם | עלי | מלכך
111	המליכו | עלוה
112	בעלי | ועלו
114	אמגנך | קחו | וקח | נחומי
115	עליה | ואקח | בנביאים | יעלה | מכהן | הנני
116	הפוכה | ועם | עליו | עמו
117	וקוה
118	הנביאים | יקח | ויקב | לחמם
119	מלמדה | מעט
120	מף | למלך | עמי | עמדו | לכלם | מועד | לפי
123	יבלעהו | מלחמה | עגלך
124	יעמד | ויקח | סבבני
125	מסכה | מועדה | אפדם | צלה | כהנים
126	אענה | יפלו | אפהם | עון | מאפה | נכון | סוס | ועמי
128	חלץ | במועדו | זנוניה | בצלו
129	ומלחמה | נגעו | ואמאסאך
130	פן | כעם | הכהנים | מלכם | יען | וידעם | עמך
131	קטבך | וענה | ובמלחמה
132	לבעל | בעמך
133	גפן | בצמא
135	ונדעה | מפיה
136	ועמך | ממנו | יענו
137	מצבה | ונאף
138	חלק | לבנון | גפנה | צמח | וחסדכם
140	יחזקיה | פני | ממני | מעל | מימים
141	נאמן
142	להוציא | כסונו
143	כמסיגי | מוצאו | לעגם
145	מלכיהם | קמה
146	נאמנה | עונך | מלכנו
147	אוסף | וקאם | ימצאו
148	בעונך | קמח | קחם | בפניו
150	עמם | כמץ
151	ימאסם
152	נבלע
153	כגפן | ואספו | עגלים
154	קדים
155	עליהם | נהפך
156	עוף
157	יאספו | הבעלים | אוסיף | מזעם
158	כלבנון
160	כסף | ידענוך | עמים
