Gmatria	Word
0	
3	אב | בא
6	בד
7	גד | בה
8	אבה | אז | בו
9	באו
10	בדד
11	באוב | בבאו
12	זה | בי | הוא | גוג
13	הדד | אחד | ובה | הבאה | זבד | אבי | הבו
14	זהב | דוד | אביא | יד | גיא | ואגד
15	בוז | הוד | ובאו
16	היא | אחז | חדד | איה | ביד | בגיא
17	טוב | גזז | הזה | ההוא
18	אביה | והוא | וזה | האחד
19	יבאו | יואב | גוי | ואבי | אחי | ויבא | אביו | אחוד | הזהב | הגיא | וזבד
20	היה | דודו | חזה | אזבי | יובב | ידו
21	אך | וזזא | וחבה | היו | והוד | אהיה | הודו | ההיא
22	הגדי | בך | טובה | בידו | הטוב | יהוא | ואחז | הגדוד | ואהוד | וביד
23	וגדי | וטוב | ויגד | זבדי
24	אחיה | אביהו | ואביה | דויד | דודי | הביאו | ידי
25	ויבאו | בטחו | כה | יהי | החזה | אחיו | ויחא | ויואב | יואח | והזהב | יחבה | ויט
26	ויובב | וההוד | יהוה | חגיה | בידי | והיה
27	גדודי | ויבט | באחיו | הטובה | והיו | ואהיה
28	והגדי | כח | ויהוא | ביהוה | יחדו
29	אויבי | ידיה | וחדוה | יהדי | החוי | ואחוח | וזבדי
30	הכה | אביטוב | בכח | הודיה | כזבא | והביאו | ואחיה | יהיה | כי | יהודה | ודויד
31	לא | אל | ויהי | וזיזא | ואביהוא | ואחיו | יהיו | אחיחד | ויוחא
32	כבוד | ויהוה | לב | בל | ביהודה
33	אביך | יחיה | לאב | בלא | ויזבח
34	ידך | וזבדיה | יהוזבד | ואביהוד | לד | יזיז | בלב | לבב | זבדיהו
35	ויוזבד | היך | אויביו | וזיזה | ויביאו
36	בידך | הלא | ויך | והכה | לו | וכי | ויטהו | אלה | אחיטוב | אהל | הדיוהו | הודויה | ויהודה | בלבב
37	ואל | ויהיו | אחזיהו | ולא
38	ולב | באלה | כבודו | האחוחי | כחי | וכבוד
39	ויזבחו | ויחיה | בלבה | ויגידו | אויבך | להד | לבוא | היהדיה
40	לי | חבל
41	אלי | האהל | גבול | אם | האלה
42	ואחיטוב | ואלה | הודויהו | ולו | חלד | ואהל | בם | בלהה | ובידך | והודויה | ויכו
43	הגלה | גדול | החל | גם | והכבוד | יחדיהו | לאחד
44	חלאה | אלזבד | לזהב | לבבי | ליד | ילד | אליאב | אוזל | אביאל | הגלו | ואדבאל | דם
45	מה | אדם | הם | מאד
46	לוי | מאה | אלהי | לאחז | ולוד
47	ואם | אליו | הגדלה | יואל | בהם | ויכהו
48	חם | באלהי | גדולה | באמה | להביא | לאביה | חיל
49	מואב | אויביך | אוביל | בבמה | ילדה | הדם | הליד | וגם | אחלי | מדה | וגדול
50	ובבלהה | האדם | מי | ויוכח | ואליאב | המה | וחול | ויגאל | ים | לך | כל
51	הלוי | אדום | נא | גבולי | והם
52	כלב | בן | ומאה | ויבדל | ואליה | אליהו | ליחד | חלדי | זמה | אליחבא | ולוי | בכל
53	אבן | לטוח | ויואל | הגדולה | ויגדל | החיל | מגדו | באדום | ואמו | ולגדי
54	ויחל | המבוא | חילו | מזהב | לדויד | מיד | והגדול | בכלב | דן | זבדיאל | מטה
