Gmatria	Word
0	
1	א
3	בא
4	אבא
5	ה
7	או | בדא | בה
8	בו | אהב | אז | באה | אבה
9	אדד | באו | ובא
10	בבאה | אבוא | אט
11	אי | חג
12	אחאב | הוא | זה | בי | הגד
13	זו | הדד | בחג | אחד | יבא | באי | אבי
14	זהב | דוד | אביא | יד
15	גבהה
16	היא | החג | אחז | בדוד | ביד | הבט
17	טוב | הזה | זבח | גדוד | ההוא
18	אביה | ואחבא | והוא | הביא | חי | חטא | האחד | ואחאב | וזה
19	יבאו | יואב | גוי | ואבי | אחי | והדד | ויבא | אביו | הזהב | איבו | אויב | ובאי
20	היה | הטו | ויד | ידו | וזהב
21	אך | הוי | האזוב | היו | ההיא
22	בדיו | בך | הטוב | יהוא | ובזהב | והיא | הגיד
23	וזבח | ויגד | באך | איבי | החי | וטוב | כבא
24	אחיה | אביהו | ויאהב | הגוי | כד | חטאו | ויבו | דויד | ידי | האויב
25	ויבאו | יהי | כה | יטו | אחיו | בגדיו | ויבוא | והזהב | וזבוד | ואביו
26	יהוה | בכד | כבד | והיה
27	ויבט | והודו | יגיד | ויטב | הטובה | בכה | והיו
28	יחי | ובידו | כבאה | יחטא | ביהוה | יחדו | באכה
29	גוך | החוי | וחוט
30	ידיו | הכה | בכח | אחיהו | ואחיה | יהיה | כי | יהודה
31	לא | אל | ייטב | ויהי | ויטו | יהיו | כחג | הכבד | איך | וכה
32	כבוד | ויהוה | אלא | ויאחז | לב | כאחאב | כזה | ביהודה
33	אביך | יחיה | וטובי | אבל | החטיא | ויזבח
34	ויחי | ידך | חייו | כיד | ויביאה | לבב | כדוד | יחטאו
35	לה
36	בידך | הלא | ואחיהו | ויך | והכה | לו | וכי | לבד | אלה | אהל
37	לוא | ואל | ויהיו | אחזיהו | וייטב | ולא
38	חל | וכזה | באלה | באהל | בול | לבו
39	החטיאו | אחיך | בגדיך | זבל | ויגידו | לבוא | טל | לבבה
40	חבל | בחל | בלבו | לי | וזהבך | לבבו
41	ואלד | אלי | האהל | הכביד | גבול | אם | האלה | ויכה
42	ולו | ואלה | לבדו | לאחאב | בם | הלוא | ובידך | ויכו
43	איביך | לאהבה | לאבי | גדול | ולוא | גדלו | גם | חלה | אחדל
44	ויזבחהו | לזהב | לדוד | דם
45	ולבוא | הם | מה | אדם | מאד | ככה
46	בדם | האלי | לבדי | האיל | לוי | חזאל | מאה | אמה | אלהי | אליה | ולי
47	אולי | ואם | לזבח | אליו | אמו | בהם | במה | ויכהו
48	הגדול | גדולה | באמה | הגם | חיל | ולבי
49	מואב | וליאב | לבטח | ילדה | חיאל | וגם | מדה | לאחי | הילד
50	האדם | מי | דמו | ולדוד | ההם | המה | איזבל | בחיל | ים | לך | חלבי | כל | להחבה
51	והכך | ומה | אמי | אלך | אדום | האמה | נא | אכל | והם
52	בן | ומאה | אלהיו | מזה | בים | לבך | אליהו | הבמה | במי | להגיד | בכל | מבי
53	אבן | אבים | הגדולה | ויגדל | מגדו | באדום | מביא | הלחי
54	ויחל | מדי | וחם | חליו | חילו | לדויד | כלבב | בבן | מיד | דן | לבבך | דמי
55	האדמה | נגב | וליואב | הכל | כלה | וילט | הים | גבים | ימה | הילוד | הלך
56	אנה | לכו | הכלא | הומה | נדב | האלך | וגאליו | בידם | והמה | ולך | כלו | בדן | יום | לבדך | וכל | ליהוה
57	בנה | אכלו | מזבח | הבהמה | ואכל | ואלך | נגד | אוכל | אכול
58	ובן | כבול | ואליהו | ביום | חן | אביהם | בנו | ויחדל | ובכל | יחם | ומזה
59	והחיל | בגדים | חומה | ומגדו | ואבן | אחילוד
60	האדמי | לכי | כלי | ולזהבי | נגבה | ליהודה | ימי | מידו | הנה | מחזה | יכל
61	אני | הולך | והים | היום | בבגדים | הבדים | אין | אכלי | הלכו | נבט | אליך
62	המזבח | בכם | ונדב | בין | בני | הדגים | אסא | ואלכה | ויום | ואנה | בכלי | בימי
63	נביא | להחטיא | באכלי | הנח | נגדו | אבני | לחכה | באני
64	ואבנה | וביום | נטה | ביומו | החומה | דמך | כחול | הגוים
65	בגלל | אדני | כמה | מכה | היכל
66	ויכל | יכלו | האין | מיהוה | ימיו | אלהיך | לאלה | ילכו | וגביהם | ומחזה | וכלי | הבטן | וילך | יוכל | והנה
67	חטים | הבין | יבנה | ויאכל | סבה | יאכלו | נגיד | ואין | זבחים | גחון | ואני | טובים | וטבים
68	ובין | חיים | חכם | הנביא | ובני | ויבן | ובכלי | חטאים | והמזבח | איביהם | בניו | הגלל | בימיו | כחיל
69	ואבני | אבינדב | ויחלטו | בגחון | ונביא
70	המכה | אדניה | ינוד | וילכד | ככל | ההיכל | מיהודה | נהיה | כן | יכיל
71	אכן | האכילה | אדניו | לאם | מלא | אלם | ויהלך
72	עב | חסד | בנך | יסב | הטובים | לבם | וילכו | ביני
73	חכמה | נביאי | הניח | מאבל | בניהו | ויבנה | ויאכלו
74	וינח | לבבם | יסד | עד | חטאנו | סביב | כדים | ויבנו
75	אחינדב | סבבהו | גבע | להם | כהן | לילה | הנך | עדא | אדע | למה
76	כיום | אלהם | ואדניה | לבדם | אדניהו | עבד | מלבד | וכן
77	אולם | לאמו | עבה | ויחביאם | החסד | ויכלהו | מזבחך | מלאו | עבדא
78	נכח | לחם | החכמה | ובנך | עגה | הגליל | מלבו | ועב | ויסב
