Gmatria	Word
0	
1	א
3	בא
5	ה | בבא
6	בד
7	אגג | או | גד | בה
8	אז | אהב | בו | דאג | באה | הבא | אבה
9	בוא | אבו | אוב | באו | ובא
10	גבה | אבוא
11	באוב | הדב | הגג | בבגד | אי
12	הוא | זה | בי | הבה | הגד
13	גי | אחד | איב | יבא | אבי
14	זהב | דוד | אהבו | ובאה | יד | גיא | דואג | בזה | ודאג
15	גבהה
16	היא | הגגה | בדוד | ביד | גבהו
17	טוב | גדי | הזה | זבח | אוי | הדוב | גזז | ההוא | ואי
18	אביה | והוא | אגיד | חי | הביא | חטא | האחד | וזה
19	יואב | בגזז | ואבי | בטח | אחי | ויבא | יבוא | הזהב | אביו | איבו | בואי | ואחד | בזבח
20	היה | דודו | ודוד | ואביא | ידו
21	אך | אהיה | יטב | היו
22	יחד | בך | טובה | בידו | הטוב | הגדוד | והיא | וביד | הזבח | הגיד
23	וגדי | הביאה | ויגד | באך | דויג | איבי | וטוב | יגדו
24	הטבח | והאחד | וחי | ידי | הביאו
25	ויבאו | ובזי | כה | באיבי | אחיו | והגיא | בגדיו | ויבוא | יבואו
26	אכה | יהוה | בידי | והיה | אחטוב | ויגבה
27	ויבט | הגידה | זבחי | יגיד | הטובה | אכבד | והיו
28	יחי | חיי | והגיד | כח | יחטא | ביהוה | יחדו
29	אויבי | ויגדו | בזבחי | ובאך | איביו | בואך | ואגידה | כבוא
30	ידיו | כהה | הכה | ויאהבו | יך | בכח | ויבאהו | ואחיה | וידי | יהיה | כי | יהודה
31	לא | אל | הכו | ויהי | ייטב | כבדה | ויטו | יהיו | איך | וכה
32	כבוד | והיטב | ויהוה | כחד | ביהודה | וכבד | לב | כבדו
33	אביך | איבך | ובכה | יחיה | כאחד | אבל | ויזבח
34	אהבוך | ידך | חייו | דל | כדוד
35	לה | ויאהבהו | יכה | ויביאו
36	בידך | ויך | והכה | לו | ויבזהו | וכי | אלה | אחיטוב | אהל | ויהודה
37	לוא | אלו | לבה | יכבה | ואל | ויהיו | וייטב | ולא
38	ויבך | חל | ולב | אזל | באלה | גלה | יבכו | לבו
39	ויזבחו | אחיך | ויגידו | אויבך | לבוא | גלו
40	לי | חבל | חלב | ויביאהו
41	אלי | ולה | גבול | דבלה | ייטיב | בלט | אם | האלה
42	בלבבו | ולו | ואלה | לבי | לבדו | בם | הגדל | לזה | הלז | גדלה | הלוא | ויכו
43	איכבוד | האזל | איביך | וגדל | גדול | החל | בגבול | גם | כבאך | חלה
44	לדוד | ליד | לדואג | אליאב | טלה | אביאל | באהלו | וגלה | ויבכו | דם
45	החלב | הם | מה | אדם | מאד | ככה
46	כיהוה | בדם | בלבבי | אבגיל | הגבול | אלהי | אליה | ולי
47	אולי | ואם | לזבח | והלאה | אליו | אמו | גבולו | יואל | בהם | במה | ויאל
48	הגדול | חם | חדלו | לחי | יגלה | גדולה | להביא | הגם | במאה | חיל
49	לטבח | מואב | לאביו | בבמה | ילדה | הדם | וגם | החלו | מבוא | וגדול
50	האדם | לוטה | מי | דמו | ההם | המה | לך | בחם | כל
51	במואב | ומה | אלך | אן | נא | אכל | בבואם
52	בן | כלב | ומאה | נב | אלהיו | מזה | ואלהי | לבך | הגדיל | אבוגיל | הבמה | יחדל | הואיל | להגיד | בכל
53	אבן | לדויג | הגדולה | נבא | ויגדל | באים | ולאדיב | החיל | ולזבח | לאיבי | ובמה | אליהוא
54	באלהיו | מדי | ויחל | ידם | מיד | בנב | לאחיה | לבבך | לכד | דמי
55	האדמה | ויגלו | ולאביו | ויטל | לאחיו | נגב | הכל | הים | הלך | כלה | לכה
56	לכו | במטה | האלך | ואדמה | בלבבך | אביגיל | אכלה | בידם | והמה | גבוליה | ומי | ולך | כלו | בדן | יום | לבדך | וכל | ליהוה
57	נבה | בנה | ויטבל | מזבח | לגזזי | ואלך | נגד | אוכל | הכלב | בהן | און | ואמי
58	ובן | ביום | מחטא | כלבו | חן | אביהם | בנו | ויחדל | אזן | באביגיל | ובכל | האבן | הבאים
59	בגדים | חומה | ובאדום | מידה | המטה | והחיל
60	האדמי | לכי | ומיד | ילך | כלי | מדיו | ידמו | ליהודה | הנגב | ויוחל | ימי | מידו | הנה | כלבבו | יכל
61	והלך | אמך | אני | ובאבן | יאכל | מיטב | נחבא | ולכה | היום | הלוך | טבים | אין | הלכו | ונאד | אליך | וכלה
62	בכם | ואביגיל | ולכו | בין | בני | סב | ואלכה | מהגיד | יומו | בכלי | כלבי | בימי
63	חמיה | נביא | ואון | חנה | מאיבי | ואכול | ונגד | דגון
64	נהגו | נטה | אזנו | הביאום | ללבב | כחול | וייחל | הגוים | חנו
65	ונבוא | הכלי | ההנה | אדני | ובגדים | מכה | היכל
66	כליו | ויכל | מיהוה | יכול | אלהיך | ומדיו | וכלי | וילך | יוכל | והנה
67	חטים | גזזים | גדיים | באדני | ויאכל | יאכלו | מזבחי | ואין | זבחים | ואני | והלכו | בהיכל | בניה
68	ובין | חיים | כחם | ויבן | ובני | אזני | הנביא | חטאים | בניו | סבו | בגלגל
69	וחנה | אבינדב | ומחיה | אביון | לאחיך | ויביאם
70	המכה | וחגגים | בבניו | וילכד | יין | וסבב | ככל | באזני | ובבני | נהיה | כן | ונבזה
71	מיטיב | הגלגל | אכן | אדניו | כמהו | מלא | כמוה | חזון
72	בידנו | חסד | יסב | בנך | הטובים | לבם | וילכו | ביני
73	החטאים | החיים | ויאכלו | הסבו | וזבחים
