Gmatria	Word
0	
1	א
3	אב | בא
5	ה
7	או | בה
8	בו | אהב | אז | באה | הבא | אבה
9	בוא | אוב | באו | ובא
10	גבה
11	אי | חג | בבאו
12	אחאב | הוא | זה | בי | בגבה | הגד
13	הדד | חגב | בחג | אחד | זבד | וגד | יבא | באי | אבי
14	זהב | והבא | יד | גיא | בזה
15	בגי | ובוא | באחד | ובאו
16	היא | החג | אחז | בזהב | ביד | בגיא
17	טוב | גדי | הזה | זבח | ההוא | ובבאו
18	אביה | והוא | הביא | חי | האחד | אזבח | וזה
19	יבאו | גוי | אחי | הבזה | ויבא | אביו | הזהב | בטוב | ובחג | יבוא | הגיא | ואחד | אויב
20	חזה | היה | ידו | וזהב
21	אך | ואבואה | בגוי | היו | הודו | והגבה | ההיא
22	בדיו | והחג | בך | טובה | בזזו | בידו | הטוב | יהוא | הגדוד | והיא | הגיד
23	הביאה | וטוב | ויגד | יביא
24	אחיה | אביהו | ויאהב | בגדיה | חטאו | דויד | הביאו | ידי | האויב
25	ויבאו | יהי | כה | אחיו | זיזא | דדוהו | בגדיו | יואח | יבואו | והזהב | החזה | ואביו
26	יהוה | בחטאו | בדויד | והיה | חוזה | ויגבה | כבד
27	והודו | זבחי | באחיו | הטובה | והיו | החוח
28	וידח | יחי | ובידו | כח | אהבך | יחטא | ביהוה
29	הביאהו | אויבי
30	בכח | אחיהו | ויבאהו | והביאו | יהיה | כי | יהודה
31	לא | אל | ויבזו | הכו | ויהי | חוזי | יהיו | הכבד | איך | ויבואו | אחזיה
32	כבוד | ויהוה | לב | יואחז | ביהודה
33	אביך | כאחד | וטובי | אבל | בלא | ויזבח
34	בבל | ויחי | ידך | יהוזבד | לבב | יחטאו
35	ויוזבד | והחוי | אויביו | לה | ויביאו
36	בידך | הלא | ויך | לו | בבבל | לבד | הכהו | אלה | אהל | ויהודה | בלבב
37	יהואחז | ואל | ויהיו | אחזיהו | אכביד | ולא
38	באלה | ובידיו | באהל | ידיחו | וכבוד | וביהודה | לבו
39	ויזבחו | בבלה | בגדיך | אחיך | זבל | ויגידו | ולבא | לבוא | לבז | לבבה
40	וזבדיהו | וידך | ויביאהו | בלבו | ויהוזבד | ויחטאו | לי | לבבו
41	אלי | הכביד | ויגביהה | גבול | אם | האלה
42	בלבבו | לבדו | לאחאב | ואלה | ולו | בם | ובלבב | חדל | ובידך | ויכו | אלוה
43	וגדל | גדול | החל | גדלו | גם | לביא | חלה | אחדל
44	כדויד | וטוביהו | לבבי | אליאב | ידיך | ויכבו | דם
45	ולבוא | בבאם | הם | מה | אדם | מאד | ככה
46	אהלי | להחבא | חזאל | מאה | אלהי | אמה | אליה
47	לטוב | ואם | אליו | אמו | בהם | לגדוד | במה | חלדה
48	הגדול | ויכחד | גדולה | באמה | להביא | במאה | חיל | ולבי
49	מואב | ויגל | הדם | וגם | החלו | מבוא
50	האדם | מי | ההם | המה | טמא | בחיל | אדמה | ים | לך | חלבי | כל | ולזהב
51	במבוא | הלוי | ומה | אדום | במדה | נא | חזהאל | והם
52	להגדוד | בן | ומאה | חדלי | אלהיו | לטובה | מזה | זהם | לבך | זמה | בהמה | בחלבי | בכל
53	אבן | החלי | הגדולה | ויואל | ויגדל | לזבוח | החיל | מגדו | מביא | הלחי
54	ויחל | מדי | חליו | ידם | לדויד | בבן | מיד | דן | לבבך | לכד | המובא
55	ויחלא | האדמה | לכה | הכל | הים | הן | ומואב | יחואל | ימה | הלך
56	לכו | הכלא | יכוך | ויולד | בחליו | בידם | בדמי | והמה | ומי | ולך | כלו | גמזו | יום | לבדך | וכל | ליהוה
57	בנה | אכלו | מזבח | חמדה | נגד | דגן | אכול
58	ביום | ובהמה | אביהיל | ויחדל | אבנה | בנו | אביהם | ובכל | ומזה | הבאים
59	בגדים | חומה | אחים | באנו | ואבן | יחיאל
60	ומיד | כלי | נגבה | הטמאה | ליהודה | ימי | הנה | ויחלו
61	אני | והן | והים | היום | הבדים | אין | ללא | הלכו | נבט | אליך
62	המזבח | לכבוד | בכם | בין | בני | אסא | הדגים | בכלי | בימי
63	כגדול | נביא | בונה | אבני | מחיה | ובנה | ומזבח
64	ואבנה | וביום | הבגדים | מידי | לבבל | נטה | ביומו | החומה | הנדה | ידים | הגוים | אחיהם | ויגדלהו
65	כהם | ויחיאל | אדני | כמה | מכה | היכל
66	יכלו | נדיב | יוכל | והנגב | לאלה | אלהיך | כאלהי | והנה | ויכל | האין | ימיו | יכול | וכלי | בזזים | וילך | כליו | ילכו | לאהל | מיהוה
67	המזבחה | חטים | יבנה | נגיד | בהיכל | זבחים | בהלל | ואין | לאחזיהו | ואני | בינה | בניה | טובים | וללא | הסב
68	ובין | חיים | חכם | ויבן | הנביא | ובני | בינו | ובכלי | בחחים | ואסא | בניו | בימיו | ובימי
69	בטחים | ידיהם
70	ילכדו | וילכד | וסבב | ככל | ההיכל | ויבהלוהו | מיהודה | החזים | נהיה | כן | יכיל
71	היכול | אדניו | להכביד | כמהו | ובוזים | בנבאיו | מלא
72	וכליו | חסד | ובדודים | בנך | יסב | הנגיד | ויחזיאל | ויטמאו | הטובים | לבם | הזבחים | וילכו | ביני | החטים
73	חכמה | בהיכלו | הניח | ובינה | והאכלהו | ויזן | ונגיד | הנביאה | ובהלל | ויבנה | ויאכלו | בחזון
74	וינח | לבבם | עד | ובניו | ויחן | חטאנו | וינהג | ואזני | סביב | לדם | ידכם | ויבנו | מידך
