Gmatria	Word
0	
1	א
3	בא
7	אבד | או | בה
8	אבה | אז | בו
9	בוא | ובא | אוב | באו
11	הגג | בבוא | בבאו | אהה | אי
12	אחאב | הוא | זה | בי | הגד
13	הדד | ואבד | אחד | יבא | באי | אבי
14	זהב | והבא | דוד | דדו | יד | בזה
15	בגדו | גבהה | באחד | ובאו | בגי
16	היא | אחז | איה | ביד | בגיא
17	טוב | גדי | הזה | זבח | איו | זבוב | ההוא | ובבאו
18	והוא | הביא | חי | חטא | האחד | וזה
19	יבאו | גוי | בטח | אחי | הטה | ויבא | אביו | הזהב | בגדי | יובא
20	חזה | היה | ידו | וזהב
21	אך | ואבואה | וידא | היו | ההיא
22	אביט | הגדי | בך | טובה | בידו | הטוב | יהוא | הגדוד | והיא | וביד | הגיד | האביד
23	וזבח | ויגד | ויז | אגידה | חטאה | חיה | כבא
24	חיו | אחיה | הגוי | בגדיה | חטאו | ויבו | וחי | זבודה | ידי | הביאו
25	ויבאו | כה | הך | יהי | אחיו | בגדיו | ויבוא | והזהב
26	היטב | אכה | יהוה | חחי | בחטאו | והיה | יטבה | כבד
27	גדודי | יגיד | ויטב | הטובה | בבגדיו | בכה | והיו | החוח
28	וידח | זבידה | גחזי | יחי | והטוב | החיה | ויהוא | חטאי | ביהוה
29	יבטח | ויגדו | האחיה | ובאך | כבוא
30	ידיו | הכה | וחיו | בכח | ויבאהו | יהיה | כי | יהודה
31	לא | אל | ויבזו | ויהי | יהיו | הכבד | איך | וכה | ויבואו | האכה | ויואח | אחזיה
32	החטי | בכי | ויהוה | הגידי | לב | יואחז | ביהודה
33	אביך | וגדודי | ידידה | יחיה | אבל | החטיא | ויזבח
34	בבל | ויחי | ידך | וכח | חייו | וגחזי | ויחטא | כדוד
35	לה | היהיה | ויוזבד | יכה
36	בידך | הלא | ויך | איכה | לו | וכי | הכהו | לבד | בבבל | אלה | אהל | ויהודה
37	לוא | יהואחז | ואחזיה | ואיך | ואל | ויהיו | אחזיהו | ולא
38	ויבך | גיחזי | וביהודה
39	בבלה | כאביו | בגדיך | ויגידו | לבוא | לבז
40	לי | ויהוזבד | לבבו | ויביאהו
41	אלי | יכהו | גבול | אם | האלה | ויכה
42	לבדו | לאחאב | לבי | ולו | בם | ובלבב | הואל | הלז | הלוא | ויכו | ההבל
43	הגלה | גדול | החל | גם | ואחזיהו | חלה | מבא | לאחד
44	לבבי | הגלו | גולה | דם
45	מה | אדם | הם | מאד
46	בלבבי | חזאל | הגבול | מאה | אלהי | אמה | לאחז | אליה
47	ואם | אליו | לגיד | אמו | ויכהו | גדלי | בהם | אבדם | אויל | אולי | חלדה | ויכוה
48	הגדול | בחלח | ולאחאב | גדולה | להביא | חיל
49	מואב | ויגל | והגלה | וגם | אחלי | מבוא | הילד
50	מי | איזבל | ההם | המה | טמא | בחיל | אדמה | ים | לך | כל | להחבה
51	כלא | ומה | אילי | אלך | אדום | חזהאל | נא | אכל | והם | מאדו
52	בן | ומאה | וחזאל | אלהיו | ליהוא | לבך | אליהו | הבמה | להגיד | בכל
53	הגדולה | גן | נבא | מחה | ויגדל | באים | החיל | מגדו | גדליו | ואמו | מביא
54	המובא | מדי | ויחל | ויגלה | חליו | ידם | חילו | וחיל | מיד | לבבך | לכד | מטה | ילדי | דמי
55	האדמה | אוחיל | כלה | הכל | הים | ההמה | גבים | והוכיח | הלך | במגדו | בגן | בחמה | לכה
56	לכו | אנה | ואיזבל | והמה | וטמא | ומי | דבים | גבוליה | ולך | בדן | יום | לבדך | וכל | ליהוה
57	בנה | אכלו | ויטבל | מזבח | ואכל | הכלב | דגן | כלאו | אכול
58	ובן | נהג | ואליהו | ביום | החמה | הגן | גדליהו | אבנה | בנו | להאבידו | ובכל | האבן
59	בגדים | נבוא | באנו | ויהבלו | ואבן | המטה | אבנו
60	לכי | כלי | ליהודה | ימי | מידו | הנה | ודמי
61	אמך | אני | הלוך | היום | אין | הלכו | נבט | אליך
62	בכם | המזבח | בין | בני | סב | חדן | ואנה | בימי | וכאלה
63	נחה | נביא | כבאם | ואכלו | ובנה | ימחה | ומזבח
64	הבגדים | מידי | ונבאה | ביומו | ויחם | ידים | הגוים | כדם | אחיהם
65	כהם | אדני | ובגדים | מכה | היכל
66	כליו | ולכי | יכלו | גוזן | בדודים | האין | ימיו | יוכל | אלהיך | סאה | וכלי | ויטמא | וילך | ילכו | והנה
67	ליהואחז | סוא | ויאכל | יאכלו | נגיד | ואין | זבחים | בהיכל | בניה | גדודים | הסב | ואליך | נבחז
68	ובין | חיים | ויבן | הנביא | ובני | ינהג | איביהם | בימיו | בניו | אבניה | לגיחזי
69	ללדה | ואבני | הידים | נביאו | טבחים | ויביאם | ידיהם | ויאבדום
70	באזני | ככל | מיהודה | סובב | כן
71	יונה | הגלגל | הוליך | ואדני | הליכו | אדניו | הכום | נזיד | כמהו | מלא
72	וכליו | בנך | וסאה | לאהלו | וילכו
73	נביאי | הנביאה | גמל | ויאכלו | נחיה | וכאמו
74	מבבל | לילד | עד | הבטחים | ויחן | אזניו | סביב | ויבנו | ינוח
75	נכה | וילכדה | להם | כהן | בטחנו | לילה | הנך | למה
76	אלהם | בידכם | מלאה | לבדם | לחזאל | הנזיד | ויכם | בעד | לולי | עבד | הגלגלה
77	וכמהו | יהונדב | בלילה | ויטמאהו
78	אזנך | לחם | ואוליכה | ובנך | מלבו | ונגידה | ויסב | עזא | מלח
