Gmatria	Word
0	
3	אב | בא
4	גא
7	אבד | או | בה
8	אהב | באה | אז | בו
9	בוא | אבו | בז | באו | גאה | ובא
10	גבה | בדד | אבוא | זאב
11	אי | חג
12	הוא | זה | בי | ודב | הגד
13	בהו | זו | אחד | הגה | ובה | יבא | באי | אבי
14	זהב | דוד | אביא | האח | אהבו | יד | גיא | הדה | אדדה | די | בזה | אהגה
15	בגדו | ובגד | יה | ובאו | הוד | דוה | הגבה | בגוד | בוגד
16	היא | אחז | וגבה | בזהב | הוה | בגיא | איה | ואבוא | ביד | האי | בודד | הבט | אודה | גבהו | בזאו
17	ואי | טוב | גדי | הזה | זבח | אוי | חוג | ההוא | חדה | ביה | טח | בגאוה
18	ואבדה | והוא | אגיד | הביא | חי | והגד | חטא | אהבי | וזה
19	יבאו | גוי | הטה | יבוא | אביו | ויבא | הזהב | בגדי | בטוב | ובאי | היד
20	דוי | היה | והגו | הטו | זהבו | חזה | אבטח | הבוגד | ידו | חבי | וזהב
21	אך | חזו | הוי | בידה | אחזה | ובוגד | בגוי | היו | אהיה | הודו | ההיא
22	בדיו | יחד | אביט | בך | בזזו | בידו | הטוב | החבאו | בזוז | ואיה | יזה | הגיד | חטה
23	הידד | ויגד | וגיד | יהגה | ויז | אהביה | זובח | באיי | יאבדו | חטאה | יביא
24	הגוי | ואגיד | יטה | דודי | הביאו | ידי
25	ויבאו | יבזו | בטחו | כה | ובטח | יבגדו | בוטח | יטו | וטבח | אחיו | בטוח | וגוי | בגדיו | ויבוא | הטהו | דכא | ויט
26	והבוז | היטב | יהוה | חחי | והיה | ויגבה | כבד | וידו
27	הגידה | באחיו | יגיד | אכבד | והיו
28	טיט | אבכה | חיי | והטוב | חטאי | כבו | הביאי | ובידו | כח | ואביט | בכו | וחוח | יגיה | ביהוה | יחדו | הגידו
29	כזב | יבטח | יביאו | כאוב | וכאב | יחבט | גוך | איביו | ויאבדו | בואך | כבגד
30	ידיו | כהה | בכח | והביאו | יהיה | כי | יהודה
31	לא | ויזבו | אל | ויהי | יביט | יחזו | ויטו | יהיו | כבדה | הכבד | איך | דכאו | אודך | ויואח
32	כבוד | גזזיה | בכי | ויהוה | כבדו | הביטו | וכבד | לב | ויאחז | ידיח | בל | כזה | ביהודה | ובבטחה
33	יגידו | אביך | יחיה | כאחד | לאב | אבל | חכה | ואביטה | ואכבד
34	בבל | גאל | ויחי | ידך | וטיט | והגידו | וכח | יחיו | בבכי | בכבוד | ויחדו | זהבך | כחו | לבב
35	ובואך | והחוטא | וכבגד | יכה | לה
36	בידך | הלא | והכה | איכה | וכי | לו | לבד | הכהו | בבבל | יכבד | אלה | אהל | האל | ויהודה
37	יביטו | לוא | כבודה | גדל | ואיך | לגד | ואל | הבל | ויהיו | הכזה | ולא
38	ויבך | הזכו | כחי | ובל | גלה | לבו | ואכהו | אבלה | כבודו | באהל | כחדו | וכבוד | והביטו | ויגידה
39	בבלה | וחטאיה | כגוי | ויגידו | לבגד | בלוא | לבוא | טל | לבז
40	חבל | יכהה | ולבב | דלו | גואל | חלב | גזל | יודך | לי | ובלב | לאט | לבבו
41	אלי | ויבטחו | בלבבה | הכביד | גבול | אם | האלה | ויכה | הבדל
