Gmatria	Word
0	
1	א
3	בא
5	ה | בבא
7	אבד | או | גד | בה
8	בו | אז | דאג | באה | הבא
9	זב | אח | באו | בגד | גאה | ובא
10	גבה | ואבא | בדד | זאב
11	אי | אהה
12	אחאב | הוא | זה | בי | דאבה | אבדה | הגד
13	אבדו | הדד | דאגה | ואבד | אחד | אהבה | יבא | אבי
14	ואז | בגדה | זהב | גוה | ובו | אביא | אהבו | דוד | יד | האח | ובאה | גיא | הדה | די | ואגד
15	בגדו | גבהה | איד | ובאו | בוז | בגוד | אטה
16	היא | גבהו | איה | ביד | ואט | האי | זדה | בגיא | בדי
17	טוב | יאבד | הזה | זבח | אוי | גדוד | ההוא
18	ואבדה | והוא | אגיד | הביא | חי | ידאג | דדי | האחד | וזה | האיב
19	יבאו | גוי | אחי | יבוא | אביו | ויבא | בטוב | איבו | בגדי | ידה | ובהו | הדוד | יובא | אויב | ואבדו
20	גזי | דוי | היה | ודוד | בגודה | הטו | ידאה | וגיא | ואביא | ידו | וזהב
21	אך | הוי | איי | בגוי | היו | אהיה | הודו | ההיא
22	בדיו | יחד | בך | טובה | אבידה | בידו | הטוב | ובזהב | ואיה | וביד | הגיד
23	הידד | ויגד | וזבח | יהגה | יאבדו | ואיו | חטאה | יביא
24	חיו | הגוי | אחיה | חטאו | וחי | הביאו | ידי
25	ויבאו | כה | יהי | בוטח | והדוד | אחיו | יובאו | בזוי | וגוי | דודאי
26	יהוה | וידאה | בידי | והיה
27	הגידה | טובי | והוי | הטובה | והיו
28	ידחו | טיט | אבכה | איביה | ובך | ובידו | ויגדה | בכו | ובזזו | וטובה | דדך | ביהוה | יחדו | הגידו
29	הבטחה | וחיה | יבטח | וחוט | איביו | בחגוי | גויי | ואגידה
30	ידיו | הכה | אכזב | וחיו | אחיהו | ויבאהו | בטיט | וידי | יהיה | כי | יהודה | והגוי
31	לא | אל | ייטב | ויהי | ואחיו | יהיו | איך | דכאו | ויבואו | היהוה
32	כבוד | החטי | ואכה | בכי | ויהוה | לב | בל | כזה | יחיד | ביהודה
33	אביך | ובכה | יחיה | כאבי | לאב | אבל | הדיחו | החטיא | בלא | לבא
34	בבל | ובכו | ידך | והגידו | חייו | בבכי | ואבכה | בלב
35	לה | יכה | יהודי | ויבטח
36	בידך | הלא | בכחו | והכה | איכה | לו | וכי | בבבל | היטיב | אלה | האל | ויהודה
37	לוא | ביהודי | הלב | וכאחב | והכו | לבה | גדל | ואיך | כטוב | ואל | הבל | ויהיו | הדיחי | וייטב | ולא
38	ולב | באלה | יחדיו | אבלה | אהביך | כבודו | לבו
39	בבלה | לדה | אחיך | ויגידו | בלוא | לבוא | בטחך | לבז
40	לי | ובבל | חלב | בכחי
41	אלי | גבול | אם | האלה | ויכה
42	לדאבה | היטיבו | לבי | ואלה | בם | חדל | גדלה | הלוא | ויכו | ההבל
43	לאיב | הגלה | איביך | גדול | ולוא | גדלו | גם | כבאך | לביא | מג
44	הגאלה | גולה | לוח | בלבי | לבבי | לדוד | חלו | ילד | ידיך | באהלו | חול | הגלו | דם
45	הם | מה | אדם | מאד | ככה
46	בזזיך | בגולה | אהלי | מאה | אלהי | גזול | וגאלו | אמה | אליה
47	לטוב | במה | אלהיא | ואם | אליו | באדם | אמו | בהם | אויל | אולי | ויכהו
48	והיטיבו | הגדול | חם | חדלו | יובל | חיל | ולהבה | גדולה | בלוי | להביא | חלי | ולבי
49	לטבח | מואב | וגיל | גליו | לבטח | מבוא | ויגל | כחטבי | ילדה | בהבלי | בלואי | וגם | הגולה | וגדול
50	האדם | ודם | מי | אחולה | ההם | וידיך | המה | בחיל | ים | בכחך | לך | כל
51	במואב | אלהיה | ומה | אמי | המו | אלך | אדום | נא | האלהי | אכל | והם
52	בן | כלב | אלהיו | לטובה | כבודך | מזה | לבך | בים | הגדיל | גדליה | בהמה | להגיד | ובגולה | יאחזוך | בכל | מבי
53	אבן | הגדולה | גן | נבא | יזלו | באים | מביא | חמה | ובאדם
54	ימד | מטה | מדי | ויחל | המדה | ובלוי | חילו | דים | לטבחה | אהבום | יחול | וחיל | מבגדה | מיד | הגלוי | דן | יליד
55	האדמה | אדן | לאחיו | כלה | הכל | הים | הן | גבים | לטבוח | יככה | אידם | גנב | ימה | ההמה | הלך
56	אנה | כאלה | בידם | ולך | כלו | להטיב | יום | וכל | לכו | הכלא | אכלה | האכל | והמה | ימו | ומי | אלכה | ליהוה | הוטלו | בלבבך
57	בנה | מגיד | אכלו | והמו | הבהמה | הבן | ואכל | חמדה | ואלך | אוכל | בהן | און | כלוא | דגן | כלאו | אנו
58	דאגים | ביום | החמה | דדן | ובהמה | באנה | נבו | ולבך | אבנה | בנו | חן | אביהם | גדליהו | ובכל | האבן | ויחדל | ולהאביד | הבאים
59	גוים | בגדים | ויבאם | ובאדום | נבוא | נבאו | ומבאי | מגוי | ויהבלו | ואבן
60	הנגב | הגנב | בחן | נדו | ידמו | דנו | נבוב | ימדו | הלכה | ליהודה | מידו | גאון | הנה | אוחילה | ודמי | יהמה | ילך | כלי | ימי
61	והלך | בגוים | אמך | אדון | נוה | איים | אני | ובחמה | ודליהו | יאכל | היום | הלוך | הבדים | אין | הלכו | אליך | וכלה
62	בכם | ולכו | בין | בהנה | בכלי | בני | הכלוא | זנה | ואכלה | ואלכה | ויום | אסא | כלבי | בגאון | בימי | וכאלה
