Gmatria	Word
0	
1	א
3	אב | בא
5	ה
7	אבד | או | בה
8	באה | אבה | אז | בו
9	בוא | אח | גו | באו | גאה
10	גבה | אבוא | אט
11	באבו | אי | חג
12	הוא | זה | בי | דאבה | הגד
13	אחד | אובד | הבאה | יבא | אבי | הבו
14	זהב | גוה | האח | יד
15	בגדו | באחד | גאוה | איד | ובאו | בוז | הוד | אחו | גבי
16	היא | אחז | וגבה | איה | ביד | הבט | גבהו | בדי
17	טוב | יאבד | איו | ההוא | חבאו | ואי | דגי
18	והוא | הביא | חי | חטא | וזה | יגה
19	יבאו | גוי | איוב | בטח | אחי | בגדוד | והגה | ויבא | יבוא | בטוב
20	היה | וגוה | גבהי | אחוה | ידו
21	אך | ואיד | חזו | באיוב | היו | והוד | אהיה | אחזה | ובוז
22	בדיו | יחד | חוח | בך | טובה | בידו | הטוב | חטה | ואחז | ואיה | ואהי | והיא | בחבי | אחזו
23	ויגד | היאבה | וחוג | יהגה | טובו | איבי | כאב | יאבדו | חיה | ואיו
24	אחיה | וידד | יטה | חטאו | בטובה | היגאה | ידי
25	ויבאו | ויגאה | ואיוב | יהי | יטו | אחיו | ובגדי | ויבוא
26	יהוה | בידי | והיה | ויגז | יאחז | וידו
27	זך | גידי | יגיד | ואהיה
28	טיט | חיי | ויחד | כח | יחדו | הכאב
29	בגיחו | יבטח | ויאבדו | כבגד
30	ידיו | הבוזי | אכזב | בחיי | ובחוח | יחזה | יגביה | בכח | כי
31	לא | אל | הכו | ויהי | יביט | יגיח | כבדה | יהיו | אודך
32	בכי | ויהוה | ויגבהו | הביטו | באחיהו | לב | ויאחז | בל | זכה | חדודי
33	יגידו | גל | אכחד | יחיה | כחה | כאבי | זכו | יכאב | חכה | בלא | גדודיו
34	ויחי | ידך | חכו | כזהב | יחיו | דל | וחך | כחו | לבב | כדוד
35	והדך | אחוך | ידכא | בחכה | לה
36	בידך | הלא | ויך | בכחו | יכבד | לו | יגביהו | וכי | בדיך | וידיו | אלה | אהל | האל
37	יביטו | להב | גדל | ואיך | ואל | הבל | ולא
38	היחיה | ולב | באלה | גלה | אבהל | כחי | כחדו | חכי | בול | לבו
39	אחיך | בגדיך | הוכח | אובל | יטך | לבוא | טל | כאיוב
40	דלו | גזל | חלב | כדוי | כידו | בחכי | לי | בלדד | לאט
41	אלי | אחבל | ואחוך | ייטיב | אם | אולד | האלה | לאדו
42	לבדו | ואלה | ולו | לבי | בם | ואהל | חלד | חדל | יזכה | יכבדו | בלי | כבודי | אלוה
43	יכאיב | גדול | גם | ולהב | גיל | לביא | יגל | בהלו
44	ילבב | לזהב | בבלי | גמא | לבבי | אגלי | ידיך | באהלו | גאלי | ויבכו | אזלו | דם
45	והוכח | יהל | וטל | הם | לגבי | חבלה | מה | אוכיח | אדם | מאד | ככה
46	האם | חבלו | אהלי | גזלו | מאה | ובלדד | לבדי | לאחז | אליה
47	ואלי | ואם | יבלה | אליו | וידכאו | גלדי | גבולו | בהם | אויל | אולי | ויאל
48	חם | חדלו | ובחבל | יגלה | ואלוה | בחלבו | יובל | וחדל | במו | יבלו | גדולה | להביא | יבול | הגם | לחטא | חיל
49	יגלו | איחל | לאויב | לבטח | לאיוב | ויגל | וגם | יטל | מדה | וגדול
50	האדם | מי | ויוכח | דמו | ילוד | המה | וחלו | יולד | ים | וילד | לך | ילדו | כל
51	ואדם | ומה | אמי | אלך | במדה | אן | נא | כאל | אכל
52	בן | מזה | לבך | בחבלי | אליהו | יחדל | זמה | במי | להגיד | בכל
53	אבן | אליהוא | חמה | יזלו
54	ואחדלה | מגוה | ומדד | יוכיח | כידודי | חילו | יובלו | מיד | לידי | יגמא | ומח | לחיו | לכד | דמי
55	בחילה | הוליד | הים | הן | בחמה | אידם | יגאלהו | כלה | הלך
56	אנה | יחבלו | אימה | בלבבך | כאלה | אכלה | בידם | אהלך | בחמו | יגזלו | מאחז | יאהיל | ומי | כלו | יום | ומגז | וכל | וים
57	בנה | אכלו | ואכל | ואלך | אוכל | און | טובם | ואבליגה | דגים | אנו
58	ובן | ואליהו | ביום | ויחדל | יחיל | בנו | אביהם | הואילו | לכח | אזן | נדד | ובכל | חילי | כוכבי | כלח | נגה | לחיי
59	ואבן | נבוא
60	כחלב | ואיחלה | ומיד | כלי | יכל | ני | בכלח | נבוב | גאון | ימי | מידו | הנה | ויחלו | ילדיו | וחמאה
61	ללא | אני | יאכל | היום | לאל | אין | אלל | הלכו | אליך | הנו
62	בכם | ויולדו | ולכו | בין | בני | כבלי | יומו | כלבי | בגאון | לחזיז | בימי
63	לאבל | אונו | נגדו | לגדודיו | ואנו | ויאבדם | אבני | אבין | אבדון | גליך | בבטן
64	דין | לדל | מידי | נטה | ידים | אחיהם
65	זנבו | אדני | כמה | יגנב | יהלך | ימוט | כאדם | מבטחו
66	יכלו | בחמודו | היאכל | וימי | נדיב | ימיו | יוכל | בסד | וידמו | הלאל | וילך | גאונו | כמו | והנה
67	הבין | יבנה | נוהו | נדחה | בינה | נגיד | ואין | נחבאו | ואני | והלכו | בטנו | נגדי | בניה
68	חיים | חכם | באהליך | אזני | ובני | אזין | חלל | בניו | יכיחך | אבניה | כחיל
69	בבטנו | אביון | מבטחי | בבינה | ידיהם
70	אדניה | ע | וניד | וכחול | יין | באזני | ככל | יבחן | וידים | כן | ודין
71	אללי | ומזיח | אכן | יהלכו | כמהו | מאל | במכאוב | ויהלך | מלא | בטני
