Gmatria	Word
3	בא
7	אבד | בה
9	בוא | באו
11	אהה
12	הוא
15	ובאו
16	איה | ביד
17	ההוא
19	יבוא | גוי | יבאו
20	היה | ידו
21	ההיא
22	חטה
25	אחיו
26	יהוה | והיה
28	ביהוה
30	כי | יהודה | וזהבי
31	לא | אל
32	ויהוה
34	ובכו
36	לו | ויהודה
37	ואל | להב | ולא
38	יבכו | אבלה
39	אבלו
40	לי | חלב | ובבכי
41	אלי
42	הלוא | בם | להבה
43	גדול | גם | לביא
44	דם
45	מה | אדם | מאד
46	אלהי
47	ואם | יואל
48	ולהבה | הגדול
49	וגיל | גילו | וגם | הילד | להטה
50	אדמה | מי | כל
51	אכל
52	הגדיל | בן | בכל | בהמה
53	גילי
54	חילו
55	ההמה | הים | הגזם
56	אכלה | ומי | יום | וכל | ליהוה
57	מזבח | ואדום | נגד | דגן | אכול
58	חילי | ביום
59	חומה | גוים
60	והילדה | הנה
61	בגוים | אני | והגזם | בחומה | אין | אליך | וכלה
62	בכם | בין | בני | הדגן | בימי
64	יחילו | הגוים
65	ונבאו
66	ילכו | הטבים
67	ואני | ואין
68	ובני
70	נהיה | כן | יין | בזונה
71	כמהו
72	חסד | ביין
73	מגל | כגן
74	לדם | עד
75	למה | להם | כגנב
76	מלאה | בעד
78	נבכו
79	בגדיכם | חוסה
80	עוד
81	גבולם
82	האולם | ובעד
83	ומלאו
84	הגמול | עדי | דמם
85	והאזינו
86	ליום
87	והיללו
88	נחל | חילם
89	ימלט
90	מן | מים | יודע | לכם
91	הילילו | נאם | אלהיהם
92	לבני
93	ולמזבח
94	לבבכם | ויחמל
96	לינו
98	נגהם
100	על
101	אמלל | יצא
102	בעל | בימים | אלהינו
103	מנחה | הלבינו
104	ונחם | וכוכבים
105	יטפו | ציה | עלה
106	אמללה | ועל | אלהיכם
108	ומחמדי
109	מחנהו
110	עם | עלי
111	ועלה
113	ובניהם | מחסה | החסיל
114	חנון | מסביב | נאנחה
115	עליה | יהפך | הנני
116	ילכון | יעלו | עמו
119	והחסיל
120	עמי
121	היונים
122	בניכם | ויעלו | בימיכם | ואפלה
123	גמלים | מלחמה
124	עדן
126	יכילנו | יפלו
128	ובניכם | המלחמה
129	ומעוז
130	קל | הכהנים | עמך | כעם
131	אפים | העבדים
133	גמלכם
134	פליטה
135	קהל
136	ונסך | ויען | צום
137	לבניהם
138	הגפן
139	וגפן
140	מעל
142	קולו
143	גפני
144	יחלמון | ובצום | חלקו
145	הילק
146	לעמו | הצאן | פניו
147	אספו | יעבטון
148	מחמס
149	החלונים
150	עמם
151	העולם | המונים
152	לבניכם | וספו
156	להפליא | יוסף | כקול | וספדו | ציון
158	בציון
160	עץ | עמים
161	נקיא
162	בעמים
165	להיכליכם
166	וצידון
167	היקבים | ויקנא
170	ענן | עצי | כספי | עמכם | לפני
176	סוסים | לפניו | וינקי | לעולם | ומעין
178	ידחקון | יבצעו
180	פנים
186	מפניו | עוללים
189	וזעקו
190	למען | מפיכם
191	המקום
192	ובמספד
196	מציון | עינינו
198	קבצו
200	עסיס
201	אפיקי
202	בר | רב
205	גבר | הר
206	דבר | עצום
207	זקנים | בהר | רבה
208	ורב
209	אחר | הקדמני
210	מעליכם | דור | עמק | רדו | נמנע
211	הקיצו | גבור
212	ועצום | דברו | הזקנים | בעמק
213	הארבה
215	רגזה
216	אריה | ודור
217	חגרו | יראו
219	אחרי
221	ארך
224	רוחי | וירח
225	אחריו
226	ויורד | ירגזו
227	ברכה | זקניכם
229	לצדקה | והירח
231	ואחריו
239	גורל
240	לדור
241	אמר | גבוריך | הצפוני
242	בדרכיו
246	מדבר
250	מהרה
251	המדבר | מורה | יאמר
252	מראהו
254	ונקבצו
256	המורה
257	ויאמר | יאמרו
258	מחדרו
260	ורחום | ההרים
263	ונורא | וזרים | ויאמרו
266	הגבורים | מכרו | כמראה
268	והנורא
270	האחרון
271	אכרים
276	למדבר
280	הרעה
281	כגבורים
282	בעיר
284	עדרי
286	בחוריכם
288	יעברו
290	צר
291	ארץ | העירו
292	יעורו
293	פזרו | חרפה
296	ערוך | הארץ | פריו | רמון
297	וארץ | והריעו
299	ובארץ
301	ארצי | קרא | אש
302	בקר | אקרא
303	אשב
304	בקרב
305	יצהר | לקצפה
307	קראו | ואש
308	שדד | שבו | קרוב
309	אשוב | באשו | שדה | החרוץ
310	כרמים | קדרו
311	ויצהר | יקרא | דשאו
312	ומכרום
313	אשיב
314	שדי | רחוק | ישאג | השדה
315	מרעה
316	והיצהר
317	ואיש | הביש
318	יבשו | ישוב
319	ארחיק | יגשו
320	ושובו
321	נהרסו
322	ישבי
323	הוביש | הבישו | לחרפה
327	לארצו
328	הובישה | חשך | יושבי | לרמחים
330	וכשד
332	בשל
333	בארצם
338	שלח
340	שם
341	נעוריה
342	בשם
343	השלח | גשם | החלש
344	שלחו
345	שמה
346	ספרו
351	נשא
353	שמחה
354	משדי | שדים
356	ירצון
358	לחשך
360	ושמחו | מעירם | שני
361	אנשי
362	ירוצון
363	הרחיקם
364	ושמחי | השטים
365	עצרה
366	שניו
370	ירקדון | שכן
371	והשליך
375	עשה | לשמה
378	עבשו
380	מספר | מצרים
381	כאנשי
382	וקרעו | עושו
383	לשבאים
384	ושבוע
385	שממה
386	וערפל
388	חשף
390	שמים
391	ושממה
392	בשמים
393	חשפה
396	נשמו
397	נאשמו
400	למשל | קציר | שק | קש
401	את
403	גת
404	קדש
405	השנים
406	שפכו
407	אתו | ואת | אשפוך
408	זאת
410	קדשו | יהושפט
412	בית
414	קדשי
415	לשממה
416	והשקה | ישקו | שמעו
419	לשפט
420	תהיה | עשן | היתה
421	השיקו
425	ההיתה
426	כתו | והיתה
427	והשיקו
439	והדחתיו
441	אתם
444	תלהט
448	הבאתם
451	אתן
452	בשקים | מבית
453	בהמות
454	בבתים
456	תאנה
457	נאות
458	חתן
460	משלמים | יתן
461	אתכם
463	הנחת | כבתולה
467	והתאנה
471	אתיכם
472	ויתנו
473	אבתיכם
475	עתה
478	ובעת
479	גלילות
481	חזינות
482	ומלקוש
484	חלמות
487	פארור
492	והגבעות
497	ואכלתם
500	נתן | ותפוח
501	אשר
502	בשר
504	ונחלתי
505	תלכנה
506	ותעל | נתנו
508	נחלתך
511	ראשי | והללתם
517	פתואל
521	כאשר
522	והשאיר
528	בנותיכם | שריגיה | כשחר
530	וידעתם
533	מחפתה
534	ובנותיכם
538	במסלתו
541	ישראל
554	צחנתו
559	בראשון
563	בראשכם
570	נקיתי
572	ובשרידים
575	שערה
576	ונקיתי | רעשו | מופתים | שכורים | תקעו
578	לקחתם
580	פרש
582	ורעשו
586	ירושלם | שופר
592	וירושלם
594	ובירושלם
608	וקבצתי
610	יתר
611	חגרת
616	ויתר
617	תיראו
621	תיראי
625	הכרת
632	ומירושלם
640	תמר | שמש
645	השמש
646	לחרבות
655	ארחותם
656	ששון | וכפרשים
664	הגרנות
668	מרכבות
670	נכרת
671	והורדתים
676	ומכרתי
679	תערוג
689	ממגרות
690	פרדות
697	אצרות
700	מכרתם
702	תשב
708	שבות
710	רעתם | שתי
722	וישתו
723	והשבתי
748	שלחתי
763	ומזמרתיכם
778	מגרפתיהם
786	ושלמתי
799	השפחות
806	לעשות
808	תחת
810	פלשת
818	ושבעתם
850	תתן
855	ונשפטתי
866	ונתתי
867	ותאנתי
916	תירוש
927	והתירוש
950	משרתי
952	ומתלעות
1062	ותימרות
