Gmatria	Word
7	אבד | דג | בה
8	באה | בו
12	זה | הדג | הוא
13	אחד
17	טוב | הזה | זבח | הדגה | ואי
20	היה
21	אך
22	הגיד
23	אזבחה
26	יהוה | היטב
27	הגידה
28	חיי
30	כי | יהיה
31	ההיטב | אל | לא | ויהי
32	ויהוה
36	לו | בלבב
37	ואל | לדג | ולא
39	ויזבחו | לבוא
40	לי
42	הלוא
43	גדול
44	דם
45	החבל | אדם | מה
46	אליה | אלהי
47	אליו | אולי | הבלי
48	הגדול | גדולה
50	האדם | מי | כל | לך
51	נא
52	מזה | בן | בים | אלהיו
53	הגדולה
54	ויחל | הטיל
55	הים
56	לכו | אנה | להביט | יום | ליהוה
57	נאבד
58	ובן | ובהמה
59	וגדליו
61	ויטלו | אני | הולך | אליך
62	נאבדה | בין
63	והבהמה
65	היכל
66	אניה | יכלו | אלהיך | ויטלהו | וילך
67	ואני
68	באניה | מחיי
69	וגליך
70	כן
71	יונה
72	חסד
74	עד
75	אחוס | לילה | להם
77	ויונה | והאניה
80	ועד | למי | עוד
81	אנכי
84	ידע
85	סכה
86	אלהים | לנו | בעדי | אליהם
87	אפו
88	באלהים
89	ויגע
90	ידעו | מלך | מים | מן | יודע
91	האלהים
92	מאומה
95	יעזבו | מהלך | המלך
96	ויכס | ומים | ומן | יפו
97	מנגד
100	על | ימים
101	ליונה | מבטן
104	ונחם
105	הכלים
106	וימן
107	ויצא | ומאין
108	קח
110	עם | עלי
112	חסדם
113	החמס
114	וינחם | חנון
115	עליה
116	ויעל | לאלהים | ימינו
117	ויקא
120	והטילני | צל
121	נינוה
122	בצל | בחזקה | במעי
123	מגדולם | בנינוה | ויאמינו
126	ויפל
127	מכסאו | ונינוה
130	ויעמד
131	אפים
132	לבלע | ויפלו
133	המלחים
134	יסבבני
135	ונדעה | יטעמו
136	צום
138	בקול
140	מעל | ממני
146	קולי | קום | סוף
147	וימצא
152	והצאן
154	קדים
155	עליהם | עמהם
156	מעליו | ויקם
157	אוסיף | בכפיהם
159	מטעם
160	ממעי | עיניך
161	נקיא
165	להציל | להקל
166	עלינו
170	עליכם | לפני
171	מצולה
176	לעולם
181	ונפילה
184	מקדם
193	ויזעק
195	מעליהם
196	ויענני
199	ויזעקו | קטנם
202	רב
203	מזעפו
206	דבר | מעלינו
207	רבה
208	ורב | רבו
210	ברח | מעליכם | הספינה | מלפני
211	ירא | הדבר
212	הרבה
213	חרה
214	ירד | רוח
216	יראה | דברי
217	וירא
220	וירד
221	ארך
224	ויחר
225	ברחיה
226	כדבר | וידרו
227	אפפוני
232	לקצבי
233	וייראו
235	כזרח
240	לברח
244	הגורל
255	הרים
257	ויאמר
260	ורחום | וירדם
261	ונהר
263	ויאמרו
270	מדרכו
271	לאמר
275	רעה
276	קיקיון
278	עברו
280	הרעה | עיר
281	רעהו | הקיקיון
282	בעיר | עברי
285	העיר
286	האפר | ירעו | וירע
288	ויעבר
294	נרדם
296	הארץ
301	קרא
304	נדרים | מחרון | מדרכם
307	הבקר | וקרא | שוא
308	ושב | שבו
310	לעיר | יש
311	ארצך | איש
315	חשבה
316	האיש | חבוש
317	ויקרא
318	ויקרב | וישב | ישוב
321	הקריאה
322	היבשה
323	וישאו | ויקראו | ארבעים
324	וישבו
328	וייבש
330	סער
335	מצרה | הסער
336	וסער
337	שאול
338	וישכב
340	שם
342	בשלי
347	להשיב | וישאל
352	שבן
353	שמחה
354	וילבשו
361	אנשי
364	וישמח
367	שאוני
375	עשה
376	אשלמה
382	בשלמי
386	ויעש
395	השמים
400	שק
401	את
406	האנשים | אתה
407	ואת | לשמאלו
408	זאת
409	תבוא
413	הזאת
415	תודה | ותבוא
420	היתה
424	קדשך
425	נעשה
426	ותך
430	נפש
431	היותי
432	בנפש
436	נפשו
440	נפשי
443	גדלתו
446	מות
450	שקים
451	תהום | להיות | אמתי
455	אדמתי
456	מותי
465	מעשיהם
466	ויתן
468	חסת
476	למות | לילות
481	ועתה
494	ידעתי
501	אשר | ראש
502	ויתכסו
503	באשר
505	עלתה
506	ותעל
507	ראשו
508	בעלות
511	מלאכתך
513	השחר
521	כאשר
525	שכרה
537	להשבר
540	עמלת
541	לראשי
554	קדמתי
555	נהפכת
556	ויתפלל
566	בהתעטף
572	משבריך
575	עשרה
578	חפצת
596	ויתעלף
611	אדרתו
624	ירדתי
630	משמרים | ויחתרו
635	שלשה
637	זכרתי
640	ירכתי
641	ושלשה
645	השמש | גורלות
651	אמרתי
664	נדרתי
678	למחרת
710	רעתם
711	קראתי
716	מרעתו | ישתו
748	משחת
760	שנית
780	עשית
786	שועתי
790	משתים
791	ישועתה
806	לעשות
810	שמעת
816	וישתק
823	תחתיה
826	ותשליכני
850	תתן
906	תולעת
920	תפלתי
928	חרישית
963	נגרשתי
1030	שלשת
1180	יתעשת
1210	תרשיש
1215	תרשישה
