Gmatria	Word
0	
3	אב | בא
7	או | גד | בה
8	אז | בו
9	בוא | ובא | באו
11	הגג | אהה
12	גדה | הוא | זה | בי | הגד
13	גי | אחד | וגד | אבי | הבו
14	ואז | זהב | יד
15	ואבאה
16	הגגה | היא | ביד | בבואה
17	גדי | הזה | אוי | ההוא | חדה
18	אביה | והוא | חי | והגד | חטא | וזה
19	גוי | ואבי | אחי | יבוא | ויבא | הזהב | ואחד
20	היה | יובב | ואביא | ידו | וזהב
21	אך | ובגי | היו | אהיה | ההיא
22	טובה | בזזו | בידו | הטוב | ובזהב | והיא
23	יביא | ויגד | חוט | זבדי
24	והגי | הגוי | אחיה | יטה
25	ויבאו | כה | ואחי | ויהד | והזהב | ויט
26	יהוה | והטו | והיה
27	ואך | והיו | זבחי | הטובה
28	החיה | ביהוה | והגדי | יחדו
29	חטבי | החוי | איביו
30	כי | יהודה | הכה | יהיה
31	לא | אל | הכו | ויהי | החביאה
32	כבוד | לב | ויהוה
33	אביך | והאחזו | גל | ויחבאו
34	גאל | והחיה | וכח | חייו | יחיו | וביהוה | לבב
35	וכבוא | וחטבי | יכה | והחוי | לה
36	בידך | הלא | ויוטה | לו | וכי | לבד | היטיב | אלה | אהל
37	גדל | ואיך | כטוב | ואל | ויהיו | וייטב | ולא
38	בלו | וביהודה
39	ויזבחו | אחל | אחיך | לבוא | גלו
40	לי | חלב
41	וגבל | אלי | האהל | גבול | לבדה | אם | האלה | ויכה
42	ולו | בחבל | ואלה | בם | אהלו | הלוא | ויכו
43	איביך | לאהבה | גדול | ובלה | גם | בגבול
44	בבלי | לבבי | ידיך | באהלו | וגלה
45	ולבוא | יגבל | אכזיבה | הם | מה | מאד | ככה
46	וחבל | ואכזיב | האהלה | לוי | הגבול | מאה | אלהי | אמה | אליה | חגלה
47	ואם | לזבח | באדם | אליו | ויכוה | גבולו | בהם | וגבול | אולי | ויכהו
48	הגדול | חם | מאז | באלהי | גדולה | לוזה | חייך | במאה
49	הדם | מבוא | מואב | וגם
50	האדם | מי | דמו | ההם | המה | ים | חבלי | לך | הגבלי | כל | דום
51	הלוי | ומה | אמי | האהלי | אדום | במדה | נא | והם
52	בן | כלב | מזה | במי | בכל
53	אבן | ויואל | באים | החיל | מגדו | מדאגה | ולזבח | ולגדי | היובל
54	נד | מיד | וחלי | דן | לכד | מטה
55	האדמה | נגב | הכל | הים | טמאה | ימה | הלך
56	לכו | אנה | הוהם | ואדמה | בידם | והמה | ומי | וידאלה | יום | וכל | ליהוה
57	מזבח | הבהמה | נגד | בהן | און | דגן | מידבא | גדלך
58	כבול | ביום | ככחי | אביהם | בנו | ובכל | האבן | ומזה | הבאים
59	גוים | המטה | באנו
60	הימה | ילך | וידם | נגבה | הנגב | ההלך | ימי | מידו | הנה
61	והלך | ואדמי | בגוים | אמך | אדון | וימה | אני | והים | גנבו | היום | הלוך | אין | הלכו | הולך | אליך | וכלה
62	בכם | המזבח | בנגבה | ולכו | בין | בני | וליהוה
63	ובנגב | והבהמה | נגדו | ואולך | ובנה | דגון
64	וביום | נטה | החומה | ילידי | בבני | ידים | כחול | וככחי | הגוים | אחיהם
65	ודנה | ולכדה | באבני | ויבאום | אדני | מכה
