Gmatria	Word
0	
1	א
3	בא
6	גג
7	או | בה
8	אבה | אז | בו
9	אבאה | באו | אבו
10	זאב
11	אי | חג | הגג | אהה
12	הוא | זה | בי | הבה | חבב | הגד
13	אחד | יבא | באי | אבי | הבו
14	זהב | בזה | יד
15	באחד | ובאו
16	היא | איה | וזאב | אהוד | ביד | בבואה
17	טוב | גדי | הזה | זבח | בבואו | בגזה | ההוא
18	אביה | והוא | אגיד | הביא | חי | וזה
19	יבאו | בטח | אחי | ויבא | ידה | יבוא | חבט | אביו | הזהב | האטד | בגדי | ואחד
20	הגזה | היה | דודו | ואביא | ידו
21	אך | בידה | היו | אהיה | ההיא
22	הגדי | טובה | בידו | הטוב | ואחז | ואהוד | וביד | ואיה | והיא | ואהי | הגיד
23	חודה | וזבח | יאבדו | ויגד
24	חיו | הגוי | אביהו | ויאהב | אחודה | הביאו | ידי
25	ויבאו | ובטח | בטחו | כה | יהי | אחיו | בגדיו | ובגדי | ואביו | ויט
26	יהוה | בידי | והיה
27	הגידה | ויטב | הטובה | חידה | והיו
28	יחטא | ביהוה | יחדו
29	בואך | ויגדו
30	ידיו | ואהביו | בכח | יהיה | כי | יהודה
31	לא | אל | ויבגדו | ויהי | ואחיו | כבדה | יהיו | איך | ויגבהה
32	בכי | ויהוה | ויאחז | לב | כזה | ביהודה | החידה
33	אביך | כאחד | לאב | אבל | לבא
34	ויחי | ידך | כדי | ואבכה | כחו
35	יכה | וידיה | והחוי | לה | ויביאו
36	בידך | הלא | ויך | איכה | לו | וכי | לבד | בחייו | אלה | אהל
37	לבה | כטוב | ואל | ויהיו | וייטב | יחידה | ולא
38	ויאחזו | באהל | וכזה | הביאך | כחי | לבו
39	ויזבחו | אחיך | הדל | בלהב | זבל | לבוא | טל
40	לי | אכזיב | חלב | ויביאהו
41	גלח | אחלב | אלי | ולה | האהל | ויבטחו | גבול | ייטיב | לבדה | אם | האלה
42	לבדו | ואלה | לבי | בם | ולבד | הלהב | אהלו | יכבדו | הכבודה | הואל | בלאט | הלז | הלוא | ויכו
43	לאבי | גדול | החל | בגבול | גם | לוז | כחוט | בגבלו | אחדל
44	ידיך | ויבכו
45	החלב | הם | אדם | מה | וזבל | חלבה | מאד
46	האהלה | לוי | גזלו | גבולה | מאה | אלהי | אליה | ולי
47	ואם | לזבח | אליו | הגדלה | אמו | ויכהו | גמד | בהם | וגבול | במה | ויכוה
48	הגדול | חדלו | לחי | החלה | יחל | כחך | גדולה | יבול | חיל
49	מואב | אויביך | לבטח | לאביו | ויאחזוהו | ילדה | וגם | מבוא
50	האדם | מי | וידל | דמו | ההם | המה | בלחי | טמא | יולד | ים | בכחך | לך | כל
51	הלוי | ומה | אמי | אלך | אדום | נא | אכל | והם
52	בן | כלב | ומאה | מזה | לבך | זמה | בהמה | להגיד | בכל
53	אבן | ויואל | ויבהל | הגדולה | ויגדל | באים | החיל | מגדו | ובמה | ואמו | הלחי
54	ויחל | מיד | חמאה | דן | לבבך | ויבול
55	היולד | הים | טמאה | הלך | באבן | כלה | לכה
56	לכו | אנה | ויולד | בידם | והמה | ומי | ולך | יום | וכל | ליהוה
57	מזבח | ואכל | ואלך | אוכל | הכלב | בנגב
58	ביום | ולבך | חן | בנו | אביהם | ובכל
59	זנב | ויגדלו | בגדים
60	ילך | ומיד | לכי | כלי | ודן | הנגב | ימי | מידו | הנה | ויחלו
61	נאוד | אני | מגיח | נחבא | היום | הלוך | אין | הלכו | הולך | אליך | ויהם
62	המזבח | בכם | בין | בני | ואלכה | ויגזלו | בימי
63	לאביך | נביא | זנו | מזבחו | מחיה | ימחה
64	מידי | בבני | ידים | כחול | הגוים | אחיהם
65	הס | ולכדה | הלל | אדני | מכה
66	כליו | יכלו | האין | והנגב | מיהוה | אלהיך | ולכדו | הבטן | וילך | ילכו | והנה
67	חטים | לולא | ואין | והיום
68	ובין | ויבן | נביאה | ובני | איביהם | בניו | זונה
69	בבטנו | אבינו | והנח | הדני | ידיהם
70	אדניה | וילכד | ויחילו | באזני | יין | ככל | מיהודה | כן
71	הגלגל | והלכי | אדניו | אדוני | מלא
72	בידנו | חסד | יבין | בנך | בכים | לבם | לאהלו | וילכו
73	טוחן | הניח | הבנוי | ויאכלו
74	וינח | עד | אויביהם | ובניו | ויחן | חטאנו | חסו | סביב | ויבנו | לחול
75	וילכדה | מיכה | להם | הלם | היין | כהן | לילה | הנך | גבע | אחינו | למה | אויבנו
76	אלהם | בידכם | אדוניה | ויכם | בעד | עבד | וילכדו | למאה | וכן | ויין
77	לאמו | מלוא | הבכים | בלילה | מגדל | עז
78	נכח | הניחה | לחם | יבוס | ויסב | מלח
79	לבואם | הכדים | עזב | אחיכם | למואב | ויזנו | דלילה | כזבים | האזינו
80	ויחנו | לכל | עוד | הכהן | גבעה | דעו | ועד | וכדים | הלילה | ככם
81	ולהם | אף | ולמה | אנכי | אינך | הלמו
82	בעדו | בגבעה | עזה | עבדו | המגדל | לאהליו | ויכום | לכלב
83	ואולם | כבאכם | מאיביך | איביכם | ולאמו | ומגדל
84	חלום | ידע | ויסבו | העדה
85	אויבינו | פה | הגבעה | מהם
86	אלהים | לנו | והלמה | הכסא | לאהלך | כמוך | והכהן | מאלהי | אליהם
87	אפו | ולאמי | ואנכי | ויהללו | גדלים | אלון | וימלא
88	אפוא | באהלים | נחל | באלהים | לחים
89	החלום | והלחם | ויגע | ידעה | מחולה
