Gmatria	Word
0	
3	אב | בא
6	דב
7	אבד | בה
8	בו
9	באו
10	בדד
12	זה | בי | הוא
13	יבא | באי
14	זהב | יד
15	בגדו | דוה
16	היא | איה | ביד
17	אוי | טוב
18	חטא | הביא | חי
19	הוגה | גוי | אויב | יבאו
20	דוי | היה | ידו
21	אך | חזו | היו
22	טובה | בידו | והיא | הטוב
23	איבי | חטאה | אהביה
24	ידי | ויגה | חטאו
25	כה | ואויב
26	יהוה | הביט | בידי | וידו
28	חיי | והטוב | איביה | כח | יחדו | בכו
30	כי | יהודה
31	לא | אל | בידיה | יזובו | הביטה
32	הביטו | לב
33	זכו | בלא
34	חטאיו | חכו
35	לה
36	כבדי | איכה | לו | אלה
37	לוא | והביטה | הבל | ויהיו | ויחזו | בלה | ולא
38	חל | גלה | באהל | כחי
39	כאויב | גלו
40	לי
41	אם | הכביד
42	להבה | לבי
43	גדול | גם | בוכיה
44	חלו | דם
45	מה | אדם
46	בדם
47	אליו | אולי
48	לחי | ולבי
49	הדם | ויאבל | אויביך
50	מי | המה | טמא | אדמה | לך | כל
51	אכל | אדמו | אדום | נא
52	לבך | הגדיל
53	אבן | באכל | ויגדל | לחיה
55	לדכא | אוחיל | כלה
56	אכלה | בידם | כלו | יום | וכל
57	דגן | אוכל | נגד | בנה
58	נהג | ביום | בנו
59	גוים
60	ימי | וידם | ידמו
61	בגוים | אני | היום | אין | הלכו | אליך
62	בין | בני
63	לאבל | נביא | מזבחו | אבני | הזילוה
64	ידים | נטה | ויחיל
65	זנח | אדני | וחומה
66	וילך | מיהוה | כמו
67	טובים | ואין
68	חלל
69	הונח | ידיהם | ונביא | מכאוב
70	כן | כים
71	חזון
72	בליל | יוכלו | ואניה | לבם | וילכו
73	טחון | מכאבי | נחיה | כגן
74	חטאנו | עד | סביב
75	כהן | יזנח | למה | להם
76	כיום | למו | ויין
77	גדע | מלאו | בלילה
78	נכח | אזנך | חמל | לחם | נביאיה | חללי | מלבו | זוללה | סחי | חסדו
79	איבינו | גמול
80	מחלב | למי | לכל
81	אף | ולילה | עבדה | וכהן | היינו | מכבדיה | עוה
82	חסדי | מבלי
83	באף
85	כהני | גועו
86	לנו | כוס | בעדי
87	טבעו | זמם | אפו
88	הגיע | חסדיו | לבנו | כחלל | למאהבי
89	לנדה | יגעו | בפז | באפו | נטל
90	לבבנו | מכל | כהניה | כלם | מלך | נגאלו | מים | מן | סביביו
92	פחד | אצא | יעיב
93	לאיבים | כמכאבי | נביאיך
94	מידם
95	סלה | מלכה
96	ודומם | להביטם | יומם
98	חנם
99	לנידה
100	מימי | צוד | מלכי | יפי | ימים | על | צדו
101	אינם | כסאך | אפך | למכהו | מאס | פיהו | מאין | אליכם | צוה
102	בלע | מחמדי
104	סדם | מנוח | נלכד | צחו
105	אעידך
106	האכלים | קו | עלו | דבק
107	ויצא | מחמדיה | אמללו | ואינם
108	כנחל
109	ילדיהן
110	עם | עלי | כמים
111	כאילים | העלו
112	האמינו
113	ומאוס
114	מסביב | ומדוחים | חננו | נחנו | נאנחה
115	עמה | יהפך | אנחנו
116	חבקו | ימינו | עליו
117	ביניהם
118	מחללי | חיק
119	בזעם | דמעה
120	מעי | מועד | עמי | והגיונם
