Gmatria	Word
3	אב | בא
7	או | בה
8	הבא | אז | אהב
9	בוא | אח
10	אבוא
12	הוא
13	אחד
14	בגדה | די | ואהב
15	בואו
16	איה | ביד
17	טוב
18	האחד
19	יבוא | יבגד
22	והיא
23	וזבח
24	הגוי | הביאו
25	כה | בוזי
26	יהוה
27	באחיו | והיו
30	כי | יהודה
31	לא | יהיו | אל | ויהי
32	כבוד | לב | בכי
34	כזהב
36	יכבד | וכי | לו
37	ולא
38	ולב
40	לי
41	אלי | אם | גבול
42	בלי | הלוא | כבודי
43	גדול | גם
44	חלו
45	מה | אדם
46	אלהי | אליה | לוי | גזול
47	ואם | לזבח | אליו | יגדל | במה
48	הגדול
49	וחלה | וגם
50	ולהט | המה | כל | מי
51	ומה | הלוי | אדום | נא
52	בן
53	ובהם | באכל
54	החולה
55	מבואו | האדמה | הלך
56	ומי | כלו | יום | וכל | ליהוה
57	אכלו | מזבח
58	ובכל | ביום | בנו
59	נבגד
60	הנה
61	בגוים | אני | היום | אין | זדים
62	בין | בכם | בני
64	נבזה | הגוים
65	ומטי | אדני
66	בחנו | האדון
67	מזבחי | ואני
68	ובין | יבנו | הנביא | חלל
71	אדניו | היכלו | לגבול
73	החיים
74	וניבו | מגאל | עד
75	כהן | בזינו | להם
76	עבד
78	לחם
80	כימי | ועד | לכל | עוד
81	חגיכם | אנכי | העבד
82	ועבד | עבדו | בינך
86	מאהלי | עבדי | ליום | אלהים
88	יחמל
89	העיד | יעזב
90	מן | מלך | לכם
91	נאם | מלאך | וכסה
95	לאדני
97	ומלאך
98	סגלה | חנם | לחלל
100	על | מכם
101	וימלטו | מאין | אליכם | מלאכי
102	בנים
103	בפיהו | מנחה
106	נוכל
108	המנחה | ובעל | נבנו | חמס
109	נבזים | ומנחה
110	כפי | עלי | גאלנוך
111	אדונים | הלכנו
113	ונבנה
114	מידכם
115	אנחנו | העם | הנני
117	ועולה | זעם
119	העמד | דמעה
120	מדוע
121	חזקו | אינכם | והעם
126	אלמנה
130	פן | הכהנים | עליך | למימי | ויחננו
131	וענה
132	ובחנוני
133	כעגלי
136	לכלנו
138	הגפן
140	מעל | מכלכל | הוגענו | פני
141	ופנה | מפיהו
142	בעיני
146	המצוה | עולם
148	פסח
153	הפסח
155	עליהם
158	מחללים | מחקי | חקים
160	פניך | כסף
162	ואנקה | בצע
166	מעון
167	בכנפיה
170	לפני
172	מכבסים
176	לפניו
178	חפץ
180	מפני | פנים
181	נמצא
182	יעקב
186	מקום | ומפני | וככסף
187	היקבע
199	צדקה
200	פניכם
201	בצדקה
203	גר
204	צדיק
206	וענף | דבר | ועיניכם
212	ליעקב | בחרב
213	וזקק
214	רוח
220	וטהר
221	יראי | הריו
222	קבעים
224	דרך
225	טהורה
226	וזרחה
227	זכר | ברכה
228	חפצים
229	הדרך | ובמנאפים
233	זכרו
234	דרכי
241	אמר
246	מדבר
247	מורא
248	קבענוך | במארה
251	ליראי | המארה
252	רבים
257	מוראי | נורא
258	ורבים
259	בראנו
260	ונדר | ומטהר
262	נדברו
268	והנורא
270	ער | נכר | רע
272	אהרוס | בער
273	גער
276	עור | דבריכם | ברוחכם
277	זרע | יראוני
278	בדבריכם
279	ויסגר
281	רעהו | אפר
282	הזרע | בעדרו
283	וערבה | זכרון
285	ממהר
287	וייראני
289	טרף
290	פרי
291	ארץ
295	ממזרח
296	ארצה | הארץ
301	הארצה | נארים
302	האוצר
303	באמרכם | רגליכם
307	שוא
311	בשדה | איש
312	נדברנו
313	וקראו
314	שובו
316	ויש | הישא
317	השיב
318	וישב
320	ואשובה
321	כאש
323	והשיב
325	הירצך
327	ומרפא
328	הקריבהו
338	שלח
340	ספר
341	משא | לאיש
342	מרבק
343	מגש
344	לבושו
345	משה
346	רצון | שמו
349	מקטר
350	שמי
351	שנא
356	ושמי | נעוריך | ולחשבי
357	ונשא | ואשים
358	נשוב
359	ומגיש
360	שמך
363	מגישי
364	ונשוב
375	עשה
376	עשו
378	בשלום
380	לשמי | עשי
385	שממה
387	והשלום
388	שלחן
390	שמים
395	השמים
400	קש
401	את
402	בת
403	מגישים
404	קדש
406	אתה
407	אתו | ואת | ונשאים
408	זאת
409	אבות
410	מצרף | בזאת
411	אתי
412	בית | אותה
413	וארור | אותו | הזאת
414	וזאת | בגדתה
415	תבגדו
417	ואתי
418	אהבתי | ויקשב | יבקשו
420	היתה
421	תהיו
424	בביתי
426	וכשנים | וישמע
434	המשפט
435	יעשנה
438	ויכתב
441	אתם | והייתי | אמת
442	מבקש
447	ואתם
449	אבותם
451	והכיתי | להיות
454	והבאתם
458	נחת
459	למשפט
461	אתכם
462	ויתום
464	אהבתנו
466	ושפלים
469	אבתינו
473	אבתיכם
474	דעת
476	מתלאה
480	ובנשבעים
481	ועתה
484	דלתים
485	ומשפטים
486	כסות
488	ובעשקי
489	אפתח | ותועבה
492	מבקשים | במכשפים
494	וחמלתי | נחלתו
497	ואתנם
498	מנחת
499	צבאות
500	כליתם
501	אשר
506	כפות
507	ושאר
513	ואשרו
516	צויתי
520	שכר
521	כאשר
524	הוגעתם
527	ופתאם
530	שכיר | וידעתם
531	לאשר
536	פנות
538	לפחתך
539	והפחתם
541	ישראל
543	בישראל
544	ולקחת
547	ויצאתם
556	ישמרו
564	ובמישור
575	רשעה
580	פרש
582	ועסותם
590	שמרים
591	מאשרים
592	וירושלם
594	ובירושלם
596	שמרנו
600	לרשע
609	ארבות
610	קדמניות
612	ברית
613	בתורה
615	המעשר
616	חרבות
617	ותורה | הברית | תאירו
620	בהראותו | רשעים
622	בריתי | ארותיה
623	וארותי
630	לשקר | יכרת | חברתך
632	בריתך
633	וזריתי
638	וכברית
640	שמש
641	תאמר
647	תאמרו
657	וראיתם
662	והתרומה
666	תראינה
676	כתנור
681	אמרתם
687	ואמרתם
689	וגערתי
698	ברכותיכם
700	סרתם
701	אשת
707	ואשת
709	ובאשת
718	ישחת | וקרבתי
719	תגישו
731	והריקתי
748	שחתם | ושבתם | משחת | שלחתי
750	תשכל
754	ושלחתי
756	תשימו
759	תגשון
760	שנית
761	שנאתי
764	קדרנית
770	שניתי
776	תעשו
790	שפתי
795	הכשלתם
798	בשפתיו
800	שרש
808	תחת
816	תשמעו
825	נעשתה
826	ופשתם
830	לתת
856	רששנו
860	נתתי
886	לתנות
980	שמרתם
986	משמרתו
1006	תורת
1036	ונשמרתם
