Gmatria	Word
3	אב
7	אבד | בה
8	באה | אז | בו
12	זה | בי | אחאב | הוא
13	אבי
14	ובאה | יד
16	היא | אחז
17	טוב | הזה | איו | גדוד | ההוא
19	יבוא | גוי | בטח
20	היה | חזה
21	ההיא | הוי
22	בך | יחד | הגיד
23	איבי
24	ואהבי
25	כה | אחיו
26	יהוה | וגזי | והיה
27	וגחי
28	כח | ביהוה | בכו
29	כזב
30	כי | יהודה | אחיהו | יהיה
31	לא | אל | ויהי | יהיו | איך
32	כבוד | ויהוה
34	בבל | ידך
36	יכו | לו | אלה | וכי
37	ואל | ולא
38	האזכה
39	אגלה | גלו | ואבל
40	לי | חבל | אכזיב | לבדד
41	אם | אלי
42	הלוא
43	לגי | חלה | איביך
44	ידיך
45	מה | אדם
46	וחבל | אלהי
47	ייטיבו | לטוב | באדם | יגדל | במה
48	חיל | באמה | כטיט
49	מואב | לאויב | לגוי | ילדה | וגם
50	מי | גזלי | ים | לך | כל
51	ומה | נא
52	וגזלו | להגיד | בן | אלהיו
53	הלחי
54	ידם | והגדול | מטה | חולי
55	יולדה | טמאה | והוכיח | כלה | הלך
56	לכו | וים | והמה | ומי | יום | וכל | ליהוה
57	בנה | אכלו | און | טובם
58	ייחל | ביום
59	גוים | כטל
60	הנה | אוחילה | לאכזב
61	בגוים | אני | ובחמה | היום | לאל | אין | הולך
62	בכם | ולכו | בין | בני | בגאון | בימי
63	אבני
64	יגאלך | וחמדו | הגוים
65	נהי | אדני
66	ונהה | לאלה | אלהיך | אילכה | להיטיב | ילכו
67	ואין | ואני | והלכו
68	אבניה | זונה
70	נהיה | כלך | יין | החזים
71	אללי | בטני | הגלגל
72	חסד
73	יסג | הבינו
74	ילחכו | מידך | עד
75	כיולדה | מיכה | כזחלי | לילה | למה
76	לאלהי
77	מלאו | מגדל
78	והנדחה | לחם
79	בעז
80	כימי | ועד | עוד
81	אנכי
82	חסיד | ומלאה
83	כדונג | ואולם | באף
84	ונביאיה
85	מאדם | פה | מהם
86	אלהים | כמוך
87	אפו | לאכול
89	לגוים | יעדה
90	ידעו | כלם | מכל | פי | מלך | לכם | מים | מן | אטף
91	נאם | ועטו | אילים | לאדון
92	לבני | ואילילה
94	וחילם
95	ויסדיה | המלך
96	וכהניה | בדמים | ומלך
98	נחלי | ובכיס
99	בגבולנו
100	לכן | ליין | מימי | מלכי | ממך | על | נלך | מכם
101	יצא | אכף
102	והנהלאה | אלהינו
104	עדיך | לעד
105	מהיכל | יטפו | הימים | עלה
106	ועל | יצאה
108	יפחדו | חק | חמס
110	במאזני | פיך | כמים | עם | עלי | לעי | ועדיך
111	מחזון | ונלכה
113	אזניהם | וגלעד | ויצאו | בעולה
114	מסדי | המנוחה
115	העם | הנני
116	יצודו | עמו | ממול | ועם | עליו
118	הנביאים | יקח
119	באלוף
120	ועמד | עמי
121	ואנחנו | יקוה
122	מנבל
123	באלפי | מלחמה | נגע
124	לדמים
125	בגללכם | ענה
126	עון | נכון | האצל | עבדים
128	זעומה
130	למלכי | למני | עליך | החזיק | מלכם | עמך
132	בלק | כחדק
135	יענה | פיהם
136	קול | ולמני
137	בפיהם | בקהל
138	חיקך | חלק
139	גפנו | מטיף
140	עיין | מכף | ילמדון | יחזקיה | מעל | עיני
141	והציל | אסף | צאן
142	בלעם | אאסף
144	עדלם | קדם
145	עלליה | אקדם | קמה
146	פניו | קום | אספה | עולם
148	יחלק
150	החזיקך | נסיכי | כפים | אספדה
151	אפסי
152	קומו
155	עליהם | בעגלים
156	קומי | סוסיך | קולך | ציון
157	זעף
158	בציון
159	למטעי
160	עמים
161	ונעלה | כצאן
162	ונמסו | בכסף
165	יטיפון | העמים | מענה
166	עלינו
170	מציל | עליכם | יעץ
171	כאספי | ממסוכה
176	אצפה | לעולם
177	יוציאני | עצביה
178	חפץ
180	מפני | עפל
182	יעקב
184	פצחו | מספד | מקדם
186	מעלליו
187	נמצאו
190	למען | לפניך | נקם
191	צאנן
192	קבץ
193	יזעקו | אקבץ
195	פסיליה | מעליהם
196	מציון | עינינו | יקומם | ופעלי | יועצך
197	נאספו | קבצה
198	אקבצה
200	הצלעה | קיץ
202	בצעם
205	אדר | גבר | הר
206	האקדמנו | דבר | עצום
207	אראה | והקמנו | בהר | אור
209	באור
210	ההר | פסיליך | חרב
211	והר
212	ודבר | ריב | ליעקב | דברו | בחרב
214	ירד | רוח
215	לפניהם
216	יקסמו | יראה | דברי
217	הדברו | יראו
219	יארבו | הדרי
220	וירד
221	והצנע
222	ריבי | יריב | וגבורה | יורו
223	ויראו
225	הרחבי | מעלליהם
226	ירגזו
227	זכר
230	ודרך
232	קבצם | ממקומו
233	בכורה
234	ידרך
236	כאריה
237	לאור | גדריך
238	בכורי
239	ברזל
240	לחרב | מקסם | מצפיך
241	אמר | בגורל
247	ואמר
248	חרם
250	עצמים
251	האמרה | רומה
252	במורד | רבים | האמור
253	ואמרו
255	נהר | רמיה | הרים | הקסמים
256	אהרן
258	אראנו | גרנה
260	ימיר | במחיר | כרם | ההרים
262	מחריד
263	רזון
266	וקציני
267	ונהרו
270	רע
271	לאמר | והעמקים
272	ומעוננים | עבר | ברע | המרכבה | בסיר
274	עדר
275	הרע | רעה
278	ועבר | לאברהם | בעור | ויורנו
280	בעבור | יער | ערי | מדרכיו
281	הרעו | ורעה
282	ורעו | עברי
284	כרביבים
285	עריה | מרמה
286	בעדרי | וערי | מרום | ירעו
288	ויעבר
290	כרמל | פרי
291	ארץ
293	מגרים
294	כעדר | נמרד | ויעברו
295	וטרף
296	ומרים | הארץ | האמרים
297	בצרה
300	וחפרו | עריך
302	בציר | אשא
303	אשב | באש
304	בקרב
306	ורמס | האש
307	הבקר
309	שדה
310	יש | הירצה | לעיר | חשב | וקדר
311	ארצך | ישא | בשדה | יקרא | איש
313	וקראו | בושה | בשבט
314	ובשו | רחוק | בשחד | שדוד | השדה | ירחמנו
316	עורם
317	ואיש | ישאו
318	שובי | ירחק | קרחי | ישוב
320	רעים | עמרי | חשבי | צריך
322	וערום | ועורם
324	ישובו | בקרבך | ויבשו | וישבו
326	ודושי
327	ישביה
330	מפרי | ככפיר | בחשך
331	שאל | מארץ
332	יכבש
333	בשבטך | וישביה
336	מצור
339	וחשכה
340	לשובב | שם | כעמיר
341	לאיש
342	בשם
344	וישחך
345	ואשלח | משה
349	בארצנו
350	עפר
351	נשא | אשים
352	בשן
355	שנה | מקריה
357	ונשא | אשכול
360	ימיש | שמך | נשי | לכיש | בקרבנו
361	אנשי | שנאי
362	אנושה | מקרבך | מבצריך | מעברים
363	ונשאו
364	השטים
366	ישימו | שולל
369	נחושה
370	צעיר | שדינו | למרמס | קרנך | שילל | משל
372	עשב
374	ישובון
375	הפרץ | שלמה | לשמה
376	אעשה | מושל | שלום | פרצו
377	שבעה
378	כנחש | בשלום
380	שכני | מצרים | משם | נמרץ
381	ועשה
385	לעפרה | שממה | השמם
389	שפט
390	שמן | ישעי
391	יעשוה
394	שלוחים
395	הקצר | ושפט
400	משליך | והשפט
401	ושמנה | את
402	בת
403	גת
405	בגת | ישפטו
406	אתה
407	אשימנו | אתו | בשניהם | ואת
408	זאת
409	ובאת | תבוא
410	קדשו | הפשיטו | נשדנו
411	הות
412	בתי | בית | אותה | ואתה
413	הזאת
414	ואהבת | בבית
415	לשממה | מעשה
416	שמעו | וקדשו
417	הבית | זית
418	ביתו | חטאת
420	תהיה | הממשלה | שפם
421	אתך | ותחז
423	איבתי | תגידו
424	וביתו | חטאתו
425	תבטחו | הנשכים
426	והיתה
427	הקשיבי
428	חטאתי | בתוך | והאבדתי | תבכו
429	משפט
432	ובחטאות | לבת | ולשונם
434	המשפט
435	הייתי | ומשפט
436	יכתו | ישענו | נפשו
438	חטאתך | המשפחה
439	משפטי
440	נפשי | תחבל
441	מאת | אמת
444	יתוכח
445	למעשה
447	אותם
448	במות
450	פשע | לכת | כשפים
451	תאכל | אתן | להיות | הכותך
452	בפשע | במתי | מבית
455	בחמתה | בבהמות
456	האתן | תלכו | יותם | פשעו
458	במותי | ובתים | ומבית
460	יתן | פשעי
462	ותלכו
463	החליתי
464	חטאותם
466	הלאתיך
469	ותסג
470	עת
472	בעת
474	דעת
475	עתה
478	לבמות | כבנות
480	ישמעני
481	מכותיה | לאתים | ועתה | מלאתי
482	ועשקו
483	ואתמול
486	הגבעות | תסוך | יעקשו
488	לבנות
491	תצא | ותכסה
494	נחלתו
495	תטפו
496	כלמות
497	ואיפת
498	פתחי
499	לאבתינו | צבאות | ויעבתוה
500	ונחלתו | יתנם
501	אשר | תצאי | אתנן | שאר
503	בראש
504	לדעת
505	השר | בפתחיה
507	תאמינו | ואשר | אשור
508	נחלתך | מבוכתם
510	דורש | ישר | תהימנה | חוצות
511	ראשי | צאתך
512	והאתנים
514	בעולות | חקות | תקחו
515	הישר | הירש | מעתה
516	אתנניה | וישר | ראשיה
519	תפלט
520	הישרה | כתנים | עמדתו
521	מגבעות | כאשר | והדקות
524	פדיתיך
528	וכבשר
529	תפליט
530	ממלכת
535	העלתיך
538	תענגיה | תחנף | קלחת
540	שמר
541	אשיריך | מאתנן | ישראל
543	בראשם | בישראל
545	מרשה
547	מאשור | ושארם
550	לרכש | כעללת | קמתי
556	ולשכר
559	תענוגיך | ומוצאתיו
561	הראשנה
565	המתעים
566	עצתו
567	המתעבים | נפלאות
568	במצלות
570	נפלתי | כנשר | רשע | שער
574	ומצבותיך
577	ולישראל
580	תנצלי
586	ירושלם
588	יתבקעו
590	שפיר
592	וירושלם | עונתינו | ופרשו
595	עשיריה
596	ישרפו | שמרון
600	צדקות | שקר | לשער
602	בצדקתו
604	פקדתך
606	ושקר
607	ותרא
611	תורה
612	ברבבות
616	ויתר
621	באחרית
624	והגרתי | תדרך
626	מירושלם
627	בארחתיו
635	לשרקה
636	יכרתו
640	רתם | תרם
641	והכרתי
645	השמש
646	מרות | עצמותם
648	במעצותם
651	גבורתם
655	עצמתיהם
665	חרבתיהם
666	תראינה
669	והחרמתי
676	ויסתר
677	תזרע
681	והרסתי
685	הרעתי
686	אפרתה
690	תריעי
692	מרכבתיך
694	וחרפת
697	אצרות
702	בשת
707	תשאו
710	שדות
718	יושבת
723	למזמרות
727	ותושיה
728	קרחתך
756	ושמתי | מחשבות | תמישו
758	תשמחי
759	בארמנתינו
762	משכבת
765	והשמדתי
766	ותשליך
767	צוארתיכם
772	תשבע
776	עשות | ופרסתיך | ושכנת
790	עשיתי
796	תקצור | ועשיתי
798	ממסגרתיהם
806	תאתה
808	תחת | משכבותם
810	תתי
814	ותחת
821	תתגדדי
822	נשבעת
824	תחתיו
825	התפלשי
832	וכתתו
845	תפשטון
850	תתן
857	תאנתו
860	תתני
871	ותשמענה
908	תחרש
911	שארית | ראשית
922	ותירוש
929	וחניתתיהם
941	לשארית
946	מורשת
955	המרשתי
956	וישתמר
959	תגרשון
963	תחרשנה
1105	תשתה
1119	תשתחוה
1166	ונתשתי
1225	התפלשתי
