Gmatria	Word
0	
7	בה
8	בו
12	הוא
13	באי
14	זהב
15	בזו | גבי
16	היא | איה | בדי
17	טוב
20	ידו
21	חגי | היו | הוי
22	בך
24	ידוד
25	כה
26	יהוה | כבד | והיה
28	כח
30	כי | יהודה | כהה | בטיט
31	לא | אל | כגוב
32	וכבד
35	ואיביו | לה
37	ולא
38	ולב
41	חגיך | אם
43	ולהב | לביא | גם | וגדל
45	מה | מאד
48	חיל
49	וגדול
50	ים | כל | מי | לך
51	אים
52	בים | בכל
53	חמה
54	לגויה
55	כלה | הלך
56	ומי | אכלה | וכל | והמה
57	חמדה | אוכל | אכלו
58	גדוליה | ביום | חן
59	גוים | מאויב | לאיביו
60	כלי | הלכה | מטהו | גאון | הנה
61	אליך | אין
66	נגזו | אלהיך
67	ואין
68	לגלה | זונה | חלל
70	ינוד | ונודד
71	חזון | מלא
73	לאיביך
74	סביב | עד
76	וכן | מלאה | וההיכל
78	חסי
80	כגאון | עוד
81	והכן
85	מאדם
87	וימלא | אפו | וחלחלה
89	לבבהן
90	מכל | כלם | וידע | פי | מלך | מים
91	נאם | מנא | הכינו | נכבדיה
93	נחלה | מגן
94	דמים | ולובים
95	פוט
96	נמו
97	אמון
98	מכוכבי
99	נמוג
100	על | כף | מימי | ממך
101	אמלל | מאין | יצא
103	אבק | והצב
104	נחום
105	הסכך | עלה
106	ועל
107	וצוה
108	ובעל
110	עם
113	בוקה
115	חזק | הנני
116	יונים | מלאככה
119	החונים | סבואים
120	עמדו
121	נינוה
122	מלבן
123	מעוז | זנוני | זעמו
125	חזקי
127	ונינוה
129	וכסבאם
130	בזנוניה | נודע | עליך | יעמוד | עמך
131	אפים | ומסכה | אמץ
132	וסוס | סבכים
136	ממנו | קול
137	אופן
138	לבנון
140	החזיקי | ילק
141	אענך
142	וקול | ינועו | בליעל
145	עלליה | מעלה
146	ופני
150	נמס
153	למעוז | בסופה
156	יקום | כקול
157	קנוא
159	בזקים | ומבוקה
160	פניך | נסים | כסף | כילק
161	ונקה
165	ינקה
166	יוסיף | מעון | ויעף
170	מעליך | לפני | פסל | יעץ
172	ונפלו
175	מפנה | צפה
176	וענן
182	יעקב
183	ומבלקה
184	כלפידם
186	מפניו | ופק
188	מנחמים
190	נקם
191	מקומה
192	מקומו
195	נעלמה | קצה
196	ונקם
198	קבצו
204	ומחנק
205	עצמה
206	קלונך
208	ורב
209	דהר | גור
210	חרב
216	אריה
220	מפיץ | זרחה
221	ארך
224	חריו | דרך
225	החריב
226	גבריהו
227	הרכב | רכבה
228	כארבה
230	דרכו
231	כראי | ראיך | אדיריו
232	מקבץ
237	יזכר
239	גורל
240	פעמים
241	אמר
242	מרב
243	רגלי
245	אדיריך
247	ואמר
248	בקקום
249	רגליו
250	בריחיך | בחמר
252	בקקים | רבים
255	הרים
260	ההרים
261	ימהרו
262	מחריד
263	ביארים
266	בחרון
271	ונוטר
272	ברכים | עבר
273	ומרכבה
275	רעה
277	עברה
278	ועבר | בכורים
279	גוער
280	עיר | רכליך
283	פגר
284	נדריך
287	יזרע
289	טרף
294	ופרח | ירדף | טרפה
295	צרה
296	וכרמל | הארץ
300	רעיך
301	אש
302	שב | לעבר
303	באש
305	קרה
306	מראיהן
308	לעבור | וברק | וזמריהם
309	טרפך
310	חשב
311	הרעלו | ארצך
312	יבש
313	שדדה | שאבי
314	בשבי
315	שוט
316	ורמסי
320	סירים
321	ומרעה | כאש
322	קברך | הישבה | ישבי
324	בקרבך
326	כוש
327	מנזריך
328	חשך | כחש
329	ויבשהו
330	מערך
331	מארץ
335	מצרה
336	לצריו | מצור
340	שם | ספר
341	משא
346	וכפיריך | נצור
349	מרקדה
351	והצרים | אשים
352	בשן
360	ימיש
361	אנשי
362	וכשלו | מבצריך
366	שוליך | יכשלו
372	כברקים
375	עשה
376	שלום
380	שלמי | פרק | לכפרים
385	יעשה | וטפסריך
386	ישכנו | ומצרים
389	פשט
395	השמים
397	ובשטף
400	נשים | משמך
401	את
402	ירוצצו
403	אבקש
415	תהי
417	בכשפיה | טובת
420	שמעי | כקש | שלמים | ישמע
422	בעשן
430	שמעך
431	התכבד
436	התיטבי | נפשו
438	ותבל | גלתה
441	התכבדי
446	האלקשי
450	כשפים
451	תאכל
452	מבית
454	חמתו | תמיד
457	התמגגו
459	חומתה | וגליתי
460	משמיע
461	בגויתם
467	ואמהתיה
468	חנית
471	תאכלך
475	נתכה
479	ללבאתיו
480	מכתך
481	ועתה
487	יתהוללו | פארור
492	והגבעות
494	פתוח
499	צבאות
501	אשר | תאנים
502	בעלת
503	אשבר | בראש | בהלכותם
504	מנהגות
507	אשור | בהליכתם
510	חוצות | העלתה
511	לתכונה
512	בחוצות
518	ונבלתיך
520	פלדות
525	ירטשו
536	קלות
540	מתנים | שקצים
541	ישראל
542	וממלכות | מבשר
544	נפתחו
546	וענתך | נתצו | תקום
551	אנתק
552	לשברך
563	והברשים
570	רעש
576	רעשו | תקעו
580	שערי | פרש
582	ומענתיו
583	ובשערה
590	מתלעים
615	בגדרות
617	אריות | הרבית
618	ברחבות
625	גרותיו
631	אכרית
632	והראיתי
640	שמש
641	והכרתי
642	כברכת
665	המכרת
666	הנהרות
670	נכרת
690	רעתך
693	והבערתי
699	בעזרתך
706	רתקו
707	ותשא
714	שחתו
742	ומוסרתיך
766	תחשבון
771	והשלכתי
776	ושמתיך
812	תבקשי
840	ומשפחות
930	תשכרי
1000	מתפפת
1050	תכריתך
1266	ישתקשקון
