Gmatria	Word
8	בו
9	באו
17	ההוא | הזה
20	ידו
21	אידו | היו
25	כה | בזוי
26	יהוה | והיה
27	והיו
29	בחגוי
30	כי | יהודה | יהיה
31	אל | איך
33	כאחד
37	ואל | ולא
39	אחיך
40	בלבו
41	אם
42	הלוא | להבה
43	החל | גם
45	מאד
46	הגבול
47	ואם | אבדם | בהם
50	כל | מי | לך
52	לבך
54	דים | חילו
55	אידם
56	יום | בחילו | ליהוה
57	כלוא
58	ביום
60	הנגב | הנה
61	בגוים | אין
62	בין
64	הגוים
65	אדני
66	יכלו
67	זדון
71	חזון | יגנבו
74	עד
75	לילה
81	לאדום
85	מהם
91	נאם | עבדיה | מאדום
92	לבני
93	גמלך
97	מנגד
98	לחמך | כוכבים
100	על
103	ואכלום
105	גנבים
106	המלוכה | ועל
110	פיך
112	הגלעד | ולעו | ועלו
115	עליה
118	חכמים
120	עמי
128	נבעו
134	פליטה | עמדך
145	פליטיו
146	ודלקו
148	מחמס
152	קומו
153	למלחמה
156	יוסף | ציון
158	ובנימן
159	קטן
160	סלע
170	קנך
176	לעולם
179	מקטל
182	יעקב
190	למען
205	הר
206	דבר
207	בהר | ונקומה
213	ובהר
239	גורל
240	כנענים
241	אמר | גבוריך | אורידך
245	מהר
253	מזור
257	זרים
276	נכרו | מצפניו
280	ערי | יורדני
286	מרום
291	ארץ
295	צרה
301	אש
306	וציר
308	קרוב
309	שדה
311	איש
313	בושה
318	ישוב
324	שודדי
326	ונכרים
331	אפרים
336	השיאך
338	שלח
342	בצרים | השיאוך
346	בספרד
350	שים
361	אנשי
364	שלחוך
366	ישימו
376	עשו
380	שכני | משם
385	הפרק | יעשה
390	שלמך
401	את
404	קדש
406	אתה
407	ואת
409	תבוא
412	בית
414	קדשי
418	ובית
419	לשפט
420	תהיה | וחתו | תגביה
421	שמועה
426	והיתה | והשפלה
428	והאבדתי
430	לקש
437	תגדל
439	וגלת
441	מאת
442	לבית
444	נחפשו
454	תמיד
463	תבונה
466	שמענו | מושעים
469	ותבונה
500	תימן | תכסך
501	אשר
509	נדמיתה
514	שריד | תעמד
516	ירשו
521	כאשר
522	וירשו
523	בראשך
527	ישאירו
530	שרידיו
536	עללות
541	ישראל
570	כנשר
572	בשער
576	שערו
586	ירושלם | שעריו
596	שמרון
601	מורשיהם | תרא
630	יכרת
632	בריתך
663	תסגר
665	להכרית
676	ונכרת
678	ברעתו
708	שבות | שבתו
712	ושתו
716	ישתו
748	תשמח
770	צרפת
780	עשית
793	תשלחנה
838	תחתיך
860	פלשתים
880	נתתיך
1150	שתיתם
