Gmatria	Word
0	
1	א
3	אב | בא
5	ה | בבא
6	גג | דב
7	הב | או | בה
8	אז | אהב | בו | באה | הבא
9	אבו | בז | אח | בגד | גאה | ובא
10	גבה
11	אי | בבוא | זד | דבה
12	הוא | זה | בי | ודב | אבדה
13	דאגה | אחד | גהה | אהבה | יבא | אבי
14	הט | זהב | דוד | אהבו | יד | הגו | אוהב
15	בגדו | ואח | גאוה | בוז | ובאבד | בוגד | בזו
16	היא | ביד
17	טוב | יאבד | זבח | אוי | חוג | חדה
18	יאהב | באיה | והוא | ואבדה | יאבה | אהבי
19	יבאו | גוי | בטח | אחי | ואהבה | יבוא | ויבא | אביו | טבח | אבוי | בטוב | ואבדו
20	בוזה | ודי | ואהבו | ויד | ידו | יגבה
21	אך | אידו
22	יחד | בוטה | חוח | בך | טובה | בידו | והיא
23	הביאה | דדיה | יהגה | אהביה | וטוב
24	ואהבי | טבחה | חוטא | ידי
25	יהי | יבוז | בוטח
26	יהוה | כבד | בוזהו
27	ידחה | זבחי | יגיד | זך | ואחזה | ואהיה
28	כח | חיי | ביהוה | יחדו
29	כזב | וחיה | יבטח | וכאב | ידיה | ואהביה
30	ידיו | וחוטא | וחיו | בכח | יהיה | כי | יהודה
31	לא | ובוטח | אל | ייטב | יהיו | איך | יבוזו | בידיה | ובגדיו
32	כבוד | ויהוה | וכבד | לב | בל | כבדו
33	אביך | וזך | גל | יחיה | לאב | יכאב | חכה | בלא | חייה
34	ידך | דיך | דל | וחטאי | בלב
35	הודך | אידך | וידיה | אויביו | לה
36	יכבד | הלא | לו | אלה
37	יביטו | לוא | גדל | יכבה | ואל | הבל | ויהיו | ולא
38	ולב | ויחיד | ובל | גלה | וכבוד | חכי | לבו
39	אחיך | הוכח | טל | אויבך | יכזב | גול | לגו
40	חבל | דכיו | בלבו | חלב | לי | ודל
41	אם | גבול | לוה
42	לבי | בם | ואהל | חדל | אלוה
43	לאבי | לאובד | גדול | גם | גיל | יגל | והבל
44	לזהב | גולה | לוח | ליד | ולבו | ילד | ידיך | ויאהבך | ואזל | דם
45	הם | מה | לבוז | אדם | לאיד
46	בדם | גוזל | מאה | אלהי
47	ואם | באדם | אליו | אמו | בהם | אויל | במה
48	מאז | חכך | כחך | חייך | חיל
49	אויביך | לבטח | לאביו | מט | מאח | החול | וגם | מבוא | יגול
50	האדם | מי | דליו | המה | אטם | יולד | ים | יחבל | לך | כל
51	ואדם | אלהיה | ומה | אמי | ילבט | חבלהו | אכל | והם
52	בן | כלב | חמד | לבך | האויל | יחדל | זמה | בכל
53	אבן | ילזו | ואויל | כחכה | יגיל | ואמו | מאהבה | חמה | ובאדם
54	בלבך | בבהמה | גאים | יוכיח | בזמה | בבן | מיד | וחלי | חמאה | יחלו | לבבך | מטה
55	יוטל | ובאבדם | לכה | הן | והוכיח | אידם | גנב | כלה | הלך
56	לכו | בלבבך | ויולד | אכלה | אהלך | והמה | ומי | כלו | יום | לבדך | וכל | ליהוה
57	מזבח | ואכל | נגד | מדחה | און
58	ובחבלי | ובן | ביום | דדים | חמדו | חן | ולבך | אהבים | בנו | אזן | ובכל | נגה
59	בגדים | חומה | יגילו | אחים | מבטח | ואבן
60	המיה | ילך | מגביה | ימי | כלי | באהבים | ומזהב | גאון | ני | הנה
61	ומודה | אדנו | אמך | אני | יאכל | היום | הלוך | לאל | אין | הון | הולך | בטן
62	בין | נאוה | וליהוה | בני
63	לאביך | סבא | באין | בנוה | החן | יליזו | אבני
64	דין | מבטחה | לדל | ואזן | אזנו | וחן | ידים | נודד | ילדך
65	יכלה | וכטל | בוגדים | ימוט | יהלך
66	אניה | יאנה | בידים | אטון | מיהוה | כבדם | ובחן | וכלי | וגאון | נדיב | כמו | והנה
67	האכלהו | הבין | זדון | יבנה | ואמך | והולך | נגיד | ואין | ונוה | והון | בטנו | בינה | בניה | טובים | הונו | ובטן
68	ובין | אבינה | חיים | חכם | כחם | אזני | ינוב | חטאים | בניו | זונה | יחן | חילך
69	ובאין | אבניו | ואבדון | יבאנו | אביון | סוג | יאנח | בזדון | וגלל | אבוס
70	ילכדו | ע | יין | באזני | סוד | וידים | נהיה | כן | ודין | בחטאים
71	אדניו | יגנוב | מיטבי | לאם | מלא | ובוגדים | בטני | חזון
72	ככלב | בליל | חסד | ביין | ומיהוה | יבין | אמלא | בנך | לבם
73	חכמה | ובינה | הבינו | ויאכלו | גמל | וטובים
74	יסד | עד | ינוח | וחיים | לדם | בחסד | גאלם | וחכם
75	ואביון | יהלל | בסבאי | להם | לאדם | היין | בחכמה | לילה | יינה | יטנו | אדע | למה | הכן
76	למו | וסוד | בעד | עבד | נכאה | סודו | ויין
77	לאום | מהבל | נגדך | מלאו | בלילה | באידכם | בהיכלי | לאויל | מגדל | עז
78	נכח | אזנך | ויאכלוה | לחם | יחכם | וחסד | יסח | ומכבדו | חנך | מגלה | יבינו | חסדו
79	דעה | מבטחך | וחסה | וזולל | יביאנו | בזללי | כזבים | וחכמה
80	יסוד | ימיך | לכל | עוד | למי | לים | ועד | וחכמו
81	אף | כסא | לאכל | ולמה | אנכי | מלוה | מיטיבי | ואידכם | ימלא | יהללו
82	נבל | עזה | עבדו | בעוד | העז | ועבד | ובעד
83	לחמה | עזו | לבאים | והוליכו | מחלה | באף | בבטנך
84	דלים | יסחו | ואזנך | מוכיח | ולחם | ידע | לחמו | ויחכם
