Gmatria	Word
0	
1	א
3	אב | בא
4	אבא
5	ה
6	גג
7	אבד | בה
8	אז | אהב | בו | באה | הבא | אבה
9	אח | אדאג | באו
10	גבה | גז | אבוא
11	בבוא | חג
12	אוה | הוא | זה | בי | הבה | דאבה
13	זו | אבדו | ואבד | אחד | הגה | אהבה | יבא | אבי | הבו
14	הט | זהב | דוד | ובו | האח | אהבו | יד | ואהב | דואג | בזה | אהגה | אטד
15	גבי | יה | גאוה | ובאו | בוז | הוד | אטה | הדו
16	היא | וגבה | איה | בדוד | ביד | בודד | הבט | אודה | בגיא
17	טוב | זבח | גדוד | ההוא | חדה | ביה | בגאוה | דחה
18	אזי | והוא | אגיד | חי | אהבי | אזבח | דחו | וזה | באזוב | באחז
19	יבאו | יואב | גוי | בטח | אחי | הטה | ויבא | יבוא | בטוב | בגדי | אחטא | אויב
20	דוי | היה | הטו | ויד | חזה | הבוז | אבטח | ידו | וזהב | חוגג
21	אך | חזו | ואבואה | וידא | גחי | הודו | היו | אהיה | אחזה | ובוז
22	והבט | יחד | בך | טובה | ואודה | בידו | הטוב | אויה | ואהי | הגיד | חטה
23	ויגד | זבחו | דוחה | יהגה | אגידה | איבי | ודגי | יאבדו | אזבחה | חיה | וטוב | חטאה
24	אהביו | הגוי | אחיה | ויאהב | ואהבי | חטאו | דך | טבחה | דויד | ידי | יהגו | הביאו | האויב
25	ובטח | בטחו | יהי | יודה | בוטח | ויבוא | יבואו | דכא | אידי | ויט
26	גוזי | יהוה | בידי | והיה | יודו | ובחטא | כבד | הביט
27	והודו | זבחי | יגיד | בכה | ואהיה
28	הבכא | יחי | חיי | ויבטא | החיה | כח | יגיה | ביהוה | יחדו | הגידו
29	כזב | ואיבי | ואזבחה | אויבי | וחטאה | יגודו | ויאבדו | איביו | יחוה | כבגד | כאח
30	ידיו | כגבה | והטי | בחיי | הכה | אכזב | וזיז | בכח | ואחיה | יהיה | כי | יהודה | הבוטח | ודך
31	לא | ובאיבי | אל | ויבגדו | ויבזו | ויהי | ובזוי | יביט | יחזו | יהיו | הגיגי | ובטחו | איך | אודך | הביטה
32	כבוד | גדודיה | ויודו | בכי | ויהוה | הביטו | לב | בל | היגיד | יחיד | ביהודה
33	יגידו | אביך | גל | ובכה | יחיה | בהגיגי | יחוגו | ואביטה | בלא
34	בבל | ויחי | ידך | חכו | וחיי | דל | בבכי | בכבוד | כחו | ואבכה | וביהוה | בלב | לבב
35	ובואך | הודך | ויבטח | ודכה | וכואב | אויביו | ואיביו | דכאי | לה | גבל
36	בידך | הלא | ויך | בכחו | יכבד | לו | איכה | הוכה | וכי | בחייו | אלה | וכזאב | אהל | והבוטח | האל
37	יביטו | ואודך | טובך | כבודה | גדל | ואל | הבל | הכבוד | ויהיו | יהבך | ויזובו | ולא
38	ולב | באהל | הדחויה | ובל | גלה | בהביטי | ואכבדה | אהביך | כבודו | אדלג | כחי | בלו | וכבוד | לבו
39	ויזבחו | וכאחד | גאלה | גויך | ויגידו | וכאבי | טל | לבוא | גול | ידכה | בהבל
40	ובבל | חבל | לבדד | בלבו | חלב | לי | לבבו | בכבודו
41	לוה | וידכא | אלי | איל | ויבטחו | היטיבה | ידכאו | גבול | באחיך | אם
42	חלד | אהלו | כבודי | לבי | יזכה | יכבדו | להבה | לבדו | היטיבו | בחבל | בם | חדל | בלי | בלבבו | ולו | ואלה | בכיי | הלוא | אלוה
43	איביך | וגדל | גדול | כבדוהו | גדלו | גם | יגל | וכזבח
44	אגם | יגאל | בלבי | לבבי | לדוד | ליד | ילד | ואכבדהו | ידיך | באהלו | בבהלה | להט | דם
45	יהודך | לוט | ויחיהו | היודך | הם | מה | יכזבו | הגואל | להי | אדם | מאד
46	כיהוה | בדם | בלבבי | אהלי | ויודך | אלהי | יודוך | ולי
47	לטוב | ואם | אליו | באדם | אמו | יגדל | בהם | זבחיך | במה | הבלי
48	יבלו | וכבודי | הגם | חם | לחי | מאז | לאהבי | יבול | חייך | כטיט | ולבי | וחדל | יחל | ויכבדו | במו | לחטא | ובגזל | באהלי | חיל
49	וגיל | מואב | איחל | אויביך | לבטח | ויגל | אגילה | גליו | הדם | וגם | אמדד | אחלי | לאחי | דמה | מבאו | אדדם
50	האדם | ודם | מי | וגאלי | דמו | ויוכח | המה | ולבבי | אדמה | ים | יחבל | וילד | חבלי | לך | ילדו | גאולי | כל | דום
51	ואדם | כלא | הלוי | ומה | אמי | המו | אלך | אדום | נא | גחלי | אכל | והם
52	אלוהי | כלב | בן | אלהיו | אכלא | חמד | כבודך | לטובה | מזה | ואלהי | לבך | הגדיל | בים | זמה | אנא | בהמה | להגיד | בכל
53	אבן | לחטאה | כאבל | מחה | יזלו | יגיל | יבולה | גילי | חמה
54	ואהבם | מטה | גאים | יוכיח | חילו | מזהב | בכבל | נד | בבן | מיד | חולי | לדך | מדוד | יחלו | ידם | ובאלהי | דמי
55	יוטל | ויגלו | מטו | באבן | הכל | כלה | מבואו | הים | הן | מוט | בחמה | דומה | יככה | גנב | וגילו | לטבוח | הלך
56	אנה | בדמי | בידם | ולך | כלו | יום | לבדך | וכל | יולדו | לכו | בחליו | אכלה | והמה | טמאו | וים | ומי | ליהוה | אהלך | ודמו | אמוט
57	בנה | מגיד | אכלו | מזבח | להדיח | כגדל | ואהמה | חמדה | זן | וגחלי | נגד | במוט | מטוב | אוכל | און | בנגב | ואבליגה | ואמי
