Gmatria	Word
0	
1	א
3	בא
7	בה
8	באה
9	באו
12	זה | בי | הוא | הגד
13	הבאה | אבי
14	דוד | יד
16	היא
17	טוב | הבי
18	והוא | חי
19	ויבא
21	אהיה
22	בך | טובה
25	כה | ויבאו | אחיו | יהי
26	יהוה | והיה
27	הגידה | יגיד | והיו
30	כי | יהודה
31	לא | אל | ייטב | ויהי | איך | וכה
32	לב | ואחזי | ויהוה
33	אביך
34	גאל | דל
35	לה | אגאל
36	הלא | לו | וכי
37	ואל | ויהיו | וייטב | ולא
38	לבו
39	הגאל | אגלה
40	לי
41	אם | אלי | האלה | בלט
42	הלוא | ואלה
43	גם
44	ילד | יגאל
45	מאד
46	אלהי | אליה | אמה
47	ואם | אליו
48	מאז | חיל
49	מואב | הילד | ילדה | וגם
50	הגאולה | מי | כל | לך
51	אלהיה | אלך | נא
52	בן | מזה
53	יגדלו
54	מיד
55	הוליד | כלה
56	האכל | והמה | כלו | וכל | אלכה | ליהוה
57	נגד | אוכל
58	באנה | ביום | חן | בנו
59	ילדיה
60	ליהודה | הנה | לכי | וימד
61	אני | היום | אין
62	בין | ואנה | וכלאה | בימי
63	המאביה | ונגד
64	לגאל | יגאלך | מואביה
65	אדני
66	וילך | והנה
67	בניה | ואני | ויאכל | ואמך
68	בניו
69	המואביה
70	לגאול | ככל
72	חסד | החטים | ואלהיך | ביני
73	החיים
74	עד
75	למה | להם | הלם
76	מלאה
78	אזנך | כבאנה | לחם | חסדו
79	בעז | עזב
80	ועד | עוד | למי | הלילה
81	ואדע | אנכי | לאכל
82	ועבד | עובד
83	הלחם
84	לגאלך
85	פה | העוד | להן | ובעז
86	לנו | ואדעה
87	ואנכי
88	ובינך
90	מן | לכם | הלהן | יודע
91	אלין
92	חסדך
96	איפה | אליהן
100	מכם | לכן | ליני | על
102	בנים
104	מנוח
105	לאחינו | הכלים | לכנה | עלה
106	ועל | יצאה
109	מנוחה | לבעז
110	עם | בחצי
111	דבקה
112	ויצו
115	עליה | עמה | העם
116	כאיפה | עמו
117	ויצבט
119	מעט
120	מדוע | מודע | יפל | עמי
122	וכליון | במעי
124	עדים | ויקח | מידע
125	בחיקה | ענה
129	לעזבך
130	לימלך | פן | מגאלנו | עליך | ועמדי | עמך
131	אמנם | אלימלך | אלמני
132	אמצא
134	מצד | מחלון
136	ויען | ולכלכל
140	ומחלון | קלי | בחמץ | ממני
143	נגעך
144	לקטה
145	פניה | אלקטה
146	לכליון
147	הנצב
148	בעיניו
150	ולקטה | מעם
151	ואלקטה
155	קנה
156	נעלו
160	יסיף | לעמך | עיניך
161	לאלימלך
162	בעיניך
165	עליהן
166	כנפיו
167	זקני
169	ללקט | יפגעו
170	נעמי | עמכם | פלני | כנפך
176	עמינדב
180	לקים
182	ועמינדב
184	פקד
185	להקים
186	קולן
187	ומצאן
188	יחפץ
191	המקום
192	מקומו
197	בקצה
200	פעלך | לנעמי
206	ולנעמי | דבר
207	מזקני
209	אחר
210	לפנים
211	גבור | הדבר
212	זרה
218	והזקנים
219	אחרי
226	בדרך
228	ויחרד | ברוך
233	ברוכה
236	לדבר
237	לזקנים
239	אחריך | לגור
240	יכיר | רם | מר
241	אמר | מרא
245	המר
246	ורם
251	בטרם
252	יברכך
253	גרן
257	ויאמר | בטרום
258	הגרן | כרחל
263	ויאמרו
265	מכרה
270	האחרון
271	הבחורים | סורה | לאמר | הריון
272	רעב | עבר
274	אחריהן
275	הרע
276	ויסר
277	הערב
279	מאחריך
281	רעהו
282	הזרע
285	נכריה | העיר
290	מכירך
291	ארץ
293	בארץ
296	ארצה
297	וארץ
303	אקבר
304	יפריד | בבקר
306	אשה
307	וקרא | הבקר | שבה
308	שבו | קרוב
310	יש
311	לרעהו | בשדה | האשה | איש
312	השבה | שבי
313	גשי
314	שדי | השדה
316	האיש | ויקר | אישה | בשדי
317	ויקרא
318	שובי | וישב
320	הערמה | ישי | ושדי
323	וישאו
324	וישבו
325	להכירני | נערה | הנער
326	וישי
330	הנערה | של | בשכבו
331	אישך
332	ישכב | שכבי
336	נעריו | לאשה
338	לשוב
340	שם
341	לאיש
345	שמה | מקרה
346	לאישה | שמו | ושם
349	משדה
350	ריקם
351	קראן
352	ושמו | לשכב
354	משדי | חצרון
355	ערפה
356	וריקם | לנערו
357	שבנה
358	נשוב
360	שני | וחצרון
362	בעמרים | ומאישה
365	העמרים
366	ושני
367	הישבים
369	ישאבון
370	פרץ
375	עשה | שלמה | הנערים
376	אעשה
377	השיבני
380	יעש | ישלם
381	ועשה
382	למשיב
384	בשבלים
385	יעשה
389	שפט
400	נשים | משני | קציר | שנים
401	אנשים | את
403	אבקש | באת
405	הקציר | הנשים | שניהם
406	וקציר | אתה
407	ואת
409	ובאת | ותבא
410	שלף
412	בתי | בית
413	הזאת | ותגד
414	בבית | וזאת | נחשון | האחת
415	שמעה | ותבוא
417	הבית | משבעה
419	תבואי | ישקט
420	היתה | ונחשון
421	היות | אתך | ותהי
422	ותאחז
425	היית | ותחבט
426	וישלף | היטבת
428	אהבתך
429	כאחת
430	נפש
431	לאנשים
432	כבית | ביתך | ושלמון
434	תגאל
435	הייתי
439	ותגל
440	ותלד
441	אתם
442	לבית
444	השפטים | גאלתי
445	המת | הקצרים
446	מות
447	ומאת | אמות | וטבלת
448	ותחדל
449	וגלית
450	ילדתו | לכת
451	ותהם | הקוצרים | המות
452	מבית
454	ילדתי
455	כלתה
