Gmatria	Word
3	בא
7	או | בה
8	אז
12	זה | בי
13	יבא | אהבה
14	זהב | דובב
15	באהבה | בוז | באבי | באחד
16	היא
17	טבו | אגוז | גדי
18	וזה | דדי | האהבה
19	דודה
20	היה | ידו
21	אהיה | אחזה
22	בך | אחזו | הטוב
24	דודי | ידי | דויד
25	ובואי
26	אחזי
27	הגידה
29	בחגוי | כאח
30	כי | וידי | ודודי | ידיו
31	לא | אל | יבוזו
33	גל
34	אהבוך | דודך | חכו | אביאך
35	לה
36	איכה | לו
37	ואל | ויהיו | ולא
38	דדיך | לבו
39	טל
40	לי
41	אם
42	בחלב
43	דגול | כחוט | גם
44	לוח
45	חבלה | מה
46	וחלב
47	ואם | אמו | בהם
48	ולבי
49	דמה | ודגלו
50	מי | המה | לך | חלבי | כל
51	ומה | אמי | המו | אלך | נא
52	לבך
53	יזלו | גן
54	אגן | לחיו | מדוד | לדודי | וחכך
55	המזג | ודמה | דומה | הלך | כלה | לכה
56	אנה | איככה | אימה
57	ואדום | אכלו
58	ביום
59	חומה
60	הנה | לכי
61	אמך | אני | היום | אין | הון | הולך
62	נאוה | בין | בני | סב | וכלו
63	גני | מגדיו | נאוו
64	וביום | דודים
65	אדני
66	נדיב | כאהלי | ולכי | כמו
67	ואני | חטים | טובים | ויאכל
68	לחכי | בנוי | חיים | ונאוה
70	כן | הדודאים | כלך
72	יוכלו | חנטה
73	כחמה
74	סביב | סוגה | עד
75	היין | הנך | לילה
76	לאמה | ונחזה
77	הסבי | החוחים | מדלג
78	הביאני | לחייך
79	אנהגך
80	ייני
81	בטנך | אף
82	עזה | ואסובבה
83	גלילי
85	מהם
86	לנו
87	פז
88	הגיע
89	חלאים | לגנו
90	מכל | כלם | מלך | כיין | מים | מן
91	אמן | הכוני
92	ומום | במלך | ויהללוה
93	לגני | לבונה | הנחל
95	יפה | המלך
96	יפו | האילים | אמנה
97	כמגדל | מגדים
98	הלבונה | צח | המגן | פגיה | נגילה
99	ולבונה
100	על | היפה | ילין
101	המון | אפך | צאי | פיהו
103	גנים
104	בבעל
105	בגנים | עלה
106	בחוץ | אעלה | יצאה | ועל
107	גלעד | נבנה | צביה | הבנים | מנגדי | כלבנה
110	עלי | עם | במסבו | מיין
111	אלף
112	הגלעד
113	הפיחי
114	כעטיה
115	עליה
116	ועלי | עליו | יונים | מבעד | האלף
118	חלף
119	הסבבים
120	עומד | עמי
121	נמלא
122	וימינו | ונסו
123	מלחמה
124	מלמדי
125	ענה
126	ומעי | מעיו
128	בצלו
130	עמודי | עליך | עין | מחבלים | עמך
132	מפחד | העזים | לצבי
135	פנה
136	כיונים | קול | עמודיו
138	כפלח | הגפן | לבנון
139	כמעט
140	פני
141	נצא
142	וקול | מחמדים
143	ונזלים | הלבנון
145	נלינה | נטפו
146	הצאן | עיניו
148	חמק | בעיניו
150	מעלי
151	הנצו
152	אקומה | אמצאך
153	המחנים
155	קנה
156	קומי | צאינה | קנאה | נעול | קולך | ציון
158	כלבנון
160	כסף | עיניך
161	ממלאים
164	חמוקי | מיסדים | קטנה
165	הכסף | הסלע
166	יונק
170	מעין | עצי | לפני | נעים
172	בעצי
175	וללקט
178	מלבנון
180	ענני | אטנפם
181	צופה
184	בעקבי
186	סמכוני | לקולך
190	דופק
191	מצאני
194	והגפנים
197	מצאוני
200	מעיניך
201	אפיקי | המנעול
202	בנעלים
203	באר
205	הצללים | הר
207	ברה
208	ארז
209	אחר | קטנים
210	מעצי | ברח | חרב
212	ראוה | חדר
213	החר
214	ירד | בדברו
215	הרי
216	בחור | חרבו
218	ריח
220	ענק | פעמיך
224	וריח | ריחו
226	צפון
228	רדידי | חדריו
230	מציץ
234	ברכבי
236	ירכו
238	כריח | בסנסניו
239	אחריך
240	חבריך | מעסיס | מר
243	רגלי
245	הנצנים | מהר | המר
246	מור
247	ואמר
248	לריח
249	מרבבה
251	המדבר | המור
252	רבים | מראהו | וקנמון
254	נרד
255	מגברי | גברים
256	נראה | מורי | רוכל
257	נראו | המדרגה
258	ארזים
260	ירכיך | חברים | כרם | ההרים
262	הזמיר
264	נטרה | נרדי | נחרו
265	העמקים | הכרם
266	ברהטים | הגבורים
267	אסור
268	מרכבו
270	כרמי | ער | הסהר
271	מראיך
272	בכרמי | וראינה | עבר | ערב
273	בחרוזים
276	הראיני
