Gmatria	Word
3	בא
7	בה
8	באה | בו
9	בז | ובא | באו
11	חג | אוד
12	זה | בי | הוא
13	גי | הדד | ואבד | אחד | הבו
14	זהב | אהבו | ובאה | יד | גיא
15	הוד | ובאו
16	איה | היא | ביד
17	טוב | ההוא | הזה
18	והוא | וזה
19	יבאו | יבוא | אביו | הזהב | ואחד
20	היה | ידו | וזהב
21	אך | חזו | הוי | אהיה | הודו | ההיא
22	בך | בידו | וביד | והיא
23	טובו
24	דויד | אביהו | ידי
25	ויבאו | כה | הך | אחיו | האחוה
26	יהוה | אכה | והיה
27	והיו
28	ובידו | ביהוה | יחדו
29	גויי
30	כהה | וחיו | בכח | בטיט | יהיה | כי | יהודה
31	לא | אל | ויהי
32	כבוד | ויהוה | ביהודה | טוביה
33	האבכה
34	בבל | יחיו
35	לה | יהודי
36	והכה | וכי | לבד | וידיו | אלה
37	היחיד | אלו | ואל | הבל | ולא
38	והביטו | וביהודה
39	ולבא | ואכחד
40	לי | חבל
41	אם | אלי | האלה | לחג
42	הלוא | הלז
43	הגלה | גדול | גם | יגל | לאחד
44	כדויד | ידיך | וגלה
45	הם | בחלה | מה | אדם | מאד
46	בדם | בגולה | אהלי | לוי | אלהי
47	ולחג | ואם | אליו | הכבידו | יגדל | בהם | אולי
48	הגדול | חדלו | גדולה | באמה | חיל | כטיט
49	הגולה | לבטח | וגם | מדה | מבוא | ולאחד
50	לך | האדם | מי | ההם | המה | אדמה | ים | בחיל | כל
51	ומה | הבדיל | המו | נא
52	מזה | בן | בים | בכל
53	אבן | חילה | באים | יבולה | ואמו | גילי | מביא
54	מדי | אביאם
55	נגב | כלה | הים | ההמה | הלך
56	אנה | לכו | מבטה | והמה | יום | וכל | אלכה | ליהוה
57	מגיד | מזבח | הבהמה | חמדה | מטוב | און | דגן
58	ביום | ובהמה | חן | מאהבי | האבן | הבאים
59	וחמה | גוים | בגדים
60	כלי | הנה | נגבה | הטמאה | דמיו | הגנב | ילדיו | גאון
61	והלך | בגוים | אדון | וימה | אני | יאכל | הלוך | היום | אין | אליך
62	בכם | המזבח | בין | בני | בימי
63	נביא | יגן | אבני | ואכלו | ובנה | ינבא
64	נטה | הבגדים | ובנו | הגוים
65	הס | וגוים | אדני | כמה | ובגדים | היכל
66	בהנבאו | יון | והנגב | מיהוה | להיטיב | כמו | והנה
67	יבנה | ואני | והלכו | בהיכל | טובים
68	ובין | חיים | הנביא | ולטוביה | ולכבוד
69	אבניו
70	יין | ההיכל | נהיה | כן | ינובב
71	וכמה | כמוה | ואדני
72	הזבחים | לבם
73	חכמה
74	מבבל | בלבם | יסד | עד | ינטה | סביב | למד
75	כהן | לילה | להם | הילל
76	אלהם | כיום | בעד | עבד | וכן | האליל
78	הגמל | יסוב | וחסד | מגלה | ולבם
79	טלם | הניחו
80	יסדו | ויסד | הכהן | עוד | לכל | כבחן | עדו | הלילה
81	עדוא | אנכי
82	חזיזים | בניך
83	ומגדל | גלים | ומלאו
84	והניחה | ואגדע | ידיכם
85	אחמול | מהם
86	אלהים | לנו | ליום | עבדי | אליהם
87	זמם | ימלאו | והוכן | כסאו
88	ועזה
89	לגוים | הלחמו | עזבי
90	חבלים | מכל | פי | מלך | לכם | מים | ויעד | מן | יודע
91	אפי | אלהיהם | נאם | הילילו | ולנה | מלאך
92	עזיה | החסידה | מחלדי
93	יגיע | יגף
94	יחמול | ולחן | ילדים | המלטי | ונחל | מידם
95	החבלים | פיה | אדמים | המלך | ולנדה | יגועו
96	המלאך | וידעו | בלבבכם | מלכו | ולהנה
97	אלוני | ומלאך
98	ונלוו
99	ידעיה | צבאו
100	על | לכן | ימים
101	יצא | אליכם | האיפה
102	מבין | בימים
103	מגדון
104	ונחם | חצו
105	נלכה | הימים
106	יפיו | אלהיכם | כאלהים | האכלים | ועל
107	ויצא | בניהם | גלעד | יצאו
108	לחלם | חצי | קח | כיבוסי
110	כפי | עם | יכלכל | מלכך | ימין
111	כמלאך
112	וקו | ועלו
113	ובניהם | וימאנו
114	והנבאים | עמד
115	עליה | ואקח | יעלה | מגבע | העם | הנני | ונלכדה
116	איננה | ימינו | יעלו | עמו | לאלהים | עליו
117	וקוה
118	בוסים | הנביאים | בכסלו | והוציא
119	העמד | ואזניהם | מעט
120	למלך | וחציו | ועמד | עמי | כימים | ואקחה
121	אצל | יפלא | מחזינו | אלפי
122	מעזה | יקבי | ונסו
123	מלחמה | נגע
124	ההדסים | וחקי
125	במלחמה
126	אענה | עון | סוס | ועמדו
127	ואען
128	הנגע
130	הכהנים | עני | מפי | עין | ידעום | עמך
