Gmatria	Word
8	אז
12	בי
13	אחד
14	אביא
17	ההוא | הזה | זבח
18	חי
19	יבוא | גוי
20	זאבי | היה | ידו
21	אך | הוי | איי | היו | ההיא
23	ודגי | ויאבד
24	בטחה | הגוי | חטאו | ידי
25	ויט
26	יהוה | והיה
28	ביהוה
29	כזב | גויי
30	כי | יהודה
31	לא | אל | איך
32	לב
33	איבך
34	חכו
36	לו
37	ולא
40	לי | חבל | ודל
41	ייטיב | בלבבה
43	גדול | גם
44	ידיך
45	אדם | מאד | לגבהה
46	אלהי
47	אולי
48	הגדול | הדולג
49	מואב | לבטח
50	האדם | המה | כל
51	אלהיה
52	גדליה | בן | בכל
53	יגיל | לחיה
54	זהבם
55	האדמה | כלה | הים
56	יום | ליהוה
58	ביום | ובהמה
59	גוים | ויגדלו
61	אני | היום
62	בני | הדגים | בימי
64	ובנו | הגוים
65	אדני | הס | יבזום
66	יוכל | אלהיך
67	ואין | והלכו
68	ובני
69	ויגדילו | נוגי
71	אכן
74	חללו | עד
75	להם | לאדם
76	בלבבם | היונה
78	נביאיה | חללי | מלח | והנדחה
80	וחסו | עוד
81	אף | ויללה | גבולם
82	עזה | מבלי
84	דמם
85	הכין
86	ליום
88	חילם
90	כלם | כהניה | עזובה | מכל | מלך | מן | יודע
91	נאם | אפי | אלהיהם | הילילו
92	נבהלה
95	ונגאלה | המלך
96	בחלון
97	אמון
99	נדמה
100	על | לכן | גאונם | ממך
101	מאין
104	לעד | יובלון
105	ציה
106	ילינו | אהפך | ועל | עול
107	הבעל
108	חק | חמס
109	וגדופי | נטילי
110	יינם | אדניהם | עם
111	עולה
112	לעבדו
114	חמסו
115	עליה | הנני
120	עמי
121	נינוה
122	ואפלה
123	לצבא | ועלזי
124	ולחמם | כסדם
127	עליזי | העליזה | זעמי
130	חזקיה | הכהנים | עני | עליך
131	ענוה
132	במלכם
133	כגללים
135	פנה
136	ענוי | קול
137	בפיהם
138	בקול
140	מעל | פני | יניע
141	אסף | ונטעו | ימצא | צאן
142	בסף
143	לקחה
144	ינחלום
145	פחזים
146	עולם
150	נצדו | כמץ
155	עליהם
156	קומי | עוף | ציון
157	ואפסי
160	כסף | ממועד | עמים
166	הממלאים | עמון
170	ענן | עליכם
171	מעונה | לאסף
174	הנסוגים
180	מפני
184	קפד
186	פוצי | פעלו
190	מעניך | כנען
191	המקום
193	אקבץ
194	צדק
200	כספם | הצלעה
202	קבצי
204	צדיק
205	להצילם
206	דבר
207	בהר
210	נכסף | חרב
211	גבור
212	רזה
213	ארזה
220	חרבי
222	ידברו
226	צפון
230	לעיניכם
232	לקבצי | ממקומו
234	יפקדם
235	צפניה
236	הקפאים
237	לאור
240	מר
241	אמר
244	חרול
246	מראה
247	ומצוקה
249	גרמו
251	האמרה | ומהר | יאמר | בטרם
256	אמריה
257	ברנה | נורא
259	מאחרי
260	רני
262	מחריד
264	חרון
265	צעקה
266	כמדבר
270	רע
271	ומכרה | אסיר
272	עבר | ערב
274	בערב
275	הסיר | ערה
277	עברה
278	עובר
280	נכרי | ירע
285	העיר
286	ירעו
291	ארץ | הריעו | ומרמה
293	חרפה
294	חרפו
295	לנהרי | צרה
296	הארץ | האמרים | ירפו
298	צרח
303	באש
304	ורבצו | בבקר
306	שאה | מוסר
307	קרבה
308	ושב | קרוב
309	ובאש | בקרבה
310	כרמים
311	איש
312	מעבר
315	הכמרים | אשדוד
317	קראיו
318	ישבו | יושב
320	רעים | בשובי
322	ישבי
324	בקרבך | עדרים | נעדר
325	הערים | עריהם
326	כוש
328	חשך | יושבי
331	לקרא
332	לבקר | יאשיהו | מרבץ
335	כעמרה
336	כושי | ירעון
340	שם
342	בשם
346	כעורים
347	בצהרים
354	שאגים
355	בשמחה
356	וישם
358	ומשואה | שמחי | ירבצון
360	שכם
361	אנשי
362	מקרבך
370	כעפר | לשם
375	עשה | לשמה
376	ולשם | כושים
378	מלבוש
381	השכימו
385	יעשה | שפה
386	וערפל | לשון | יעשו
387	הלבשים
389	אחפש
391	ושממה
395	השמים
396	יושיע | נשמו
400	המשנה
401	את
402	בת
404	שפטיה | קדש
406	האנשים | ושפך
407	ואת
408	זאת | בקשו
412	בית
