Gmatria	Word
3	אב
7	גד | אבד | בה
8	בו | אז | באה
9	זב | באו | ובא
11	דבה | ובבא
12	בי | זה
13	והב | יבא
14	בזה | יד | הבז
15	באחד
16	ביד | אחז
17	הזה | הדגה | גדי | טבו | אוי | ההוא | טוב | דגי
18	איבה | וזה | אביה | חטא | האחד | והוא
19	אביו | היד | יבאו | ואחד | הגיא | הזהב | אחי | יבוא | אויב | הגדגד
20	חזה | באיבה | וזהב | ידו
21	אחזה | היו | האחז
22	בדיו | ואזוב | בזזו | וביד | הטוב | והיא | טובה | בידו | הגדי
23	יביא | איבי | והזה
24	ידי | והביא | הביאו | ואביה | חטאו | וחי
25	בחטאה | אחיו | ויט | ויבאו | אביהוא | בגדיו
26	בחטאו | החגי | והיה | כבד | בידי | יהוה | ויגז
27	והיו | הטובה | ואך | בכה
28	כח | יחטא | ביהוה | ובך
29	איביו | החיו | ויאבדו
30	וחיו | ידיו | הכה | דכו | וחטאו | כי | יחזה | יהודה
31	יהיו | ויהי | וכה | אל | לא | ואביהוא | יביט
32	והביט | לב | ויהוה
33	אבל | בלא | אביך | ויזבח | יחיה
34	גאל | אחיהוד
35	לה
36	אלה | כבדי | ויך | אהל | וכי | לו | הלא | לבד | הכהו
37	ולא | ויהיו | דגל | ואל | גדל
38	באהל | וכבוד
39	אחיך | כזבי | אלדד
40	לבדד | לי | חלב | הגבל
41	גבול | האהל | אם | ייטיב | אלי | האלה | גאואל | איל
42	הלוא | בם | ויכו | יוכבד | אהלו | הגדל | לחבב | ואלה | להבה
43	דגלו | לאחד | בגבלו | חלה | איביך | באם | גדול | החל | גם
44	הטל | דם | ובאלה | ויבכו | יגאל
45	מה | הולד | ויכזב | מאד | ככה | אדם
46	אהלי | חגלה | לוי | כבדך | בדם | אלהי | חלבו | הגבול | האהלה | האם | לבדי | האיל
47	מאגג | אולי | יגדל | אליו | וטבל | ויכהו | אכבדך | באדם | בהם | לזבח | ואיל | אמו | והלאה | וגלח | ואם | וגבול | הבדלו | והאהל | לטוב | היבל
48	חיל | כוכב | באמה | גדולה | יחל | להביא | גדיאל | הגדול
49	לגוי | לאחי | דמה | לאביו | ילדה | אלידד | מואב | וגם | הבדלח | הדם
50	כל | ההם | המה | אדמה | טמא | ים | האדם | בכחך | לך | ודם
51	הבדיל | והם | אדום | ומה | לחגי | הלוי | לאחזה | נא
52	מזה | בן | אלהיו | מבטא | ומאה | כלב | בהמה | במי | וחגלה
53	אבן | החיל | באכל | ולזבח | יגלי | באים
54	דן | ויחל | מיד | ילדי | מטה
55	הים | גבלך | ימה | לאחיו | ההמה | הן | טמאה | נגב | הלך | הטמא | באבן | וגלוי | הוליד | לכה
56	כאלה | לבדך | יום | נדב | וכל | בידם | וטמא | ויולד | אנה | והמה | אכלה | ליהוה | ומי
57	אוכל | מידבא | כגדל | הבהמה | בנגב | בנה | בהן | במוט | מזבח | לזבחי | און
58	הבאים | מידד | בנו | ומזה | וילוו | ביום | חן | ובן | אביהם | וכלב | נבו
59	המטה | ומחה | גוים | במזבח | אחים | נדה
60	כלי | ובבהמה | נבח | מחזה | הימה | מטהו | מידו | ימי | המוט | יטמא | הטמאה | ליהודה | הנה | ומטה
61	היום | אביחיל | ולכה | בטן | אליך | גבולך | אין | וכלה | אני | הולך | יאכל
62	ואכלה | ואלכה | המזבח | בני | בין | בהנה | וכלו | במטהו
63	בנדבה | אבדנו | ודגן | ואכלו | יביאם | ואון
64	ונבו | הגוים | בבני | חנו | בגדיהם | ילידי | הנדה | וביום | נטה
65	אדני | כליה | בבאכם
66	וילך | יכול | כליו | וכלי | לאהל | אהליך | ונבח | יטמאו | בטנה | הניא | מיהוה | והנה | דיבן | לאלה
67	ואני | המזבחה | והולך | והנו | ואין | ובגוים | אבידן
68	ויבן | אביהן | בלול | בדיבן | בניו | ובני | ובין | חטאים
69	אבינו | וכלביא
70	בחלל | באזני | ההין | וילכד | מכי | וחנו | נחבי | כן | יין | המכה
71	יניא | ונהי | יונה | היכול | ובנחה | לגבול | כמהו | ואדני | מלא | במדכה
72	בכים | מכבוד | חסד | וילכו | יאכלהו | בידנו | ודיבן
73	החטאים | החיים | האזני | בלולה
74	עד | יחנו | מגאל | ובניו | לדם | ילחכו | הגוני | חטאנו | ויבנו | ובכליו | וינח
75	היין | האבטחים | וילכדה | נכה | נטיו | להם | למה | לילה | מהודך
76	ויין | מאלה | וכן | מול | ניחח | ללוי | אלהם | מלאה | מלבד | בעד | וככל | נדיבי
77	עז | כדגן | בלילה | מגדל | ואדניו | מלאו
78	נכח | כלחך | ונאחזו | האזינה | לחם | מלח
79	גוע | עדה | בגדיכם | והניח | למואב | אחיכם | וטחנו | וכומז
80	כהנה | ועד | בלחם | חלבם | עוד | ככם | סודי | לטמא | לכל | וסביב | למי | הלילה | ויחנו
81	בגוע | עבדה | העבד | בטנך | היינו | ויהס | אועד | אנכי | מגבול | ולילה | אילם | אף | והכן
82	לאלהיו | מלבי | ועבד
83	מחלה | איביכם | ויניאו | ואולם | גמלי | ולאמו | יגע | כחגבים
84	לדן | כנוח | חנוך | עדי | ולחם | למטה | האחיכם | דמם
