Gmatria	Word
3	בא | אב
4	אבא
6	הא
7	או | בה | גד
8	אז | בו | באה | הבא | אהב
9	בגד | אח | באו | בוא
10	בדד | אבוא | ואבא | זאב
11	אי | בבוא | בבאו | ואד
12	הוא | בי | זה | הבה
13	ובה | הבו | אחד | אבי | באי | הדד | יבא | הבאה | זבד
14	יד | הבוא | זהב | אהבו | בזה
15	ובגד | ובאו | בוז | בגדו | באחד | בבאי
16	הוה | הבט | ביד | אודה | חדד | איה | ואהד | היא
17	זבח | הזה | יגד | גדי | גדוד | גיד | ההוא | בבגדו | טוב | דגי | באחו
18	חי | וזה | הביא | ואחבא | האחד | אביה | והוא
19	ובאי | בגיד | האטד | אחי | יבוא | ויבא | אביו | יבאו | בגדי | ידה | ובהו | ואחד | הזהב | בטוב | גוי | בטח | ואבי | חוה | טבח
20	ידו | ויד | וזהב | הובאו | היה | יובב
21	אחזה | איי | היו | ואבואה | אך | חובה | חזו | בידה
22	הגיד | הגדי | והיא | וביד | הטוב | בך | טובה | בידו | ובזהב | ואיה
23	וטוב | חטאה | החי | באך | ויגד | חיה | הביאה
24	הטי | ידי | ויוב | ויאהב | הגוי | הביאו | אחיה | ויבאה | והאחד | חטאו | וחי | ואיבה
25	כה | ויט | אחיו | דודאי | היי | ויבאו | יהי | ויבז | וטבח | ואביו | ואחי | בגדיו
26	כבד | והיה | בידי | היטב | וידו | יהוה
27	ויזד | וחגי | ואהיה | גדיי | בדודאי | הגידה | גזזי | בכה | והיו | ואך
28	הגידו | יחדו | ביהוה | חיי | החיה | באכה | חטאי
29	כדה | ויאהבה | ידיה | ואגידה | גויי | איביו | וחיה | וידגו | כבוא | החוי | ויגדו | והביאה
30	בחיי | יהיה | והביאו | וחיו | ידיו | כי | יהודה
31	הכבד | יהיו | ובחיה | ויהי | אל | ייטב | לא | ואחיו | איך | ואכד | הכו | ויבזו | כבדה
32	הגידי | וכבד | איטיב | ויהוה | כזה | לב | כבדו
33	גל | והאחזו | לבא | כבאי | כאחד | אבל | אביך | ויזבח | לאב | כחה | יחיה
34	חייו | ויחי | בבכי | יחיו | בבל | ידך
35	ויביאו | אלד | לה | הכי | וכדה
