Gmatria	Word
7	בה
8	אז | דד
9	זב | בוא | אוב | ובא
11	חג | בבגד | בבאו
12	בי | זה | אבדה
13	יבא | גבח
14	ואז | דדו | הזב | הבגד | די | הובא | זבה | והבא | ובו
15	זוב | הדאה | אביב | באחד | האזב | דוה
16	היא | ביד
17	טוב | הזה | ההוא | האבדה
18	וזה | אביה | חטא | האחד | והוא | החגב | ובאזב
19	אביו | בגדי | ואחד | ידה | הזהב | בטוב | יובא | אחי | יבוא | אויב
20	ידו | והזב | זובה | והבגד | חזה | היה
21	אחזה | האיה | זובו
22	והיא | הטח | יבטא | יזה
23	בזובו | זבחו | יביא | וטח | החי | חיה | והזה
24	הגוי | הביאו | וחטא | חטאו | וחי | והאחד
25	יזוב | ואביו | החזה | בגדיו
26	והיה | יהוה | והדוה
27	יגיד | זך | באחיו | והיו | אכבד
28	הטוח | ביהוה | והגיד | החיה
29	והביאה | וחטאה | וזבחו
30	והביאו | כי | ידיו | כהה
31	יהיו | ויהי | אל | לא | ובגדיו | ואביהוא
32	כבוד
33	יזבחו | בלא | אביך
34	ויחטא | דל | כדי
35	בחייה | לה | יכה
36	אהל | וכי | וידיו | האל | לו | הייטב
37	ואל | וייטב | לוא
38	גלה | יבכו | באהל
39	הוכח | גאלה | ולג | והכח
40	גאלו | וגאל | גזל | חלב
41	האלה | אם
42	בהלה | לבטא | בם
43	באיל | גדול | החל | גם
44	דם | יגאל | וגלה
45	הם | מה | כאחיו | החלב | חלבה | אדם
46	מאה | וחלב | בדם | חלבו | האיל
47	והלאה | באדם | בהם | לזבח | ואיל | אמו | החלד | אליו | היבל | וגלח | וטבל
48	לחטא | יובל | הגדול
49	לאביו | וגם | דמה | הדם
50	מדו | חלבי | וביבל | המה | טמא | האדם | הגזלה | דמו | לך | יולד
51	גחלי | והם | יגלח | אכל | במדה | לאחזה | האליה
52	ואלהי | בכל | ואמה | אלהיו | בן | ומאה | בהמה
53	ואמו | אבן | היובל | חמה | ולזבח | יבולה
54	דן | מטה | דמי | מיד | בבהמה
55	גבן | וילדה | הן | טמאה | מזוב | הכל | הטמא | ולאביו | באבן
56	בלבבך | יום | נדב | וכל | בדמי | האכל | וטמא | כלו | ליהוה | יבדיל | והלטאה
57	ואכל | ויטבל | הבהמה | בנה | בהן | מזבח | יגלחו
58	ובכל | בנו | ביום | ובן | חטאם | ובהמה
59	בגדים | ואבן | ולחיה | דמיה | נדה
60	מזובה | ההלך | כחלב | ומיד | גאון | ויליד | ימי | מך | הנה | יטמא | הטמאה | וידם | דמיו | ומטה
61	בגוים | אמך | נדבה | היום | מזובו | אליך | אין | וכלה | הלכו | אני | הולך | הולידו | יאכל | וטמאה
62	והאכל | בכלי | בכם | אבנט | ואכלה | המזבח | בני | בין | בהנה | וטמאו
63	אבני | ואולך
64	הבגדים | בבני | ביומו | באבנט | והביאם | וביום
65	הכלי | מכה | בבאכם
66	אלהיך | כליו | לאהל | ומך | והנה | וכלי
67	זבחים | מזבחי | ואני | המזבחה | אכליו | גחון | ואין
68	חיים | בלול | בניו | ובני | ואכלוה | והחמט | ובין | איביהם | בינו | ואכלהו
69	ידיהם
70	ובאבנט | כן | יין
71	והין | אכלך | מלא | יונה
72	זבחיהם | יאכלהו | יאכלוה | לאהלו | בנך | ולאלה
73	במכוה | מלג | החיים | בלולה
74	עד | לבבם | ידכם | ובניו | לדם
75	כהן
76	כנו | וכן | מאלה | מול | ניחח | אלהם | ימוך | המכוה | מלבד | מאהל | עבד | בלבבם
77	עז | מלוא | לאמו | זבחכם
78	יחלל | יניח | יביאנה | הגמל | לחם | מלח
79	יביאנו | אחיכם | וחללה
80	הכהן | ועד | עוד | כימי | יסוד | לטמא | לכל | הלילה
81	עבדה | מאיל | וכהן | להבדיל | ולילה | אף | ימלא
82	בעדו | בניך | ומלאה | לאלהיו | ובעד | ואלהם | ניחוח | לבן
83	ולאמו | הלחם | יגע | ועז
84	יחללו | ידע | לחמו | ולחם | מדם | למטה | דמם
85	ובגדיכם | הודע | מאדם | ואחיכם | לטמאה
86	עבדי | ימול | מום | ולכל | כמוך | יעבד | והכהן | בלחמו | ובלחם | אליהם | לאכלה
87	וימלא | ובאחיכם | ואילם | ולהבדיל | ואף | לבנה | הכבס
88	וכבס | נחל | כחכם | ולבהמה
89	אדמדם | יחללהו
90	מכל | לכם | ידעו | מדמו | סל | פי | מים | ונגאל | האפד | ומדם | מן
91	הלוים | לנדבה | אלהיהם | הכוס | מאכל | וכסה
92	החסידה | מבן | בסל | יכבס | הלבנה | בטמאם | במים
93	ואפו
94	וכבסו | יעטה
95	החלבים | חלבהן | המלך | ופדה | המים
96	צו | מיום | ומכל | יומם | ומן | האילים | בעדך
97	צהב
98	אזנם
99	יגאלנה | דמיהם
100	יגאלנו | מכם | ימים | והפדה | כף | טמאים | על
101	צוה | כלאים | אליכם | ויאפד | יצא
102	מבני | בעל | הצהב | ומיום | הוצא | ועבדך
103	אבנים | עגל | והצב
104	ולחלל | דק | ציד | חוץ
105	הפך | לכהן | במחנה | עלה
106	אלהיכם | ועל | וטמאים | כפו | נטמאו | קאה | מאלהיך
107	זנים | ויצא | וצוה | בהק
108	ללחם | מאזני | המנחה | קח | מבניו | האבנים | געלה | המחנה
109	ועגל | דקה
110	העלה | הפכה | יצוד | עם
112	הזנים | ללבן
114	קחו | עמד | וחק
115	העם | עליה | הימין | יעלה
116	יאכלנה | עליו | בעדם | עמו | ממול | לאלהים | יעלו | והעלה | איננה | ללוים | כפיו
117	יוציא | איננו
118	יקח | עזיאל | והוציא | מלחם | ולבניך
119	מעט | והניחם
120	יפל | לפי | למלך | מועד | עמי
121	יפלא | הלולים | לאלהיהם | אצל
122	בניכם
123	נגע
124	בהוציאי | יקחו | יעמד | מעדי | עמדי
125	בנגע | מסכה
126	וסמך | מאפה | עבדים | למלאכה | ולפי | האלילים | עון | אלמנה
127	בכהנים
128	חקך | הנגע | בעמיו
129	ויוציאו | ונגע
130	ויקחו | הכהנים | המכסה | פן | יען | עמך | סיני | מועדי | עין
131	מצא | עונה
132	ויפלו | העזים | ענבי | וסמכו | ולעבדך
133	למנחה
134	הנוגע | נדף
135	קהל | לעלה | והעמיד | למינה | ממנה | ובעזים
136	ומסל | והמכסה | ויעמדו | ממנו | עינו | ניחחכם | למינו | קול | ויסמך | מצאה
137	עזכם
138	וביען | חמץ | לחמכם | לחק | לקח | בעינו
140	הקהל | היענה | מעל | פני | עיני | וחלצו
141	לפלא | ינאף | והעמידו | מלאיכם | ונודעה | למינהו | האנפה
142	ופנו | ויסמכו | בעיני | ומעוך
143	בצאן | ומצבה
144	מחוץ | ידעני
145	ימצה | לעזאזל | העלם | והמעיטה | עלהם | ולקט | הנץ | מעלה
146	פניו | מעלו | ובנחלים | עולם | וקלי | וקם | קלוי | הצאן | עיניו
147	העזניה
148	פסח
149	ולקחה
150	יכנע | יסף | סמים | עמם | ולקחו | המעלה
151	ומעלה | וקלוט | מקוה
152	לבניכם | המוציא
153	לנגע
154	חפניו
155	קנה | מוקדה | המעיל | הסמים | נהפך | כפיהם | עלהן
156	יקום | יוסף | ימקו | עוף
157	נקבה
158	ונקב
159	בזקן
160	קלל | כסף | הקנה | בנקבו | לעני | עלכם
161	העוף | קנהו
162	במועדם | הזקן
163	ולמלואים | זקנו
165	העמים | העץ | הכסף | עליהן | מעמיה | הכסלים
166	עונם | ונפל | ועץ | מעמיו | יעלימו
167	זקני | והעוף | והאנקה
168	ובעץ | בכנפיו | בעונם
170	עמכם | יקלל | ענן | מעין | עליכם | העצה | לפני | לעיני | מעמך
172	בענן
175	לפיהן
176	ופסל | ומלק | ולפני | ויקלל
180	עינים | ממעל | כספך | מפני
185	פנימה | עיניהם | פניהם
186	לעוף | מקום | ומכנסי
188	יעקוב
189	הידענים
190	נקם | ציץ | למען | כנען | ממעלי
191	ונמצה | נאסף | ונסכיהם | להוסיף
194	צדק | העטלף
196	בצדק
197	זקנם
200	עצם | מכסף | כמפני
202	רב
203	באספכם | ולזקני
205	הניפכם | גרב | המקלל
206	ראה | דבר | וענף | יוצק | ויצק
207	בהר | אראה
208	יצחק | הגר | גרה
209	רבבה | הדר
210	מלפני | חרב | עצים | עמק
211	ובגר
212	זרה | דברו
213	הארבה | יגר | אזרה | הארז
214	וגרה | והגר
215	ואחר | גזרה | חרבה
216	דברי | וחרב | ורדו | ועמק
217	וירא
218	וראהו | באזרח
219	טהרה | יגור | הטהר | אחרי
220	בריח | וירד | וטהר
221	יחגר | וחרבה
222	בטהור
224	הטהרה
225	הטהור | וטהרה | ואחרי | צפנה
226	וטהרו
227	ויחגר
228	בכור
230	יצנף | ירך | החזיר
232	הזכר | יבכר
233	רגל
236	וקמץ | קמצו
239	ולגר | רגלו
240	לחרב | פעמים
244	לטהר | הגורל
245	המר | הפקדון
246	החרגל
247	מרבה
248	במדבר | חרם | אברהם | חמר
249	רגליו
250	נר
251	אלצפן
252	רבים | מראהו
253	החרם | הרחם
254	מרוח
256	יורם | אהרן | נראה | המדברה
257	נזר | ויאמר
258	בכוריך | יחרם | ומראהו
259	הנדר | אחרים | ירגמו | כברזל | ימרט
260	מרך | מכר | ימיר | רכיל
261	והרים
262	ונראה | ואהרן | מחריד
264	ירגמהו
266	ירימו | ומכר | כמראה | יראנה
270	נכר | רע | ירדנו | יקצע
271	לאמר | המכרו
272	וירנו | ברע | ערב
273	רגלם
276	עור | ערו | יוסר
277	למאור | זרע
278	ובער | בעור | בערו | ויברכם | הסגיר
279	אחריכם | לרגליו
280	בארבעה | ערי | עיר | יסיר | פר | הערה | כרמך
281	ערוה | העור | רעהו
282	בעיר | יעבר
283	הבכורים | וזרע | רגלים | זרעו | זכרון
284	רדף | והסגיר
286	וכרמך | ופר | ועיר | לאהרן | ויקצף | וכירים
287	יזרע
288	וערבי
290	רעך | ורדף | כרמל | פדרו | פרי | ולנדר
293	פגרי | פרחה
294	ופרח | טרפה | פרוח
295	ופרט
296	ורדפו | וכרמל | וערך | פריו
300	לרע | ממכר | יערך | המנרה | ירדפו | וטרפה
301	קרא
302	והארץ | קרב | בציר | וערכו | בקר
303	באש
304	ורחץ | בבקר
305	הערל | שה | ליסרה | להרע
306	שגג | וכפר | כרעיו | אשה | דבש | ממכרו | האש
307	לרבעה | לזרע | ואש | שאו | הקרב
308	קרבו | ירחץ | ושב | ובציר | אלעזר
309	נדריהם
310	יעריך | ערכך | לפר | לעיר | קיר | ורחצו | ירק | יכפר | קרי | נמכר
311	האשה | ושה | ישא | והעריך | איש | אשי
312	וכרעיו | בחשב | והאש | בערכך | יבקר | ודבש | יקרב | חדש | מערב | ישב | הזרק | ואשה | בקרי
313	בשגגה | והקרב | קרחה | באיש | ושבה | בארצך | וזרק
314	בקרבי | וקרבו | השדה | בחדש | וירחץ
315	העמר | להפר | ושדה | הערכך | שדהו
316	ונמכר | ימירנו | מעור | השבט | האיש
317	והעריכו | ואיש | שיבה | יזרק | להעביר | ישאו | וישא | ויקרא | הקריב | חדשה | מזרע
318	ויקרב | ישוב | וישב | הקרובה
319	ישגו | וזרקו
320	לרעך
321	לארץ
322	כבש | ישיב | כשב | יקריב
323	ישיג | ויזרק | יקרחה | והשיב | ושחט | השיגה | הקריבו | והישב | והקריב
324	והשיג | הקטיר | נדריכם | ויקרבו
325	עריהם
327	הכשב | הכבש | נזרע | הערבים | השחטה | ישחט | ישביה
328	והקריבה | וכשב | יקריבו | וכבש
329	יקטיר | והגישה | ושחטו | כשדה | והשיבו | והשיגה | וארבעים | ונגרע | והקריבו
