Sefer	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20
Vayikra	את	אשר	לא	יהוה	על	אל	ואת	הכהן	כל	או	הוא	כי	ליהוה	משה	בני	אהרן	ואם	לפני	אני	אתו
Shmot	את	יהוה	אל	על	משה	אשר	ואת	כל	כי	לא	ישראל	ויאמר	מצרים	בני	פרעה	העם	זהב	אהרן	ולא	איש
Breishit	את	אשר	ויאמר	אל	כי	על	ואת	כל	אלהים	יעקב	לא	יוסף	יהוה	הארץ	לו	ויהי	הוא	בני	אברהם	שנה
Bamidbar	את	יהוה	אל	בני	אשר	משה	כל	ישראל	בן	על	ואת	כי	לא	אחד	משפחת	ויאמר	לאמר	אלף	הארץ	אהרן
Dvarim	אשר	יהוה	את	לא	כי	אלהיך	כל	לך	אל	על	ולא	ואת	הארץ	הוא	היום	עד	הזה	לו	ישראל	נתן
I Samuel	את	אל	שאול	יהוה	ויאמר	כי	דוד	אשר	ישראל	שמואל	כל	לא	על	פלשתים	לו	איש	ואת	ולא	העם	ויהי
Zephaniah	יהוה	כל	כי	את	לא	על	יום	ולא	ביום	הארץ	אשר	אל	בן	נאם	והיה	ההוא	גם	אסף	ועל	עם
Haggai	יהוה	צבאות	אל	נאם	הזה	בן	לאמר	אמר	חגי	ועל	את	כל	זרבבל	ואל	העם	ואת	דבר	הנביא	יהוצדק	הכהן
Jeremiah	יהוה	את	כי	אשר	אל	כל	לא	על	ואת	ולא	יהודה	נאם	אמר	מלך	כה	בן	בבל	ישראל	ירמיהו	הזה
Joel	כי	יהוה	כל	על	את	אשר	אל	אלהיכם	יום	לא	אכל	אספו	יהודה	הארץ	שם	מבית	משרתי	יבשו	קדשו	אכלה
I Kings	את	אשר	יהוה	אל	על	ישראל	ויאמר	המלך	כי	שלמה	כל	לא	מלך	בן	ואת	ויהי	לו	לאמר	בית	דבר
Amos	יהוה	על	לא	את	ישראל	כי	אמר	אדני	ולא	נאם	כה	אל	בית	ועל	אם	אשר	כל	ויאמר	שלשה	פשעי
Judges	את	אל	יהוה	ישראל	אשר	ויאמר	בני	כי	איש	ואת	כל	לא	לו	על	ויאמרו	עד	ויהי	להם	בן	בית
Jonah	אל	יהוה	יונה	כי	ויאמר	את	על	הים	אשר	לך	נינוה	גדולה	מה	הרעה	ויהי	האלהים	ולא	ויאמרו	דבר	העיר
