Sefer1	Sefer2	Score
I Kings	II Chronicles	0.051056673000464514
Isaiah	Psalms	0.04023283265153163
Ezra	Nehemiah	0.03704447317990364
Jeremiah	Isaiah	0.036742678353454725
II Kings	II Chronicles	0.035949650420777586
Shmot	Bamidbar	0.035769762590485824
Job	Psalms	0.034574204214588435
II Chronicles	I Chronicles	0.0331546032686008
I Kings	II Kings	0.03305002463813251
II Samuel	I Chronicles	0.032771255773380276
I Samuel	II Samuel	0.03239638921810599
Vayikra	Bamidbar	0.030029532677796233
Jeremiah	Ezekiel	0.029771526290780052
Vayikra	Shmot	0.02915569963730749
Proverbs	Psalms	0.02897557524284008
Shmot	Breishit	0.028814471901409316
Jeremiah	Psalms	0.028383846976015696
Breishit	I Chronicles	0.027898733210934456
II Kings	Isaiah	0.02782562189653309
Breishit	I Samuel	0.027630039642725847
Shmot	Dvarim	0.027188304919915314
I Samuel	Judges	0.02701128906284859
Isaiah	Job	0.02687070755881677
Jeremiah	II Kings	0.026402176139512155
Proverbs	Job	0.025852834623150373
Judges	Joshua	0.02576461121219203
Breishit	Judges	0.02569992633919767
Breishit	Jeremiah	0.025549383497947456
Ezekiel	Isaiah	0.025394347067960208
Bamidbar	Joshua	0.025332467379945475
Dvarim	Joshua	0.024516698082684897
Bamidbar	Dvarim	0.024453424498889553
Breishit	Bamidbar	0.024111661492379134
Isaiah	Proverbs	0.024022693948784028
Breishit	II Samuel	0.0237818581983931
Dvarim	Jeremiah	0.023699598425771226
I Samuel	I Kings	0.023658120376223436
Breishit	Dvarim	0.02307010516405603
I Kings	II Samuel	0.022851807256016692
Vayikra	Ezekiel	0.02199216175162382
Dvarim	Psalms	0.02196876940256652
Vayikra	Dvarim	0.02194358872158824
Breishit	II Kings	0.021732965105686643
Breishit	I Kings	0.02150195523794487
Shmot	I Samuel	0.021477723926874037
Dvarim	Isaiah	0.02120365513388006
Ezekiel	Psalms	0.021165136584758697
Jeremiah	II Chronicles	0.021116807822784623
II Samuel	II Kings	0.02109992580954264
I Samuel	II Kings	0.021086289303384236
Judges	II Samuel	0.021062536513515747
Shmot	Ezekiel	0.021037166722313295
Breishit	Isaiah	0.020914628473681182
Ezra	Daniel	0.020814515042800755
Breishit	Ezekiel	0.020774080964116825
Jeremiah	I Kings	0.020671849863537817
I Samuel	Jeremiah	0.02044809718073506
Breishit	Psalms	0.020348069498290065
I Kings	Ezekiel	0.020033481225934565
Shmot	I Kings	0.019992404336992498
II Samuel	Psalms	0.019945123516752716
Bamidbar	I Chronicles	0.019854472676671092
Bamidbar	I Samuel	0.01983652992163881
Bamidbar	Ezekiel	0.019792522849323077
Jeremiah	Job	0.019607916791416803
Dvarim	Ezekiel	0.019405136657071297
Judges	II Kings	0.0191640049942623
I Kings	Judges	0.019148593356559145
Nehemiah	I Chronicles	0.019124684895351282
I Samuel	II Chronicles	0.019106058770406904
Breishit	Joshua	0.019031314998938172
Dvarim	I Kings	0.018947068151864293
Shmot	II Chronicles	0.01882281260881006
Bamidbar	Judges	0.018781852089284488
Shmot	Jeremiah	0.018726274533189487
Ezekiel	II Chronicles	0.01871023127595521
Judges	II Chronicles	0.0186508930820654
I Samuel	Joshua	0.018568229524459395
I Samuel	I Chronicles	0.018472057902261755
Dvarim	I Samuel	0.018279381750030833
Jeremiah	II Samuel	0.018236234331724475
Shmot	Isaiah	0.01822587041527743
Bamidbar	Jeremiah	0.018170839489474674
Shmot	Judges	0.018122147873902015
II Chronicles	Nehemiah	0.01809975022010484
I Samuel	Isaiah	0.01778061383810719
II Samuel	II Chronicles	0.01752625724298972
Joshua	I Chronicles	0.017493110295558625
I Samuel	Psalms	0.017320578367828406
Shmot	II Kings	0.017201448210570555
Breishit	Job	0.017191493348569696
I Kings	Joshua	0.01719132018795046
Shmot	II Samuel	0.01711898963603773
Isaiah	II Chronicles	0.017064237566265072
Jeremiah	Judges	0.01705917913395139
I Kings	I Chronicles	0.016922259264626056
Breishit	II Chronicles	0.016916315266219874
Vayikra	Breishit	0.016833862059688596
Shmot	Psalms	0.01672922702041585
Ezekiel	II Kings	0.016722721157937548
Shmot	Joshua	0.01666835757480872
Jeremiah	Proverbs	0.016552432330172995
Dvarim	Job	0.01652342379531541
Jeremiah	Joshua	0.016427109794282822
II Kings	Joshua	0.0162115793571785
Bamidbar	II Kings	0.016182117066971397
Joshua	II Chronicles	0.016166607242453272
Bamidbar	I Kings	0.01616023155216539
Bamidbar	II Chronicles	0.01612331690488066
I Kings	Isaiah	0.01609301297493087
II Chronicles	Psalms	0.016084782125801785
Dvarim	Proverbs	0.01585421855393555
Judges	I Chronicles	0.015824770726823464
Ezekiel	Job	0.01563596526085991
II Samuel	Isaiah	0.015564497935800293
Bamidbar	Isaiah	0.015513191718887324
Dvarim	II Kings	0.015429380389909897
Dvarim	Judges	0.015420556196087511
Bamidbar	II Samuel	0.01535158977681593
II Samuel	Joshua	0.015323942162307643
Dvarim	II Chronicles	0.015289547662572156
Dvarim	II Samuel	0.01525901431051145
Breishit	Proverbs	0.015258880498200716
I Samuel	Ezekiel	0.015118518273905215
II Kings	I Chronicles	0.014919382598421143
Ezra	I Chronicles	0.01490315936506034
I Kings	Psalms	0.01475348776659825
Psalms	I Chronicles	0.014623703137656296
II Samuel	Job	0.01461624348572373
Bamidbar	Psalms	0.014294585304538346
Shmot	I Chronicles	0.014286610580939928
Ezra	II Chronicles	0.014244007501237615
Shmot	Job	0.014173124032560248
I Samuel	Job	0.014160885424322636
Judges	Ezekiel	0.013999841781697487
Judges	Isaiah	0.013944746185396716
Vayikra	Jeremiah	0.013843716881657272
Judges	Psalms	0.013683290732174478
Vayikra	Isaiah	0.013658755573674236
Jeremiah	I Chronicles	0.013589682892398066
Ezekiel	II Samuel	0.013514204562358053
Ezekiel	I Chronicles	0.013466884889823923
Ezekiel	Joshua	0.013465915703383645
Jeremiah	Nehemiah	0.013048763834139181
Breishit	Nehemiah	0.012993573591456545
Shmot	Proverbs	0.012922576126530248
I Kings	Job	0.012712783420422364
Ezekiel	Proverbs	0.01271121954520789
Ecclesiastes	Proverbs	0.012439669664147139
Vayikra	II Chronicles	0.012394026357409882
Isaiah	I Chronicles	0.012096297055217158
II Kings	Psalms	0.012091521446461534
I Samuel	Proverbs	0.011971994091488521
Judges	Job	0.011931127746315917
II Kings	Nehemiah	0.011916825048655278
Isaiah	Joshua	0.011901439741403608
I Kings	Nehemiah	0.011888410080890411
Dvarim	I Chronicles	0.01185777111793548
Vayikra	I Kings	0.01178046033136935
Jeremiah	Hosea	0.01171668861277107
Judges	Nehemiah	0.011538538998507458
II Samuel	Proverbs	0.011482193979816367
Vayikra	II Kings	0.011371180865279589
Dvarim	Nehemiah	0.011275290633830764
Vayikra	II Samuel	0.01121936265228043
Bamidbar	Nehemiah	0.011193917496913508
Jeremiah	Zechariah	0.01101828114125685
Joshua	Nehemiah	0.011009045055231939
Vayikra	I Samuel	0.010914348261695527
Isaiah	Zechariah	0.01067876754319435
Joshua	Psalms	0.010624563678476955
Jeremiah	Amos	0.010611698907435511
Bamidbar	Job	0.010611089133131399
Vayikra	Psalms	0.010576136287191158
Shmot	Nehemiah	0.010550026150035075
Vayikra	Joshua	0.010397062365431376
Hosea	Psalms	0.010225186257889471
Vayikra	Judges	0.010212681047226602
Lamentations	Psalms	0.010205761218343566
I Samuel	Nehemiah	0.010199155102168019
Hosea	Isaiah	0.010163641123887849
Vayikra	Proverbs	0.009964178572682997
I Kings	Proverbs	0.009933015822909817
Nehemiah	Psalms	0.009896114564769869
II Kings	Job	0.00981335422228877
Vayikra	Job	0.009630383064560903
II Samuel	Nehemiah	0.009622250526043322
Isaiah	Daniel	0.009589665739563857
II Chronicles	Daniel	0.00957140314640792
Judges	Proverbs	0.00952985308140383
Ezekiel	Nehemiah	0.009520525663758994
Isaiah	Nehemiah	0.009509700887394895
Bamidbar	Proverbs	0.009469869126260062
II Chronicles	Esther	0.009373929817203521
Isaiah	Lamentations	0.009294376712198953
Ecclesiastes	Psalms	0.009279337466511831
II Chronicles	Job	0.009264912641893908
Hosea	Job	0.009249678612210231
Job	I Chronicles	0.009140455194140917
Daniel	Nehemiah	0.009099601113793621
Ezekiel	Zechariah	0.00908598921305213
II Kings	Zechariah	0.00907362601879263
Daniel	Psalms	0.00901289975881561
Hosea	Proverbs	0.008996228188835801
Jeremiah	Lamentations	0.008988589172880427
Jeremiah	Daniel	0.00894989702084663
Proverbs	I Chronicles	0.008911148191784356
Ezekiel	Daniel	0.008848886060467052
II Kings	Proverbs	0.008813356256802522
II Chronicles	Proverbs	0.008769457797643132
I Samuel	Zechariah	0.008648671834857352
Zechariah	II Chronicles	0.008588845438641694
Joshua	Job	0.00858356790239079
Ecclesiastes	Esther	0.008433855652299177
II Kings	Ezra	0.008393070022713627
Breishit	Ecclesiastes	0.008390882323251848
Jeremiah	Ecclesiastes	0.008387239727689623
Shmot	Zechariah	0.008375545742355306
Jeremiah	Micah	0.008337530829047106
I Samuel	Ecclesiastes	0.00830728344323638
Amos	Zechariah	0.008305852901296313
Breishit	Daniel	0.00827482316604968
Ezekiel	Hosea	0.008273431461252066
Zechariah	Psalms	0.008244345542368196
Lamentations	Job	0.00822325538988228
Daniel	Job	0.008217038368130048
Amos	Isaiah	0.00816962845646148
Breishit	Zechariah	0.00813846592071032
I Kings	Zechariah	0.008083454224887814
I Kings	Esther	0.00807538525221374
Dvarim	Daniel	0.007976454951372752
Joshua	Proverbs	0.007969358973533694
Breishit	Hosea	0.007937066514086375
I Kings	Daniel	0.00791508794056266
Vayikra	I Chronicles	0.00787406086118298
Micah	Isaiah	0.007822001700276837
Ecclesiastes	Job	0.007813193790484792
Amos	Proverbs	0.007687233395594678
Zechariah	Proverbs	0.00755942612100537
Dvarim	Zechariah	0.007552686954504909
I Kings	Ezra	0.007525048797890702
Judges	Zechariah	0.007518427569276862
Zechariah	Nehemiah	0.007517187399052987
II Samuel	Zechariah	0.007516802192837394
Daniel	Esther	0.007512365648483718
Dvarim	Ecclesiastes	0.007505344030432733
Breishit	Esther	0.007489952855970229
I Kings	Ecclesiastes	0.007417400208067424
Shmot	Daniel	0.007404276438856821
Daniel	Proverbs	0.007391016335087549
Ezekiel	Ecclesiastes	0.00738928488025185
I Samuel	Hosea	0.007364407608089167
Jeremiah	Ezra	0.007352659786861056
Dvarim	Hosea	0.007348039737322822
Bamidbar	Ezra	0.007337545065762087
Amos	Hosea	0.007333178350149409
II Samuel	Esther	0.007298424402751717
Vayikra	Nehemiah	0.007225428138178152
Joshua	Ezra	0.007200355568683325
II Kings	Esther	0.007156766209512053
Ezra	Esther	0.0071374628795935835
Isaiah	Ecclesiastes	0.007135433418215934
Amos	Ezekiel	0.007092889650431052
Micah	Hosea	0.007090100892132015
I Samuel	Esther	0.007067897444081021
II Samuel	Daniel	0.007038547165039584
II Kings	Daniel	0.007036608655081149
Vayikra	Hosea	0.007001574318453203
Dvarim	Amos	0.006924362118451201
Bamidbar	Daniel	0.006892917464974731
Bamidbar	Zechariah	0.00686483389196296
Judges	Ezra	0.006863110009262107
II Samuel	Ecclesiastes	0.0068175178173281465
Breishit	Amos	0.006798926191685737
I Samuel	Daniel	0.0067931202710408275
Joshua	Zechariah	0.006781326811056379
Breishit	Ezra	0.0067469457553164525
I Kings	Hosea	0.006740196697867852
Proverbs	Nehemiah	0.006727264869738898
Nehemiah	Job	0.006655334766057881
I Samuel	Amos	0.006630382440594336
Vayikra	Zechariah	0.00662446491192842
Jeremiah	Esther	0.006610812635227712
Nehemiah	Esther	0.006588627727861097
Judges	Hosea	0.00658269538186003
Hosea	Zechariah	0.0065805260444979285
Amos	II Kings	0.006568385639187021
Breishit	Ruth	0.006547902585302876
Hosea	II Kings	0.006531058181754961
Vayikra	Ecclesiastes	0.006521336095397144
Daniel	I Chronicles	0.006513325849318949
Proverbs	Lamentations	0.006509680737567373
Shmot	Ecclesiastes	0.006478820102690057
Zechariah	Job	0.006474753251061701
Breishit	Lamentations	0.006474190133285274
Zechariah	I Chronicles	0.006428198233529424
I Chronicles	Esther	0.006371583515332881
Judges	Esther	0.006367045088966026
II Samuel	Ezra	0.006333331872077282
Micah	Psalms	0.006266742372012526
Shmot	Ezra	0.006264287431511818
Zechariah	Daniel	0.006226749375978651
Micah	Job	0.006186287324913556
Ecclesiastes	II Chronicles	0.00618151519343825
Shmot	Hosea	0.006171348821731636
Dvarim	Ezra	0.006082772098436275
Amos	Job	0.006072971730327564
II Samuel	Hosea	0.0060724107514510935
II Kings	Ecclesiastes	0.006047061438346482
Amos	Micah	0.006029635147400517
Joshua	Daniel	0.005995489496097538
Bamidbar	Ecclesiastes	0.0059459490946341285
Amos	Psalms	0.005942593600197018
I Samuel	Ezra	0.005870838766826328
Ecclesiastes	Nehemiah	0.005859657972285945
Shmot	Esther	0.005845474640832267
Dvarim	Micah	0.0058324071957243685
Joel	Hosea	0.005830169548443525
II Samuel	Ruth	0.005828620486428877
Vayikra	Daniel	0.005823858768583808
Judges	Ecclesiastes	0.0058125107971560685
Zechariah	Esther	0.005801905036252008
Habakkuk	Proverbs	0.005791742237151589
Judges	Daniel	0.005735474978899184
Proverbs	Song of Songs	0.005734770171950831
Amos	II Samuel	0.005699380661758798
Ezekiel	Lamentations	0.005650690351877974
Joel	Zechariah	0.005649849885551464
Micah	Proverbs	0.005633374488128172
Vayikra	Ezra	0.005624915077903711
Ezekiel	Micah	0.005550121668762624
Ezekiel	Ezra	0.0055465049741019595
Shmot	Lamentations	0.005543822799686513
Zechariah	Ecclesiastes	0.005513010817994914
Joel	Nahum	0.0054865769475431455
Bamidbar	Esther	0.005483294224787937
Proverbs	Esther	0.00545909578479548
Ecclesiastes	I Chronicles	0.005455381510399196
Psalms	Song of Songs	0.005434393797669976
Isaiah	Esther	0.005429178426043782
Amos	II Chronicles	0.005391883017515138
Haggai	Zechariah	0.005376156931389063
Vayikra	Amos	0.005354179280981975
Joshua	Ecclesiastes	0.005329806495884117
Judges	Ruth	0.00532722846159699
Ezekiel	Esther	0.005302900256450402
Hosea	II Chronicles	0.0052842555606323425
Isaiah	Ezra	0.005240492169563315
Psalms	Esther	0.005239772872110925
Joel	Amos	0.005217096363007609
II Kings	Lamentations	0.005212899586244159
Ecclesiastes	Daniel	0.005204694257119746
Jeremiah	Joel	0.005186473827569519
Bamidbar	Hosea	0.005181686753559095
Zephaniah	Isaiah	0.00517419547369332
Job	Song of Songs	0.005169042675824721
Habakkuk	Job	0.005159970208700569
Bamidbar	Amos	0.005157223630719567
I Samuel	Ruth	0.005134812532681914
Habakkuk	Micah	0.005098305687593847
Zephaniah	Micah	0.005079915908375287
Amos	Joshua	0.005072093546866043
Hosea	Joshua	0.005059743225683671
Hosea	Ecclesiastes	0.005002750822747415
Joel	Isaiah	0.00499533961886913
Habakkuk	Psalms	0.004982413452623358
I Kings	Amos	0.004965389210524297
Joel	Ezekiel	0.004965117836955405
Zephaniah	Jeremiah	0.004960437874865123
Joshua	Esther	0.004934633190314344
II Kings	Ruth	0.0049052344032881395
Joel	Lamentations	0.004896759840924821
Dvarim	Esther	0.0048696450373485025
I Samuel	Micah	0.0048420606439762886
Micah	Zechariah	0.004832900184200168
Ezra	Psalms	0.004817337115851892
Hosea	Lamentations	0.004805183207692023
Hosea	Nehemiah	0.004791416994018044
Dvarim	Lamentations	0.004767555031811698
I Samuel	Lamentations	0.004740017327806637
Hosea	I Chronicles	0.004737142013602256
Zephaniah	Amos	0.004726441292099365
Amos	Judges	0.0047203841380716975
Judges	Micah	0.004712594975539773
I Kings	Micah	0.004704252304787579
II Samuel	Micah	0.004682428549051533
Habakkuk	Isaiah	0.00467184674559621
Job	Esther	0.004656127057903339
II Samuel	Lamentations	0.00461838390296412
Amos	Lamentations	0.0046148788857653614
I Kings	Lamentations	0.004613354736651684
Amos	Habakkuk	0.004521846750219928
Shmot	Ruth	0.004501352346697805
Ruth	Esther	0.004494601496606807
Vayikra	Esther	0.004463845042622967
Micah	II Chronicles	0.004459743362619381
Bamidbar	Lamentations	0.00442167110995201
Zechariah	Ezra	0.004415642663487546
Zechariah	Lamentations	0.0044142713581316875
Ezra	Job	0.004388112076493719
Zephaniah	Joel	0.004379274703627074
Jeremiah	Nahum	0.004370038365256331
Joel	Psalms	0.00435838729300162
Vayikra	Micah	0.004346744731830568
Isaiah	Song of Songs	0.0043318820696180505
Dvarim	Malachi	0.004325338232865686
I Kings	Ruth	0.004322191240591406
Malachi	Proverbs	0.0043094913314410364
Haggai	Amos	0.0042340443917692925
Judges	Song of Songs	0.004232283307815146
Shmot	Amos	0.00418658156344537
Ecclesiastes	Lamentations	0.0041745476355170745
Micah	II Kings	0.00412861489529865
II Chronicles	Lamentations	0.0041270671112093316
Lamentations	Song of Songs	0.004120116658621538
Micah	Joshua	0.004090967994991523
Dvarim	Ruth	0.004084854154361307
Breishit	Song of Songs	0.00408067644857285
Joel	Job	0.004064777767547938
II Samuel	Song of Songs	0.004058998359725457
Zephaniah	Job	0.004046202959427551
Bamidbar	Micah	0.004015232620197657
Jeremiah	Ruth	0.004013211772162923
Micah	Lamentations	0.0040103737196761505
Zephaniah	Zechariah	0.004008443498013649
Jeremiah	Song of Songs	0.004001752220531401
Nahum	Micah	0.003999951962026348
Joel	Jonah	0.003982377226427373
Malachi	Nehemiah	0.003974281682821603
Bamidbar	Joel	0.003948245061630857
Joel	Micah	0.003932258574157948
Amos	I Chronicles	0.003926750974730785
I Samuel	Joel	0.003917511425498808
Zephaniah	Ezekiel	0.0038874905900001524
Nahum	Lamentations	0.003877897149191259
Amos	Ecclesiastes	0.00387679786973055
Hosea	Song of Songs	0.0038687042329544753
Judges	Lamentations	0.0038513575406332306
II Kings	Song of Songs	0.003845234522203074
Habakkuk	Lamentations	0.00383100777506767
II Chronicles	Song of Songs	0.0038224412363327396
Joshua	Lamentations	0.0038222122062131574
Joel	Habakkuk	0.0038043506310175054
Joel	Judges	0.0037862556994952396
Joel	Obadiah	0.003746974134760225
Hosea	Daniel	0.003735576472707809
Shmot	Micah	0.003705242063170172
Dvarim	Song of Songs	0.003698000137433222
Vayikra	Lamentations	0.003679443804522366
Bamidbar	Ruth	0.0036515558398701655
Jeremiah	Malachi	0.0036432548836560995
I Kings	Song of Songs	0.003638727895098727
Amos	Nehemiah	0.003632777838980248
Bamidbar	Song of Songs	0.003632350502482997
Joel	II Chronicles	0.0036312857592902086
Joel	Ecclesiastes	0.0036280138332170134
Zephaniah	Lamentations	0.0036275603894747157
Ruth	I Chronicles	0.0036272832641405903
Lamentations	Esther	0.003623903429837692
Ezra	Proverbs	0.0036234039218812873
Breishit	Joel	0.0036187784333292865
Ezekiel	Nahum	0.003575362579503592
Ruth	Proverbs	0.003565157956192537
Micah	I Chronicles	0.0035515266245178994
Nahum	Isaiah	0.0035491019907797476
Ruth	Job	0.0035443676998097077
Zephaniah	Psalms	0.0035384396567689127
Breishit	Micah	0.003538048954446802
Ezekiel	Song of Songs	0.003519632392284694
Lamentations	Nehemiah	0.0035152096387265817
Ecclesiastes	Ezra	0.003488603474107419
Hosea	Malachi	0.0034837430538168933
Amos	Esther	0.0034466349292526437
Ezekiel	Ruth	0.003437795319286903
Joel	Joshua	0.003419936436058739
Nahum	Job	0.0034186778330974315
Malachi	Lamentations	0.0034128051728873495
Jonah	Psalms	0.003358063928002416
Nahum	Zechariah	0.003356235648258774
Nahum	Hosea	0.0033528409459927196
Song of Songs	Esther	0.0033473455202612194
Haggai	Joel	0.0033197078723682934
Ecclesiastes	Song of Songs	0.003318962313899111
Zephaniah	Hosea	0.0033174832558170806
Habakkuk	Zechariah	0.003288244835948194
Vayikra	Ruth	0.003286248041749921
Malachi	Job	0.003284201674844634
Shmot	Song of Songs	0.003282307874369382
Joshua	Ruth	0.003281959373913777
Nahum	Habakkuk	0.003280115801466552
Shmot	Malachi	0.003265585514165229
Hosea	Ezra	0.003260575912184574
Lamentations	I Chronicles	0.003255694464909649
II Kings	Malachi	0.003251160247004612
Ruth	II Chronicles	0.0032329740462733966
Ezekiel	Malachi	0.003229983490544381
Joel	Nehemiah	0.0032297534766283077
I Samuel	Song of Songs	0.0032293028655176947
Bamidbar	Malachi	0.0032090874300468477
Nahum	Psalms	0.003171580695785943
Jeremiah	Habakkuk	0.0031710323673619666
Micah	Nehemiah	0.0031638306096768046
Dvarim	Joel	0.0031427071531363706
Nehemiah	Song of Songs	0.0031395358453649314
Malachi	Zechariah	0.0031198475280746875
Habakkuk	Ecclesiastes	0.0031162331696096895
Micah	Ruth	0.0030731625876829656
Vayikra	Malachi	0.003048948878298317
Malachi	Psalms	0.003046735256568612
Isaiah	Malachi	0.003043855609994978
Joel	II Kings	0.003025613146701117
Judges	Malachi	0.003005594302353517
Joel	Song of Songs	0.0030005605497501306
Micah	Daniel	0.0029890124703922734
Daniel	Lamentations	0.0029876301631208183
Joel	Daniel	0.0029865284098476524
Zephaniah	II Chronicles	0.0029777435431265586
Haggai	Ezra	0.0029712054882092757
Dvarim	Habakkuk	0.0029626278978027404
Zephaniah	Nehemiah	0.002954795491569821
Zephaniah	Judges	0.002953510367272885
Micah	Ecclesiastes	0.002951511098888876
Dvarim	Zephaniah	0.00294699707074172
Amos	Ezra	0.0029409354740082146
I Samuel	Nahum	0.0029202238605431025
Joel	II Samuel	0.0029154599998542758
Song of Songs	I Chronicles	0.0029030676379155065
Shmot	Joel	0.0028954568371475104
Jeremiah	Obadiah	0.0028953882124899064
I Samuel	Malachi	0.0028919373511174544
Zephaniah	II Samuel	0.002891855803034403
Vayikra	Song of Songs	0.0028812499733201916
II Samuel	Habakkuk	0.002872938366531483
Zephaniah	Proverbs	0.0028619286817068465
Judges	Jonah	0.002844785719631069
I Kings	Jonah	0.002840649632207255
Amos	Malachi	0.002839287254413152
Hosea	Ruth	0.002833682076782273
Micah	Ezra	0.0028231534620568382
Breishit	Habakkuk	0.0028227545744426807
Shmot	Habakkuk	0.0028204910159527917
Micah	Song of Songs	0.002798765336019606
Zechariah	Ruth	0.0027971036403248795
Jonah	Ecclesiastes	0.0027957968062779985
Nahum	Proverbs	0.002790782567985923
Ruth	Nehemiah	0.00278079805512598
Amos	Daniel	0.0027798680272857258
Jonah	II Samuel	0.0027777217998042458
Ezekiel	Habakkuk	0.002766074563557035
Isaiah	Ruth	0.00272829206858066
