Gmatria	Word
7	בה | גד
8	באה | הבא | בבד | אבה | בו
9	גאה
10	ואבא
11	הבד | בבאו | ובבא
12	זה | הבה | בי | גגו | אבדה
13	יבא | אבי | זו
14	אביא | בזה | זהב | ואז
15	יה | אביב | באחד
16	ביד | בדי | ואהד | חח | אחז | אזוב | היא
17	ההוא | הזה | גדי | זדו | בבגדו | וחג | טוב
18	האחד | חטא | אביה | והוא
19	היד | אויב | בגדי | הזהב | אחי | יבאו | אביו
20	האביב | חזה | ידו | היה | ויד
21	חגי | טוו | יגח | אך | אהיה | בידה | היו
22	וביד | בדיו | בך | ווי | טובה | בידו
23	ויגד | ואיו | החי | זבחו | כבא | חטאה
24	יבאהו | הגוי | וחי | הביאו
25	החזה | בגדיו | ויבאו | אחיו | וגוי | יזח | ויט | יהי | אביהוא | ובגדי
26	והיה | יהוה | כבד | בידי
27	והיו | ואך | זך | בכה | הטובה | טובי
28	חיי | ביהוה | יביאה | ויחד
29	וחטאה | החוי | וחיה | וזבחו
30	כי | בכח | ידיו | והביאו | יהודה | וידי | הכה
31	וטבחו | ויהי | לא | יהיו | בידיה | ואביהוא | אל | והך | וכה | ובגדיו
32	בידיו | ויהוה | לב | כבוד | זכה
33	יחיה | ובאחיו | אביך | והחטה | באל | איבך | לבא | ויחגו | ובכה
34	בלב | לבב | ויחדו
35	יכה | לה | והחוי
36	אלה | וכי | והכה | הלא | ויהודה | ויך | אהל | כבדי | לבד | לו
37	ואל | ויהיו | ואיך | והכבד | ולא | וייטב
38	וכבוד | כחי | ואכבדה | באהל | בכבדי | והביטו
39	ויזבחו | דלה | ויגידו | לבוא | בגדל | ידכה
40	חבל | חלב | ובלב | ודל | בלבו | הגבל
41	האהל | אלי | אם | לבדה | האלה | איל | כויה
42	בם | ויכו | יוכבד | הגדל | אהלו | גדלה | ויכבד | לבדו | חדל | ואלה | בחלב
43	איביך | גם | גדול | בהכבדי | באם | יביאך
44	גמא | בהיטיבו | והביאך | באהלו | יחטיאו | דם | ידיך
45	החלב | והדל | מאד | אדם | בבאם | ככה | מה
46	בחול | אלהי | לוי | האיל | בדם | כיהוה | האהלה | כבדך | מאה
47	בהם | אמו | היבל | באדם | אולי | במאד | אליו | במה | הגדלה | לזבח
48	להביא | לחטא | לאהבי | באמה | מאז
49	וגם | מואב | אהליאב | הילד | מדה | הדם
50	אדמה | ההם | האדם | ים | דמו | לידו | המה | לך | כל
51	אכל | נא | וככה | אילי | אדום | הלוי | והם | האמה
52	ואמה | בהמה | בים | בכל | אנא | מזה | לבך | אלהיו | בן | כלב
53	ויואל | חמה | ואמו | מחה | אבן | ויגדל | ובמה
54	מיד | דים | מטה | דן | אמחה | ומאז | ויחל | מדי | נד | ידם | חילו
55	וילדה | לכה | נגב | כלה | גנב | ואהליאב | הלך | הכל | באבן | גבלך | הים | ולבגדי | הילוד | הן | ימה
56	לבדך | אנה | ליהוה | במטה | יום | וכל | בידם | בדים | אלכה | וילדו | נדב | ומי | האלך | כלו
57	ואכל | בנה | מזבח | בגבלך | בהן | והאליה | אכלו | והאמה | הבהמה | הבן
58	האבן | ביום | נהג | ומזה | חן | בנו | מהביא | ובכל | הבאים | אביהם | ובן
59	המטה | אחן | במזבח | באנו | גוים
60	ומטה | ומיד | יכל | הגנב | האדן | נגבה | ההלך | מטהו | ילך | וחילו | נבוב | הנה | לכי | בבנו | כלי | מטוה | ובבהמה | ידמו
61	נגח | והן | יאכל | ויהם | אין | הלכו | אליך | גבולך | לאל | נוה | וגנב | הולך | אמך | היום | אני | הבדים | נדבה
62	בני | יחמד | אבנט | במטהו | אכלהו | בין | בכם | ווים | לכבוד | ולכו | המזבח | והבדילה
63	אבני | והבהמה | חנה | ואכלו | נחה
64	וביום | נטה | בבני | הבגדים | ביומו | הגוים | ויחדלו
65	והמטה | אדני | יכלה | הין | מאחיו | יגנב | הילך | מכה | הגנבה | כליה
