Gmatria	Word
3	בא
5	ה
7	או | בה | גד | אבד
8	אהב | אבה | בו | אז
9	בגד | אוב | באו | ובא
10	בדד | גז
11	חג | אי | בבוא
12	הוא | בי | דגה | חבב | זה
13	בחג | הבו | אחד | אבי | יבא
14	יד | די | זהב | ואהב | ובו
15	ובאו | בגי | באחד | גבהה
16	ביד | בגיא
17	טוב | הזה | ההוא | גדי
18	חי | וזה | הביא | אביה | חטא | האחד | והגד | והוא | יאבה
19	אביו | ויבא | יבאו | היד | ידה | גוי | אהובה | בטוב | ובחג | יבוא | אויב | בטח
20	ידו | ויד | ידאה | האביב | וזהב | היה | ודי
21	הטבה | בגוי | היו | אהיה | אך | האיה | בידה
22	הזבח | חטה | וביד | הטוב | בך | טובה | יחד
23	כבא | ויגד | וטוב
24	ידי | הגדגדה | הגוי | האהובה | וחי
25	כה | אחיו | בבאך | ובטוב | ויבאו | יהי | טבוח | דכא | והיד
26	בחטאו | והיה | כבד | בידי | היטב | יהוה
27	זבחי | אבדך | דבאך | באחיו | והיו | הטובה
28	ובך | יחדו | יחטא | ביהוה | ידיד | יחי | אהבך | האבידו | והטוב | כח
29	כבוא | גויי | החוי | וכבא
30	יהיה | ואחיה | והדיה | ידיו | הכה | כי | יהודה
31	יהיו | ויהי | אל | ייטב | לא | ואחיו | יזיד
32	כבדו | ויהוה | בכי | לב
33	יזבחו | יגידו | לבא | אבל | בלא | אביך | בחגך | איבך | יחיה
34	חייו | ואהבך | ויחי | לבב | והגידו | גאל | כדי | ידך
35	לה | והחוי | יכה
36	בידך | אלה | וכי | איכה | בכחו | לו | האל | הלא | ויהודה | לבד | הכהו
37	ולא | ויהיו | ואל | וייטב | גדל
38	בלו | גלה | כחי | באהל
39	אחיך | אחל | טל | לבז | לבוא | הלבב
40	לי | הלה | לבבו | חלב | חבל
41	גבול | האהל | אם | גבלו | באחיך | אלי | האלה | וגבל | איל
42	ולו | בלבבו | הלוא | בם | לבדו | והכהו | גדלה | הגדל | לבי | ואלה | בחלב | אלוה | היטיבו
43	בגבול | לאהבה | לאחד | ויגדך | החל | ולגד | לחה | חלה | לאבי | איביך | גדול | גדלו | יביאך | גם
44	אליאב | דם | וידיחו | ויבכו | בבלי | ידיך | והביאך | חול
45	הם | מה | לוט | ולבוא | מאד | ככה | אדם
46	אמה | מאה | וחלב | לוי | אליה | אלהי | גזול | האם | כיהוה | לבדי | האיל
47	ואם | וטבל | בהם | לזבח | אמו | לגדי | הדיחך | לטוב | אליו | זבחיך | הגדלה
48	חייך | חיל | חלי | יגלה | לאהבי | להביא | גדולה | הגדול
49	לגוי | לבטח | לאביו | ולאהבה | מואב | וגם | הדם | לחטב | מבוא
50	מי | כל | ההם | בחייך | המה | וחלו | יחבל | טמא | אדמה | ים | האדם | בכחך | דמו | לך | ודם | יולד
51	אלך | הבדיל | והם | לאחזה | כאל | הלוי | אכל | נא
52	והיטבך | ואמה | מזה | ולוי | הואיל | במי | וגזול | בכל | וגלחה | להאביד | כלב | לטובה | והאם | בטמא | להגיד | באדמה | בן | אלהיו | יחדל | בהמה
53	נבא | ואמו | אבן | ואליו | מאחד | באים | ויבלה | הגדולה | ולגדי | יבולה | החיל
54	דן | מטה | חילו | מיד | לבבך | לאהביו | בבהמה
55	הים | האדמה | גבלך | ימה | לאחיו | הן | יככה | זחלי | אידם | אדמי | הלך | הכל | הטמא | מדוה | והדם | גנב
56	בלבבך | ולך | לגגך | יום | וכל | וילדו | בידם | אנה | אכלה | יולדו | אימה | ליהוה | יבדיל | ומי
57	דגן | נגד | אוכל | מאביד | יבמה | ואכל | מזי | כגדל | גדלך | הבהמה | והלוי | בנה | בהן | אנו | מזבח | הבן
58	ובכל | להאבידו | בנו | ביום | חן | ובן | יחם | נבו | אהבים
59	חומה | בגדלך | ונבא | ואבן | ומחה | גוים | כטל | אחים | מחטב
60	הנגב | כלי | מדוי | ומדדו | ילך | כלבבו | ימי | הטמאה | הגנב | ואמחה | ההלך | ליהודה | הנה
61	לאל | בגוים | אמך | היום | נדבה | והאדמה | אליך | ובחמה | גבולך | אין | אני | יאכל
62	ויום | יבמי | בטנא | ובלבבך | בכם | ואכלה | בין | בני | סב | גוזליו
63	ובנגב | והבדילו | נביא | ויבמה | והבהמה | ואולך | כלביא | באכם | ואכלו | באני | ימחה | ויאבדם
64	הגוים | ילדך | בבני | ביומו | והחמה | אחיהם | דין | מידי | וביום
65	מאחיו | בגלל | מכה | מאדך | הטנא | ובבנה | ומואבי | אדני
66	להיטיב | וילך | אלהיך | יולך | באזנו | וימי | ימיו | ילכו | יוכל | ויכל | ילוך | והלכה | והנה
67	יאכלו | יבנה | ויאכל | טובים | וכאיל | ואני | ואין | ובגוים
68	חלל | וזנה | חיים | ינהג | יחן | הנביא | בניו | חכם | ובני | זונה | ובין | אבניה | בינו | באהליך | להביאך
69	ידיהם | בזדון | וסבא | לאחיך | ודאבון | אביון
70	ככל | באזני | ילל | כן | בחיים | אביאנו | יין
71	אדניו | בזונו | מכהו | הגלגל | כמהו | ואדני | מלא | ובגלל | ינגח
72	חסד | וילכו | בנך | בידנו | בזזנו
73	האזין | זבחימו | כגן | מביאך | לאיביך | טחון | החלל | ונדחה | זולל | חכמה | החיים
74	עד | לבבם | ידכם | חללו | ידין | ובניו | לדם | חטאנו | האביון | חכמו | ינוח | מידך | והנביא
75	הנהיה | אחינו | הנך | ויזנב | בהניח | ולאחיך | ויבאנו | ואביון | ובבניה | להם | למה | לילה
76	מלבד | ויין | וכן | לולי | ללוי | אלהם | למו | להיטבך | כיום | בעד | עבד | ונך | ומל | מול
77	ומלא | עז | מזבחך | להדיחך | החסד | דגנך
78	וביין | אזנך | ובנך | יבינו | יניח | ככוכבי | לחיל | הגמל | הביאני | חלם | לחם
79	עוג | האזינו | כגוים | והניח | מאחיך | העד | מטל | אחיכם
80	הכהן | ועד | נטויה | בלחם | עוד | לים | ימיך | כימי | ככם | לכל | ידינו | הלילה | טנאך | כליך
81	לאכל | כהיום | ולהם | עבדה | בטנך | היינו | אנכי | הנכבד | המלאה | אף | כסא
82	מבלי | עבדו | וללוי | נבל | בניך | עזה | ומלאה | מלבדו | נדחך
83	המלח | איביכם | באף | מהחל | ולאמו | הלחם | והחסד
84	ומלח | חסיו | חולם | ילמד | ידיכם | חלום | ידע | מדם | חנכו | למטה
85	והניחו | מהם | הנטויה | פה | הליכך | ועוג | עזבו | ואיבינו | ולמדה
86	מאלהי | לנו | אלהים | מום | ולמדו | ולכל | כמוך | יעבד | אליהם | יכנו | האף
87	גדלים | ויאכלך | נבלה | זמם | ממגד | עבטו | אפו | ונכהו | ואף | יזידון | ואנכי
88	ולבן | ובניך | חייכם | ילחם | להביאם | לבנו | ינהגך | נחל | ועבדו
89	לזנב | בעבטו | באפו | החלום | ויגע | גולן
90	כליל | בנחל | לכם | מכל | ידעו | לבבנו | פי | מים | ילמדו | ולדן | מן | מלך
91	אמן | אפי | ועזוב | הלוים | אלכם | אלהיהם | אהליהם | בהדף | אמים | הכוס | ויכהן | והמם | האלהים | מאכל
92	יעבדו | לבני | מאומה | עבדיו | ויעבד | לנדח | הגדלים | אלהימו | העבוט | במים | והעבט | אצא
93	באפי | וממגד | הנחל | וזבחיכם | צבא | מגן | נחלה
94	דמים | וחלים | בהבליהם | לדין | מלבבך | לבבכם | ולחמי
95	המן | פיה | זבולן | גבלכם | בהנחל | בצבא | וילמדה
96	האמים | לבדכם | מלאכה | עבדך | צו | מיום | יומם | ומים | לאהליך | ומן | איפה | ואעידה | אליהן | וכליל | מהומה
97	ואילים | אלינו | אלוני | מנגד | ויבעט
98	הצג | בפיו | סגלה | הנחלה | וינבל | נחלי | ולבני | ויעבדו | ובמים | סלח | והחסידה
99	ונחלה | והיבוסי
100	והטף | מלכי | ממך | מכם | ילין | ימים | כף | טמאים | על
101	וזבולן | צוה | כלאים | אליכם | המהומה | מאין | יצא
102	בימים | מבין | ובחוף | ואיפה | ויומם | אלהינו | בעל | מבני | בנים | לבנך | חסידך | וצו | אמונה | יצב | ועבדך
103	באפך | אבק | הכוכבים | מחנה | ואצו | אבנים | עגל
104	ולבניו | בבעל | מנוח | והמאבים | ללמד | לעד | דק | חוץ | סדם
105	נלכה | באבנים | הימים | הודעך | עלה | הפך | לכהן | כפה
106	נון | וכימיך | יצו | ונלך | עול | בחוץ | אלהיכם | ועל | לעבד | עלו | כלנו | היצא
107	בניהם | יצאו | ויצא | בעלה | במסה | ואעל | הבנים | הצבי
108	בננו | ואצוה | ינחיל | ובנים | העגל | ועבדוך | באהליכם | וצבי | האבנים | חמס | חצי | המחנה
109	יעזבך | הנחילו | בגלעד | והלחיים | לאחיכם
110	מלכך | לכדנו | יהצה | כמים | ימס | האדנים | נס | ימין | והמואבים | ונלכד | כלכם | יינם | עלי | עם
111	הלכנו | ועלה | אלף | והימים | לעבט | המסו
112	בפיך | הוציא | פחדך | לבניך | ולעבד | עיבל | יבק | הגלעד | נדחים | ויצו | בכיסך | ויצאה
113	העגלה | ויצאו | מסיג | להלחם | ובמסה | ובעלה | יגיעך | ואקו | ויוצא | ובניהם
114	מלמד | המנוחה | ונבון | עמד | וחצי | החוצה | מסביב | ואזנים
115	עמה | ולעוג | יעלה | והפדך | באזניהם | אנחנו | סנה | להמם | חזק | העם | עליה | ואקח | סלכה | טמוני
116	ונכם | ויעל | עליו | במעד | עמו | המאכלך | לאלהים | צוך | כמנו | ידבק | ונס
117	יאכלנו | יאכלון | יוציא | וקטב | איננו | קדחה
118	מחנך | ודבקו | והקבה | יקח | והוציא | חכמים | ונסב | ולבניך | ולעבדו | באפלה | לזעוה | גלליהם
119	להדף | העמד | מעט | ולאבינך
120	סמך | חזקה | ימיכם | למן | הנסה | עמוד | יפל | לפי | כימים | מועד | עמי | מימיך | בהוציאו | ועמד | מוסדי | כמס | ויפדך | כמני
121	מלאים | אינני | חזקו | יפלא | אינכם | ויהפך | למאכל | והנכם | אלפי | אצל | לאלהיהם
122	וכליון | הוצאך | ענב | בעמוד | כצבי | והפלא | ויעלו | בניכם
123	לנחלה | חיקה | נגע | מלחמה
124	והוציאו | ינחנו | מעיד | נדע | המעט | חקיו | עדים | חיקו | עמדי
